name	source	ensembl_gene	ensembl_source
ASMPATCHG00000000170	Ensembl.Genes:115937[0];Ensembl.Genes:452990[0>2];Ensembl:234204[0]	ENSG00000256229	Toronto:647[1];Ensembl:234204[0]
ASMPATCHG00000000174	Ensembl.Genes:115938[0];Ensembl.Genes:450973[0>2];Ensembl:183892[0]	ENSG00000188171	Toronto:756[1];Ensembl:183892[0]
ASMPATCHG00000000175	Ensembl.Genes:115939[0];Ensembl.Genes:451655[0>2];Ensembl:53083[0]	ENSG00000237440	Toronto:837[1];Ensembl:53083[0]
ASMPATCHG00000001325	Ensembl.Genes:116471[0];Ensembl.Genes:450375[0>2];Ensembl:114745[0]	ENSG00000049541	SCENIC:1782[0];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]
ASMPATCHG00000001331	Ensembl.Genes:116475[0];Ensembl.Genes:116475[0>2];Ensembl:176959[0]	ENSG00000263001	Toronto:1122[1];Ensembl:176959[0]
ASMPATCHG00000001437	Ensembl.Genes:116568[0];Ensembl.Genes:450964[0>2];Ensembl:213900[0]	ENSG00000176302	Toronto:1101[1];Ensembl:213900[0]
ASMPATCHG00000001443	Ensembl.Genes:116574[0];Ensembl.Genes:450658[0>2];Ensembl:202027[0]	ENSG00000009950	Toronto:87[1];Ensembl:202027[0]
ASMPATCHG00000001617	Ensembl.Genes:116727[0];Ensembl.Genes:450724[0>2];Ensembl:239728[0]	ENSG00000167785	Toronto:696[1];Ensembl:239728[0]
ASMPATCHG00000001626	Ensembl.Genes:116735[0];Ensembl.Genes:450394[0>2];Ensembl:157320[0]	ENSG00000006704	Toronto:1123[1];Ensembl:157320[0]
ASMPATCHG00000001637	Ensembl.Genes:116743[0];Ensembl.Genes:452235[0>2];Ensembl:250176[0]	ENSG00000171634	Toronto:1574[1];Ensembl:250176[0]
ASMPATCHG00000001670	Ensembl.Genes:116772[0];Ensembl.Genes:451104[0>2];Ensembl:96493[0]	ENSG00000177679	SCENIC:1815[0];HGNC.Current:37559[1];HGNC.Current:37559[1>0];Ensembl.HGNC:96517[3>0]
ENSG00000001167	Ensembl:230768[0]	ENSG00000001167	Toronto:962[1];Ensembl:230768[0]
ENSG00000001497	Ensembl:99374[0]	ENSG00000001497	SCENIC:1691[0];HGNC.Current:14740[1];HGNC.Current:14740[1>0];Ensembl.HGNC:99398[3>0]
ENSG00000002330	Ensembl:123789[0]	ENSG00000002330	SCENIC:1150[0];HGNC.Current:2212[1];HGNC.Current:2212[1>0];Ensembl.HGNC:123813[3>0]
ENSG00000004848	Ensembl:65829[0]	ENSG00000004848	Toronto:1163[1];Ensembl:65829[0]
ENSG00000005073	Ensembl:149301[0]	ENSG00000005073	Toronto:1214[1];Ensembl:149301[0]
ENSG00000005102	Ensembl:249622[0]	ENSG00000005102	Toronto:1276[1];Ensembl:249622[0]
ENSG00000005513	Ensembl:224899[0]	ENSG00000005513	Toronto:1150[1];Ensembl:224899[0]
ENSG00000005801	Ensembl:72183[0]	ENSG00000005801	Toronto:472[1];Ensembl:72183[0]
ENSG00000005889	Ensembl:67921[0]	ENSG00000005889	Toronto:411[1];Ensembl:67921[0]
ENSG00000006047	Ensembl:177541[0]	ENSG00000006047	Toronto:982[1];Ensembl:177541[0]
ENSG00000006194	Ensembl:210277[0]	ENSG00000006194	Toronto:516[1];Ensembl:210277[0]
ENSG00000006377	Ensembl:66728[0]	ENSG00000006377	Toronto:1180[1];Ensembl:66728[0]
ENSG00000006459	Ensembl:77055[0]	ENSG00000006459	SCENIC:1685[0];HGNC.Current:13959[1];HGNC.Current:13959[1>0];Ensembl.HGNC:77079[3>0]
ENSG00000006468	Ensembl:221209[0]	ENSG00000006468	Toronto:1038[1];Ensembl:221209[0]
ENSG00000006704	Ensembl:157320[0]	ENSG00000006704	Toronto:1123[1];Ensembl:157320[0]
ENSG00000007372	Ensembl:216522[0]	ENSG00000007372	Toronto:1355[1];Ensembl:216522[0]
ENSG00000007866	Ensembl:120356[0]	ENSG00000007866	Toronto:1558[1];Ensembl:120356[0]
ENSG00000007968	Ensembl:116976[0]	ENSG00000007968	Toronto:1012[1];Ensembl:116976[0]
ENSG00000008196	Ensembl:32260[0]	ENSG00000008196	Toronto:3[1];Ensembl:32260[0]
ENSG00000008197	Ensembl:64503[0]	ENSG00000008197	Toronto:5[1];Ensembl:64503[0]
ENSG00000008441	Ensembl:176459[0]	ENSG00000008441	Toronto:1522[1];Ensembl:176459[0]
ENSG00000009709	Ensembl:276936[0]	ENSG00000009709	Toronto:1356[1];Ensembl:276936[0]
ENSG00000009950	Ensembl:202027[0]	ENSG00000009950	Toronto:87[1];Ensembl:202027[0]
ENSG00000010030	Ensembl:105689[0]	ENSG00000010030	Toronto:1045[1];Ensembl:105689[0]
ENSG00000010244	Ensembl:134884[0]	ENSG00000010244	Toronto:479[1];Ensembl:134884[0]
ENSG00000010539	Ensembl:100240[0]	ENSG00000010539	Toronto:476[1];Ensembl:100240[0]
ENSG00000010803	Ensembl:259830[0]	ENSG00000010803	Toronto:1624[1];Ensembl:259830[0]
ENSG00000010818	Ensembl:193656[0]	ENSG00000010818	Toronto:251[1];Ensembl:193656[0]
ENSG00000011243	Ensembl:142167[0]	ENSG00000011243	Toronto:208[1];Ensembl:142167[0]
ENSG00000011260	Ensembl:52788[0]	ENSG00000011260	SCENIC:1860[0];HGNC.Current:41922[1];HGNC.Current:41922[1>0];Ensembl.HGNC:52812[3>0]
ENSG00000011332	Ensembl:185705[0]	ENSG00000011332	Toronto:223[1];Ensembl:185705[0]
ENSG00000011451	Ensembl:136030[0]	ENSG00000011451	Toronto:346[1];Ensembl:136030[0]
ENSG00000011485	Ensembl:204853[0]	ENSG00000011485	SCENIC:1758[0];HGNC.Current:26654[1];HGNC.Current:26654[1>0];Ensembl.HGNC:204877[3>0]
ENSG00000011590	Ensembl:176993[0]	ENSG00000011590	Toronto:365[1];Ensembl:176993[0]
ENSG00000012048	Ensembl:263546[0]	ENSG00000012048	SCENIC:1232[0];HGNC.Current:2658[1];HGNC.Current:2658[1>0];Ensembl.HGNC:263570[3>0]
ENSG00000012174	Ensembl:12810[0]	ENSG00000012174	SCENIC:1498[0];HGNC.Current:18224[1];HGNC.Current:18224[1>0];Ensembl.HGNC:12810[3>0]
ENSG00000012223	Ensembl:181813[0]	ENSG00000012223	Toronto:1598[1];Ensembl:181813[0]
ENSG00000012504	Ensembl:69910[0]	ENSG00000012504	Toronto:1444[1];Ensembl:69910[0]
ENSG00000012817	Ensembl:1060[0]	ENSG00000012817	SCENIC:1684[0];HGNC.Current:13955[1];HGNC.Current:13955[1>0];Ensembl.HGNC:1060[3>0]
ENSG00000013441	Ensembl:226099[0]	ENSG00000013441	SCENIC:1590[0];HGNC.Current:4947[1];HGNC.Current:4947[1>0];Ensembl.HGNC:226123[3>0]
ENSG00000016082	Ensembl:146804[0]	ENSG00000016082	Toronto:1257[1];Ensembl:146804[0]
ENSG00000018189	Ensembl:69084[0]	ENSG00000018189	SCENIC:1794[0];HGNC.Current:34442[1];HGNC.Current:34442[1>0];Ensembl.HGNC:69108[3>0]
ENSG00000018607	Ensembl:267782[0]	ENSG00000018607	SCENIC:1887[0];HGNC.Current:43258[10];HGNC.Current:43258[10>1];HGNC.Current:43258[1];HGNC.Current:43258[1>0];Ensembl.HGNC:267830[3>0]
ENSG00000018869	Ensembl:202942[0]	ENSG00000018869	Toronto:721[1];Ensembl:202942[0]
ENSG00000019485	Ensembl:232407[0]	ENSG00000019485	SCENIC:1518[0];HGNC.Current:26738[1];HGNC.Current:26738[1>0];Ensembl.HGNC:232431[3>0]
ENSG00000019549	Ensembl:38680[0]	ENSG00000019549	Toronto:329[1];Ensembl:38680[0]
ENSG00000020256	Ensembl:12893[0]	ENSG00000020256	Toronto:402[1];Ensembl:12893[0]
ENSG00000020633	Ensembl:273459[0]	ENSG00000020633	Toronto:1509[1];Ensembl:273459[0]
ENSG00000025156	Ensembl:39986[0]	ENSG00000025156	Toronto:1374[1];Ensembl:39986[0]
ENSG00000025293	Ensembl:17397[0]	ENSG00000025293	Toronto:24[1];Ensembl:17397[0]
ENSG00000025434	Ensembl:234331[0]	ENSG00000025434	Toronto:1443[1];Ensembl:234331[0]
ENSG00000028277	Ensembl:190080[0]	ENSG00000028277	Toronto:1359[1];Ensembl:190080[0]
ENSG00000028839	Ensembl:61825[0]	ENSG00000028839	Toronto:1553[1];Ensembl:61825[0]
ENSG00000029153	Ensembl:233848[0]	ENSG00000029153	Toronto:45[1];Ensembl:233848[0]
ENSG00000029363	Ensembl:41254[0]	ENSG00000029363	SCENIC:1315[0];HGNC.Current:2344[1];HGNC.Current:2344[1>0];Ensembl.HGNC:41278[3>0]
ENSG00000029993	Ensembl:151904[0]	ENSG00000029993	SCENIC:1659[0];HGNC.Current:11808[1];HGNC.Current:11808[1>0];Ensembl.HGNC:151928[3>0]
ENSG00000030419	Ensembl:273910[0]	ENSG00000030419	Toronto:255[1];Ensembl:273910[0]
ENSG00000033050	Ensembl:87530[0]	ENSG00000033050	SCENIC:1555[0];HGNC.Current:101[1];HGNC.Current:101[1>0];Ensembl.HGNC:87554[3>0]
ENSG00000036549	Ensembl:68947[0]	ENSG00000036549	Toronto:1427[1];Ensembl:68947[0]
ENSG00000036565	Ensembl:186342[0]	ENSG00000036565	SCENIC:1802[0];HGNC.Current:35705[1];HGNC.Current:35705[1>0];Ensembl.HGNC:186366[3>0]
ENSG00000037965	Ensembl:235067[0]	ENSG00000037965	Toronto:1240[1];Ensembl:235067[0]
ENSG00000039600	Ensembl:188233[0]	ENSG00000039600	Toronto:1145[1];Ensembl:188233[0]
ENSG00000040341	Ensembl:22130[0]	ENSG00000040341	SCENIC:1817[0];HGNC.Current:37787[1];HGNC.Current:37787[1>0];Ensembl.HGNC:22154[3>0]
ENSG00000041988	Ensembl:258296[0]	ENSG00000041988	Toronto:1565[1];Ensembl:258296[0]
ENSG00000043039	Ensembl:59110[0]	ENSG00000043039	Toronto:1167[1];Ensembl:59110[0]
ENSG00000043355	Ensembl:14215[0]	ENSG00000043355	Toronto:414[1];Ensembl:14215[0]
