name	source	ensembl_gene	ensembl_source
ENSP00000000442	Ensembl:123842[2];Ensembl:123842[2>0]	ENSG00000173153	Toronto:1435[1];Ensembl:123840[0]
ENSP00000005082	Ensembl:72190[2];Ensembl:72190[2>0]	ENSG00000005801	Toronto:472[1];Ensembl:72183[0]
ENSP00000006015	Ensembl:149301[2];Ensembl:149301[2>0]	ENSG00000005073	Toronto:1214[1];Ensembl:149301[0]
ENSP00000007699	Ensembl:177543[2];Ensembl:177543[2>0]	ENSG00000006047	Toronto:982[1];Ensembl:177541[0]
ENSP00000008391	Ensembl:64503[2];Ensembl:64503[2>0]	ENSG00000008197	Toronto:5[1];Ensembl:64503[0]
ENSP00000012134	Ensembl:193656[2];Ensembl:193656[2>0]	ENSG00000010818	Toronto:251[1];Ensembl:193656[0]
ENSP00000012443	Ensembl:204853[2];Ensembl:204853[2>0]	ENSG00000011485	SCENIC:1758[0];HGNC.Current:26654[1];HGNC.Current:26654[1>0];Ensembl.HGNC:204877[3>0]
ENSP00000013034	Ensembl:111124[2];Ensembl:111124[2>0]	ENSG00000239672	SCENIC:1177[0];HGNC.Current:22857[1];HGNC.Current:22857[1>0];Ensembl.HGNC:111141[3>0]
ENSP00000015877	Ensembl:31730[2];Ensembl:31730[2>0]	ENSG00000197381	SCENIC:1557[0];HGNC.Current:454[1];HGNC.Current:454[1>0];Ensembl.HGNC:31752[3>0]
ENSP00000020945	Ensembl:38680[2];Ensembl:38680[2>0]	ENSG00000019549	Toronto:329[1];Ensembl:38680[0]
ENSP00000040584	Ensembl:235067[2];Ensembl:235067[2>0]	ENSG00000037965	Toronto:1240[1];Ensembl:235067[0]
ENSP00000054650	Ensembl:258296[2];Ensembl:258296[2>0]	ENSG00000041988	Toronto:1565[1];Ensembl:258296[0]
ENSP00000054666	Ensembl:269322[2];Ensembl:269322[2>0]	ENSG00000049245	SCENIC:1861[0];HGNC.Current:41942[1];HGNC.Current:41942[1>0];Ensembl.HGNC:269370[3>0]
ENSP00000055077	Ensembl:114746[2];Ensembl:114746[2>0]	ENSG00000049541	SCENIC:1782[0];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]
ENSP00000056233	Ensembl:107902[2];Ensembl:107902[2>0]	ENSG00000050344	Toronto:198[1];Ensembl:107902[0]
ENSP00000078445	Ensembl:173369[2];Ensembl:173369[2>0]	ENSG00000060566	Toronto:172[1];Ensembl:173369[0]
ENSP00000086933	Ensembl:38747[2];Ensembl:38747[2>0]	ENSG00000063515	Toronto:1198[1];Ensembl:38747[0]
ENSP00000155093	Ensembl:1124[2];Ensembl:1124[2>0]	ENSG00000067646	Toronto:412[1];Ensembl:1123[0]
ENSP00000155926	Ensembl:217234[2];Ensembl:217234[2>0]	ENSG00000071575	SCENIC:1844[0];HGNC.Current:40315[1];HGNC.Current:40315[1>0];Ensembl.HGNC:217258[3>0]
ENSP00000156825	Ensembl:84338[2];Ensembl:84338[2>0]	ENSG00000071655	Toronto:1401[1];Ensembl:84338[0]
ENSP00000159111	Ensembl:26348[2];Ensembl:26348[2>0]	ENSG00000127663	SCENIC:1680[0];HGNC.Current:13946[1];HGNC.Current:13946[1>0];Ensembl.HGNC:26371[3>0]
ENSP00000160740	Ensembl:158412[2];Ensembl:158412[2>0]	ENSG00000079432	Toronto:1127[1];Ensembl:158409[0]
ENSP00000160827	Ensembl:164965[2];Ensembl:164965[2>0]	ENSG00000079616	SCENIC:1687[0];HGNC.Current:14059[1];HGNC.Current:14059[1>0];Ensembl.HGNC:164972[3>0]
ENSP00000162391	Ensembl:230669[2];Ensembl:230669[2>0]	ENSG00000065970	Toronto:1081[1];Ensembl:230669[0]
ENSP00000164227	Ensembl:228475[2];Ensembl:228475[2>0]	ENSG00000069399	SCENIC:1253[0];HGNC.Current:2330[1];HGNC.Current:2330[1>0];Ensembl.HGNC:228497[3>0]
ENSP00000174618	Ensembl:105083[2];Ensembl:105083[2>0]	ENSG00000070444	Toronto:88[1];Ensembl:105083[0]
ENSP00000175756	Ensembl:68771[2];Ensembl:68771[2>0]	ENSG00000072135	SCENIC:1310[0];HGNC.Current:2375[1];HGNC.Current:27372[8>1];HGNC.Current:27372[1];HGNC.Current:27372[1>0];Ensembl.HGNC:68795[3>0]
ENSP00000177694	Ensembl:123874[2];Ensembl:123874[2>0]	ENSG00000073861	Toronto:1546[1];Ensembl:123874[0]
ENSP00000187879	Ensembl:53667[2];Ensembl:53667[2>0]	ENSG00000159885	Toronto:490[1];Ensembl:53665[0]
ENSP00000188403	Ensembl:69919[2];Ensembl:69919[2>0]	ENSG00000012504	Toronto:1444[1];Ensembl:69910[0]
ENSP00000189444	Ensembl:139252[2];Ensembl:139252[2>0]	ENSG00000077150	Toronto:1495[1];Ensembl:139248[0]
ENSP00000190165	Ensembl:48022[2];Ensembl:48022[2>0]	ENSG00000064218	Toronto:1006[1];Ensembl:48022[0]
ENSP00000190846	Ensembl.Proteins:210241[0];Ensembl.Proteins:210245[0>2];Ensembl:99378[2];Ensembl:99378[2>0]	ENSG00000001497	SCENIC:1691[0];HGNC.Current:14740[1];HGNC.Current:14740[1>0];Ensembl.HGNC:99398[3>0]
ENSP00000190983	Ensembl:103613[2];Ensembl:103613[2>0]	ENSG00000064205	SCENIC:1863[0];HGNC.Current:3771[10];HGNC.Current:3771[10>1];HGNC.Current:3771[1];HGNC.Current:3771[1>0];Ensembl.HGNC:103634[3>0]
ENSP00000196482	Ensembl:222221[2];Ensembl:222221[2>0]	ENSG00000083812	Toronto:553[1];Ensembl:222220[0]
ENSP00000196489	Ensembl:88085[2];Ensembl:88085[2>0]	ENSG00000083817	Toronto:601[1];Ensembl:88085[0]
ENSP00000199814	Ensembl:262843[2];Ensembl:262843[2>0]	ENSG00000086589	SCENIC:1776[0];HGNC.Current:27942[1];HGNC.Current:27942[1>0];Ensembl.HGNC:262867[3>0]
ENSP00000201031	Ensembl:13931[2];Ensembl:13931[2>0]	ENSG00000087510	Toronto:4[1];Ensembl:13931[0]
ENSP00000202773	Ensembl:214736[2];Ensembl:214736[2>0]	ENSG00000089009	SCENIC:1789[0];HGNC.Current:32242[1];HGNC.Current:32242[1>0];Ensembl.HGNC:214760[3>0]
ENSP00000204517	Ensembl:49989[2];Ensembl:49989[2>0]	ENSG00000090447	Toronto:139[1];Ensembl:49988[0]
ENSP00000206020	Ensembl:208655[2];Ensembl:208655[2>0]	ENSG00000091640	SCENIC:1810[0];HGNC.Current:37193[1];HGNC.Current:37193[1>0];Ensembl.HGNC:208678[3>0]
ENSP00000206249	Ensembl:157752[2];Ensembl:157752[2>0]	ENSG00000091831	Toronto:1433[1];Ensembl:157748[0]
ENSP00000206513	Ensembl:171101[2];Ensembl:171101[2>0]	ENSG00000092067	Toronto:166[1];Ensembl:171100[0]
ENSP00000207157	Ensembl:88808[2];Ensembl:88808[2>0]	ENSG00000092607	Toronto:1541[1];Ensembl:88808[0]
ENSP00000211377	Ensembl:132546[2];Ensembl:132546[2>0]	ENSG00000236011	SCENIC:1636[0];HGNC.Current:10632[1];HGNC.Current:10632[1>0];Ensembl.HGNC:132570[3>0]
ENSP00000211936	Ensembl:159220[2];Ensembl:159220[2>0]	ENSG00000096654	Toronto:469[1];Ensembl:159220[0]
ENSP00000215057	Ensembl:55973[2];Ensembl:55973[2>0]	ENSG00000099326	Toronto:291[1];Ensembl:55971[0]
ENSP00000215742	Ensembl:44195[2];Ensembl:44195[2>0]	ENSG00000184436	Toronto:1569[1];Ensembl:44194[0]
ENSP00000215832	Ensembl:8838[2];Ensembl:8838[2>0]	ENSG00000100030	SCENIC:1700[0];HGNC.Current:18058[1];HGNC.Current:18058[1>0];Ensembl.HGNC:8838[3>0]
ENSP00000215882	Ensembl:38753[2];Ensembl:38753[2>0]	ENSG00000100075	SCENIC:1499[0];HGNC.Current:4743[1];HGNC.Current:35754[8>1];HGNC.Current:35754[1];HGNC.Current:35754[1>0];Ensembl.HGNC:38777[3>0]
