name	source	ensembl_gene	ensembl_source
1-Cys	HGNC.Current:26762[8];HGNC.Current:26760[8>1];HGNC.Current:26760[1];HGNC.Current:26760[1>0];Ensembl.HGNC:66825[3>0]	ENSG00000126432	SCENIC:1759[0];HGNC.Current:26760[1];HGNC.Current:26760[1>0];Ensembl.HGNC:66825[3>0]
12CC4	HGNC.Current:9478[8];HGNC.Current:9478[8>1];HGNC.Current:9478[1];HGNC.Current:9478[1>0];Ensembl.HGNC:201807[3>0]	ENSG00000114861	Toronto:1096[1];Ensembl:201783[0]
14-3-3-zeta	HGNC.Current:42746[8];HGNC.Current:42746[8>1];HGNC.Current:42746[1];HGNC.Current:42746[1>0];Ensembl.HGNC:26985[3>0]	ENSG00000164924	SCENIC:1867[0];HGNC.Current:42746[1];HGNC.Current:42746[1>0];Ensembl.HGNC:26985[3>0]
16	HGNC.Current:3931[8];HGNC.Current:3931[8>1];HGNC.Current:3931[1];HGNC.Current:3931[1>0];Ensembl.HGNC:242159[3>0]	ENSG00000085063	SCENIC:1583[0];HGNC.Current:3931[1];HGNC.Current:3931[1>0];Ensembl.HGNC:242159[3>0]
225	HGNC.Current:7619[8];HGNC.Current:7619[8>1];HGNC.Current:7619[1];HGNC.Current:7619[1>0];Ensembl.HGNC:222433[3>0]	ENSG00000120738	Toronto:228[1];Ensembl:222409[0]
2B28	HGNC.Current:41550[8];HGNC.Current:41550[8>1];HGNC.Current:41550[1];HGNC.Current:41550[1>0];Ensembl.HGNC:154511[3>0]	ENSG00000162191	SCENIC:1856[0];HGNC.Current:41550[1];HGNC.Current:41550[1>0];Ensembl.HGNC:154511[3>0]
2F1	HGNC.Current:14237[8];HGNC.Current:14237[8>1];HGNC.Current:14237[1];HGNC.Current:14237[1>0];Ensembl.HGNC:105133[3>0]	ENSG00000139187	SCENIC:502[0];HGNC.Current:17876[1];HGNC.Current:14237[8>1];HGNC.Current:14237[1];HGNC.Current:14237[1>0];Ensembl.HGNC:105133[3>0]
2H9	HGNC.Current:12091[8];HGNC.Current:12091[8>1];HGNC.Current:12091[1];HGNC.Current:12091[1>0];Ensembl.HGNC:101391[3>0]	ENSG00000096746	SCENIC:1664[0];HGNC.Current:12091[1];HGNC.Current:12091[1>0];Ensembl.HGNC:101391[3>0]
3'OY11	HGNC.Current:43248[8];HGNC.Current:43248[8>1];HGNC.Current:43248[1];HGNC.Current:43248[1>0];Ensembl.HGNC:66981[3>0]	ENSG00000169548	Toronto:526[1];Ensembl:66957[0]
3'OY11	HGNC.Current:43248[8];HGNC.Current:43248[8>1];HGNC.Current:43248[1];HGNC.Current:43248[1>0];Ensembl.HGNC:80865[3>0]	ENSG00000275499	SCENIC:950[0];HGNC.Current:43248[1];HGNC.Current:43248[1>0];Ensembl.HGNC:80865[3>0]
39K2	HGNC.Current:37787[8];HGNC.Current:37787[8>1];HGNC.Current:37787[1];HGNC.Current:37787[1>0];Ensembl.HGNC:22154[3>0]	ENSG00000040341	SCENIC:1817[0];HGNC.Current:37787[1];HGNC.Current:37787[1>0];Ensembl.HGNC:22154[3>0]
4833431A01Rik	HGNC.Current:38781[8];HGNC.Current:38781[8>1];HGNC.Current:38781[1];HGNC.Current:38781[1>0];Ensembl.HGNC:173656[3>0]	ENSG00000131931	Toronto:1560[1];Ensembl:173632[0]
4933409D10Rik	HGNC.Current:43380[8];HGNC.Current:43380[8>1];HGNC.Current:43380[1];HGNC.Current:43380[1>0];Ensembl.HGNC:248067[3>0]	ENSG00000164185	Toronto:640[1];Ensembl:248043[0]
5'OY11	HGNC.Current:43249[8];HGNC.Current:43249[8>1];HGNC.Current:43249[1];HGNC.Current:43249[1>0];Ensembl.HGNC:66942[3>0]	ENSG00000275004	Toronto:527[1];Ensembl:66918[0]
5'OY11	HGNC.Current:43249[8];HGNC.Current:43249[8>1];HGNC.Current:43249[1];HGNC.Current:43249[1>0];Ensembl.HGNC:80785[3>0]	ENSG00000277421	SCENIC:1344[0];HGNC.Current:43249[1];HGNC.Current:43249[1>0];Ensembl.HGNC:80785[3>0]
A-myb	HGNC.Current:21954[8];HGNC.Current:21954[8>1];HGNC.Current:21954[1];HGNC.Current:21954[1>0];Ensembl.HGNC:114079[3>0]	ENSG00000185697	Toronto:1418[1];Ensembl:114055[0]
A1	HGNC.Current:28200[8];HGNC.Current:28201[8>1];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]	ENSG00000049541	SCENIC:1782[0];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]
A1-5	HGNC.Current:43060[8];HGNC.Current:43060[8>1];HGNC.Current:43060[1];HGNC.Current:43060[1>0];Ensembl.HGNC:245810[3>0]	ENSG00000275111	Toronto:474[1];Ensembl:245786[0]
A1CF	HGNC.Current:4[1];HGNC.Current:4[1>0];Ensembl.HGNC:174686[3>0]	ENSG00000148584	SCENIC:1554[0];HGNC.Current:4[1];HGNC.Current:4[1>0];Ensembl.HGNC:174686[3>0]
