name	source	ensembl_gene	ensembl_source
HGNC:1001	HGNC.Current:2331[0];Ensembl.HGNC:258887[3>0]	ENSG00000113916	Toronto:213[1];Ensembl:258863[0]
HGNC:10014	HGNC.Withdrawn:2542[0];HGNC.Withdrawn:2542[0>3];HGNC.Current:25827[0];Ensembl.HGNC:146522[3>0]	ENSG00000164093	Toronto:1313[1];Ensembl:146498[0]
HGNC:1002	HGNC.Current:2333[0];Ensembl.HGNC:175509[3>0]	ENSG00000161940	Toronto:214[1];Ensembl:175485[0]
HGNC:10025	HGNC.Current:28413[0];Ensembl.HGNC:47431[3>0]	ENSG00000117000	Toronto:319[1];Ensembl:47407[0]
HGNC:10028	HGNC.Withdrawn:2546[0];HGNC.Withdrawn:2546[0>3];HGNC.Current:13389[0];Ensembl.HGNC:192921[3>0]	ENSG00000248099	SCENIC:1325[0];HGNC.Current:28413[1];HGNC.Current:13389[8>1];HGNC.Current:13389[1];HGNC.Current:13389[1>0];Ensembl.HGNC:192921[3>0]
HGNC:10031	HGNC.Current:28438[0];Ensembl.HGNC:188209[3>0]	ENSG00000277027	SCENIC:1177[0];HGNC.Current:22857[1];HGNC.Current:28438[8>1];HGNC.Current:28438[1];HGNC.Current:28438[1>0];Ensembl.HGNC:188209[3>0]
HGNC:10081	HGNC.Withdrawn:2560[0];HGNC.Withdrawn:2560[0>3];HGNC.Current:36905[0];Ensembl.HGNC:108422[3>0]	ENSG00000104852	SCENIC:1806[0];HGNC.Current:36905[1];HGNC.Current:36905[1>0];Ensembl.HGNC:108422[3>0]
HGNC:10255	HGNC.Withdrawn:2598[0];HGNC.Withdrawn:2598[0>3];HGNC.Current:9463[0];Ensembl.HGNC:220738[3>0]	ENSG00000109101	Toronto:1088[1];Ensembl:220714[0]
HGNC:10258	HGNC.Current:32134[0];Ensembl.HGNC:40538[3>0]	ENSG00000069667	Toronto:1469[1];Ensembl:40514[0]
HGNC:10259	HGNC.Current:32137[0];Ensembl.HGNC:31655[3>0]	ENSG00000198963	Toronto:1470[1];Ensembl:31631[0]
HGNC:10260	HGNC.Current:32139[0];Ensembl.HGNC:267709[3>0]	ENSG00000143365	Toronto:1471[1];Ensembl:267661[0]
HGNC:10268	HGNC.Withdrawn:2604[0];HGNC.Withdrawn:2604[0>3];HGNC.Current:41255[0];Ensembl.HGNC:120492[3>0]	ENSG00000112041	SCENIC:1216[0];HGNC.Current:41255[1];HGNC.Current:41255[1>0];Ensembl.HGNC:120492[3>0]
HGNC:10292	HGNC.Withdrawn:2623[0];HGNC.Withdrawn:2623[0>3];HGNC.Current:11468[0];Ensembl.HGNC:181388[3>0]	ENSG00000116478	SCENIC:1471[0];HGNC.Current:11468[1];HGNC.Current:11468[1>0];Ensembl.HGNC:181388[3>0]
HGNC:10344	HGNC.Current:33289[0];Ensembl.HGNC:27862[3>0]	ENSG00000136942	SCENIC:1788[0];HGNC.Current:33289[1];HGNC.Current:33289[1>0];Ensembl.HGNC:27862[3>0]
HGNC:10362	HGNC.Current:32242[0];Ensembl.HGNC:214760[3>0]	ENSG00000089009	SCENIC:1789[0];HGNC.Current:32242[1];HGNC.Current:32242[1>0];Ensembl.HGNC:214760[3>0]
HGNC:10383	HGNC.Current:33788[0];Ensembl.HGNC:193963[3>0]	ENSG00000124614	SCENIC:1791[0];HGNC.Current:33788[1];HGNC.Current:33788[1>0];Ensembl.HGNC:193963[3>0]
