name	source	ensembl_gene	ensembl_source
NM_000044	Ensembl.RefSeq_mRNA:185908[1];Ensembl.RefSeq_mRNA:185908[1>0]	ENSG00000169083	Toronto:1432[1];Ensembl:171012[0]
NM_000045	Ensembl.RefSeq_mRNA:230243[1];Ensembl.RefSeq_mRNA:230243[1>0]	ENSG00000118520	SCENIC:1567[0];HGNC.Current:1429[1];HGNC.Current:1429[1>0];Ensembl.HGNC:210990[3>0]
NM_000125	Ensembl.RefSeq_mRNA:170956[1];Ensembl.RefSeq_mRNA:170956[1>0]	ENSG00000091831	Toronto:1433[1];Ensembl:157748[0]
NM_000168	Ensembl.RefSeq_mRNA:134192[1];Ensembl.RefSeq_mRNA:134192[1>0]	ENSG00000106571	Toronto:240[1];Ensembl:124333[0]
NM_000176	Ensembl.RefSeq_mRNA:199687[1];Ensembl.RefSeq_mRNA:199687[1>0]	ENSG00000113580	Toronto:1454[1];Ensembl:182879[0]
NM_000183	Ensembl.RefSeq_mRNA:47680[1];Ensembl.RefSeq_mRNA:47680[1>0]	ENSG00000138029	SCENIC:1645[0];HGNC.Current:11342[1];HGNC.Current:11342[1>0];Ensembl.HGNC:43543[3>0]
NM_000192	Ensembl.RefSeq_mRNA:113787[1];Ensembl.RefSeq_mRNA:113787[1>0]	ENSG00000089225	Toronto:1550[1];Ensembl:105669[0]
NM_000209	Ensembl.RefSeq_mRNA:15046[1];Ensembl.RefSeq_mRNA:15046[1>0]	ENSG00000139515	Toronto:1309[1];Ensembl:14282[0]
NM_000248	Ensembl.RefSeq_mRNA:282341[1];Ensembl.RefSeq_mRNA:282341[1>0]	ENSG00000187098	Toronto:84[1];Ensembl:257991[0]
NM_000267	Ensembl.RefSeq_mRNA:277241[1];Ensembl.RefSeq_mRNA:277241[1>0]	ENSG00000196712	SCENIC:1248[0];HGNC.Current:22633[1];HGNC.Current:22633[1>0];Ensembl.HGNC:253527[3>0]
NM_000269	Ensembl.RefSeq_mRNA:119553[1];Ensembl.RefSeq_mRNA:119553[1>0]	ENSG00000239672	SCENIC:1177[0];HGNC.Current:22857[1];HGNC.Current:22857[1>0];Ensembl.HGNC:111141[3>0]
NM_000278	Ensembl.RefSeq_mRNA:189472[1];Ensembl.RefSeq_mRNA:189472[1>0]	ENSG00000075891	Toronto:1352[1];Ensembl:174198[0]
NM_000280	Ensembl.RefSeq_mRNA:238237[1];Ensembl.RefSeq_mRNA:238237[1>0]	ENSG00000007372	Toronto:1355[1];Ensembl:216522[0]
NM_000290	Ensembl.RefSeq_mRNA:121395[1];Ensembl.RefSeq_mRNA:121395[1>0]	ENSG00000164708	SCENIC:1740[0];HGNC.Current:25387[1];HGNC.Current:25387[1>0];Ensembl.HGNC:112836[3>0]
NM_000301	Ensembl.RefSeq_mRNA:225761[1];Ensembl.RefSeq_mRNA:225761[1>0]	ENSG00000122194	SCENIC:1748[0];HGNC.Current:26020[1];HGNC.Current:26020[1>0];Ensembl.HGNC:207076[3>0]
NM_000306	Ensembl.RefSeq_mRNA:206546[1];Ensembl.RefSeq_mRNA:206546[1>0]	ENSG00000064835	Toronto:1357[1];Ensembl:189766[0]
NM_000307	Ensembl.RefSeq_mRNA:24767[1];Ensembl.RefSeq_mRNA:24767[1>0]	ENSG00000196767	Toronto:1364[1];Ensembl:23285[0]
NM_000311	Ensembl.RefSeq_mRNA:38500[1];Ensembl.RefSeq_mRNA:38500[1>0]	ENSG00000171867	SCENIC:1762[0];HGNC.Current:26893[1];HGNC.Current:26893[1>0];Ensembl.HGNC:36108[3>0]
NM_000321	Ensembl.RefSeq_mRNA:50688[1];Ensembl.RefSeq_mRNA:50688[1>0]	ENSG00000139687	SCENIC:1299[0];HGNC.Current:27874[1];HGNC.Current:27874[1>0];Ensembl.HGNC:47226[3>0]
NM_000325	Ensembl.RefSeq_mRNA:158596[1];Ensembl.RefSeq_mRNA:158596[1>0]	ENSG00000164093	Toronto:1313[1];Ensembl:146498[0]
NM_000346	Ensembl.RefSeq_mRNA:77633[1];Ensembl.RefSeq_mRNA:77633[1>0]	ENSG00000125398	Toronto:1151[1];Ensembl:72389[0]
NM_000365	Ensembl.RefSeq_mRNA:139041[1];Ensembl.RefSeq_mRNA:139041[1>0]	ENSG00000111669	SCENIC:1841[0];HGNC.Current:39658[1];HGNC.Current:39658[1>0];Ensembl.HGNC:128936[3>0]
NM_000376	Ensembl.RefSeq_mRNA:148775[1];Ensembl.RefSeq_mRNA:148775[1>0]	ENSG00000111424	Toronto:1477[1];Ensembl:137837[0]
NM_000378	Ensembl.RefSeq_mRNA:281277[1];Ensembl.RefSeq_mRNA:281277[1>0]	ENSG00000184937	Toronto:347[1];Ensembl:257107[0]
NM_000380	Ensembl.RefSeq_mRNA:52621[1];Ensembl.RefSeq_mRNA:52621[1>0]	ENSG00000136936	Toronto:1640[1];Ensembl:49123[0]
NM_000383	Ensembl.RefSeq_mRNA:9873[1];Ensembl.RefSeq_mRNA:9873[1>0]	ENSG00000160224	Toronto:1510[1];Ensembl:9291[0]
NM_000399	Ensembl.RefSeq_mRNA:123346[1];Ensembl.RefSeq_mRNA:123346[1>0]	ENSG00000122877	Toronto:229[1];Ensembl:114562[0]
NM_000411	Ensembl.RefSeq_mRNA:14083[1];Ensembl.RefSeq_mRNA:14083[1>0]	ENSG00000159267	SCENIC:1656[0];HGNC.Current:11723[1];HGNC.Current:11723[1>0];Ensembl.HGNC:13292[3>0]
NM_000414	Ensembl.RefSeq_mRNA:249350[1];Ensembl.RefSeq_mRNA:249350[1>0]	ENSG00000133835	SCENIC:198[0];HGNC.Current:6229[1];HGNC.Current:12278[8>1];HGNC.Current:12278[1];HGNC.Current:12278[1>0];Ensembl.HGNC:227857[3>0]
NM_000438	Ensembl.RefSeq_mRNA:135947[1];Ensembl.RefSeq_mRNA:135947[1>0]	ENSG00000135903	Toronto:1353[1];Ensembl:125868[0]
NM_000448	Ensembl.RefSeq_mRNA:250047[1];Ensembl.RefSeq_mRNA:250047[1>0]	ENSG00000166349	Toronto:1619[1];Ensembl:229090[0]
NM_000449	Ensembl.RefSeq_mRNA:297396[1];Ensembl.RefSeq_mRNA:297396[1>0]	ENSG00000143390	Toronto:1503[1];Ensembl:271409[0]
NM_000451	Ensembl.RefSeq_mRNA:737[1];Ensembl.RefSeq_mRNA:112923[1>0]	ENSG00000185960	Toronto:1326[1];Ensembl:105018[0]
NM_000451	Ensembl.RefSeq_mRNA:737[1];Ensembl.RefSeq_mRNA:737[1>0]	ENSG00000292354	SCENIC:116[0];HGNC.Current:35360[1];HGNC.Current:35360[1>0];Ensembl.HGNC:655[3>0]
NM_000454	Ensembl.RefSeq_mRNA:15572[1];Ensembl.RefSeq_mRNA:15572[1>0]	ENSG00000142168	SCENIC:1809[0];HGNC.Current:37091[1];HGNC.Current:37091[1>0];Ensembl.HGNC:14738[3>0]
NM_000457	Ensembl.RefSeq_mRNA:134444[1];Ensembl.RefSeq_mRNA:134444[1>0]	ENSG00000101076	Toronto:1438[1];Ensembl:124298[0]
NM_000458	Ensembl.RefSeq_mRNA:63954[1];Ensembl.RefSeq_mRNA:186754[1>0]	ENSG00000275410	Toronto:1210[1];Ensembl:171923[0]
