name	source	ensembl_gene	ensembl_source
uc001abz.6	Ensembl.UCSC:199958[3];Ensembl.UCSC:199958[3>0]	ENSG00000188976	SCENIC:1730[0];HGNC.Current:22924[1];HGNC.Current:22924[1>0];Ensembl.HGNC:200099[3>0]
uc001aci.4	Ensembl.UCSC:200155[3];Ensembl.UCSC:200155[3>0]	ENSG00000188290	Toronto:71[1];Ensembl:200410[0]
uc001aeo.5	Ensembl.UCSC:269069[3];Ensembl.UCSC:269069[3>0]	ENSG00000224051	SCENIC:1592[0];HGNC.Current:5471[1];HGNC.Current:5471[1>0];Ensembl.HGNC:268700[3>0]
uc001aja.6	Ensembl.UCSC:273084[3];Ensembl.UCSC:273084[3>0]	ENSG00000157933	Toronto:1625[1];Ensembl:272690[0]
uc001ajb.3	Ensembl.UCSC:48819[3];Ensembl.UCSC:48819[3>0]	ENSG00000116151	SCENIC:1709[0];HGNC.Current:20811[1];HGNC.Current:20811[1>0];Ensembl.HGNC:49073[3>0]
uc001ajd.2	Ensembl.UCSC:48881[3];Ensembl.UCSC:48881[3>0]	ENSG00000116151	SCENIC:1709[0];HGNC.Current:20811[1];HGNC.Current:20811[1>0];Ensembl.HGNC:49073[3>0]
uc001ajn.4	Ensembl.UCSC:39762[3];Ensembl.UCSC:39762[3>0]	ENSG00000197921	Toronto:72[1];Ensembl:39951[0]
uc001ake.4	Ensembl.UCSC:33244[3];Ensembl.UCSC:33244[3>0]	ENSG00000142611	Toronto:307[1];Ensembl:32876[0]
uc001akf.5	Ensembl.UCSC:33308[3];Ensembl.UCSC:33308[3>0]	ENSG00000142611	Toronto:307[1];Ensembl:32876[0]
uc001akp.5	Ensembl.UCSC:277029[3];Ensembl.UCSC:277029[3>0]	ENSG00000078900	Toronto:1480[1];Ensembl:276600[0]
uc001akr.3	Ensembl.UCSC:277039[3];Ensembl.UCSC:277039[3>0]	ENSG00000078900	Toronto:1480[1];Ensembl:276600[0]
uc001aks.4	Ensembl.UCSC:277038[3];Ensembl.UCSC:277038[3>0]	ENSG00000078900	Toronto:1480[1];Ensembl:276600[0]
uc001amw.5	Ensembl.UCSC:274462[3];Ensembl.UCSC:274462[3>0]	ENSG00000069812	Toronto:69[1];Ensembl:274046[0]
uc001amx.4	Ensembl.UCSC:274469[3];Ensembl.UCSC:274469[3>0]	ENSG00000069812	Toronto:69[1];Ensembl:274046[0]
uc001anx.6	Ensembl.UCSC:152424[3];Ensembl.UCSC:152424[3>0]	ENSG00000204859	Toronto:380[1];Ensembl:152572[0]
uc001any.3	Ensembl.UCSC:152433[3];Ensembl.UCSC:152433[3>0]	ENSG00000204859	Toronto:380[1];Ensembl:152572[0]
uc001aoc.5	Ensembl.UCSC:258630[3];Ensembl.UCSC:258630[3>0]	ENSG00000041988	Toronto:1565[1];Ensembl:258296[0]
uc001aod.4	Ensembl.UCSC:258633[3];Ensembl.UCSC:258633[3>0]	ENSG00000041988	Toronto:1565[1];Ensembl:258296[0]
uc001aoe.3	Ensembl.UCSC:258634[3];Ensembl.UCSC:258634[3>0]	ENSG00000041988	Toronto:1565[1];Ensembl:258296[0]
uc001aoh.4	Ensembl.UCSC:275644[3];Ensembl.UCSC:275644[3>0]	ENSG00000171735	Toronto:977[1];Ensembl:275213[0]
uc001aoi.4	Ensembl.UCSC:275641[3];Ensembl.UCSC:275641[3>0]	ENSG00000171735	Toronto:977[1];Ensembl:275213[0]
uc001aol.4	Ensembl.UCSC:269716[3];Ensembl.UCSC:269716[3>0]	ENSG00000049245	SCENIC:1861[0];HGNC.Current:41942[1];HGNC.Current:41942[1>0];Ensembl.HGNC:269370[3>0]
uc001apj.4	Ensembl.UCSC:272780[3];Ensembl.UCSC:272780[3>0]	ENSG00000074800	SCENIC:1157[0];HGNC.Current:7969[1];HGNC.Current:7969[1>0];Ensembl.HGNC:272391[3>0]
uc001are.5	Ensembl.UCSC:121158[3];Ensembl.UCSC:121158[3>0]	ENSG00000175279	Toronto:1580[1];Ensembl:121365[0]
uc001aro.7	Ensembl.UCSC:45084[3];Ensembl.UCSC:45084[3>0]	ENSG00000130940	Toronto:217[1];Ensembl:45139[0]
uc001arp.3	Ensembl.UCSC:45112[3];Ensembl.UCSC:45112[3>0]	ENSG00000130940	Toronto:217[1];Ensembl:45139[0]
uc001arq.2	Ensembl.UCSC:45137[3];Ensembl.UCSC:45137[3>0]	ENSG00000130940	Toronto:217[1];Ensembl:45139[0]
uc001avg.4	Ensembl.UCSC:254205[3];Ensembl.UCSC:254205[3>0]	ENSG00000116731	Toronto:308[1];Ensembl:253820[0]
uc001avh.5	Ensembl.UCSC:254188[3];Ensembl.UCSC:254188[3>0]	ENSG00000116731	Toronto:308[1];Ensembl:253820[0]
uc001avi.3	Ensembl.UCSC:254213[3];Ensembl.UCSC:254213[3>0]	ENSG00000116731	Toronto:308[1];Ensembl:253820[0]
uc001avk.4	Ensembl.UCSC:254245[3];Ensembl.UCSC:254245[3>0]	ENSG00000116731	Toronto:308[1];Ensembl:253820[0]
uc001awv.4	Ensembl.UCSC:276478[3];Ensembl.UCSC:276478[3>0]	ENSG00000116771	SCENIC:1560[0];HGNC.Current:659[1];HGNC.Current:659[1>0];Ensembl.HGNC:276097[3>0]
uc001axk.3	Ensembl.UCSC:273019[3];Ensembl.UCSC:273019[3>0]	ENSG00000065526	Toronto:1632[1];Ensembl:272590[0]
uc001axl.6	Ensembl.UCSC:223925[3];Ensembl.UCSC:223925[3>0]	ENSG00000116809	Toronto:356[1];Ensembl:223778[0]
uc001bay.3	Ensembl.UCSC:277374[3];Ensembl.UCSC:277374[3>0]	ENSG00000009709	Toronto:1356[1];Ensembl:276936[0]
uc001baz.4	Ensembl.UCSC:277375[3];Ensembl.UCSC:277375[3>0]	ENSG00000009709	Toronto:1356[1];Ensembl:276936[0]
uc001bdw.3	Ensembl.UCSC:257128[3];Ensembl.UCSC:257128[3>0]	ENSG00000127483	SCENIC:1666[0];HGNC.Current:12192[1];HGNC.Current:12192[1>0];Ensembl.HGNC:256791[3>0]
uc001beb.3	Ensembl.UCSC:257160[3];Ensembl.UCSC:257160[3>0]	ENSG00000127483	SCENIC:1666[0];HGNC.Current:12192[1];HGNC.Current:12192[1>0];Ensembl.HGNC:256791[3>0]
uc001bft.2	Ensembl.UCSC:39016[3];Ensembl.UCSC:39016[3>0]	ENSG00000184677	Toronto:372[1];Ensembl:39277[0]
uc001bfu.4	Ensembl.UCSC:39009[3];Ensembl.UCSC:39009[3>0]	ENSG00000184677	Toronto:372[1];Ensembl:39277[0]
uc001bgl.4	Ensembl.UCSC:277461[3];Ensembl.UCSC:277461[3>0]	ENSG00000169641	SCENIC:1695[0];HGNC.Current:17760[1];HGNC.Current:17760[1>0];Ensembl.HGNC:277068[3>0]
uc001bgm.3	Ensembl.UCSC:277455[3];Ensembl.UCSC:277455[3>0]	ENSG00000169641	SCENIC:1695[0];HGNC.Current:17760[1];HGNC.Current:17760[1>0];Ensembl.HGNC:277068[3>0]
uc001bgt.4	Ensembl.UCSC:276517[3];Ensembl.UCSC:276517[3>0]	ENSG00000125945	Toronto:616[1];Ensembl:276087[0]
uc001bgu.5	Ensembl.UCSC:276516[3];Ensembl.UCSC:276516[3>0]	ENSG00000125945	Toronto:616[1];Ensembl:276087[0]
uc001bgy.1	Ensembl.UCSC:276525[3];Ensembl.UCSC:276525[3>0]	ENSG00000088280	SCENIC:1570[0];HGNC.Current:1715[1];HGNC.Current:1715[1>0];Ensembl.HGNC:276144[3>0]
uc001bha.4	Ensembl.UCSC:276526[3];Ensembl.UCSC:276526[3>0]	ENSG00000088280	SCENIC:1570[0];HGNC.Current:1715[1];HGNC.Current:1715[1>0];Ensembl.HGNC:276144[3>0]
uc001bhe.4	Ensembl.UCSC:116829[3];Ensembl.UCSC:116829[3>0]	ENSG00000007968	Toronto:1012[1];Ensembl:116976[0]
uc001bix.4	Ensembl.UCSC:239012[3];Ensembl.UCSC:239012[3>0]	ENSG00000158055	Toronto:1118[1];Ensembl:238762[0]
uc001biy.4	Ensembl.UCSC:239031[3];Ensembl.UCSC:239031[3>0]	ENSG00000158055	Toronto:1118[1];Ensembl:238762[0]
uc001bjq.5	Ensembl.UCSC:273831[3];Ensembl.UCSC:273831[3>0]	ENSG00000020633	Toronto:1509[1];Ensembl:273459[0]
uc001bjr.3	Ensembl.UCSC:273833[3];Ensembl.UCSC:273833[3>0]	ENSG00000020633	Toronto:1509[1];Ensembl:273459[0]
uc001bmg.2	Ensembl.UCSC:175307[3];Ensembl.UCSC:175307[3>0]	ENSG00000176083	Toronto:792[1];Ensembl:175517[0]
uc001bmh.3	Ensembl.UCSC:175319[3];Ensembl.UCSC:175319[3>0]	ENSG00000176083	Toronto:792[1];Ensembl:175517[0]
uc001bmj.5	Ensembl.UCSC:237993[3];Ensembl.UCSC:237993[3>0]	ENSG00000131914	Toronto:979[1];Ensembl:237768[0]
uc001bqz.4	Ensembl.UCSC:192057[3];Ensembl.UCSC:192057[3>0]	ENSG00000162419	Toronto:1512[1];Ensembl:192186[0]
uc001bra.4	Ensembl.UCSC:192071[3];Ensembl.UCSC:192071[3>0]	ENSG00000162419	Toronto:1512[1];Ensembl:192186[0]
uc001brb.5	Ensembl.UCSC:192048[3];Ensembl.UCSC:192048[3>0]	ENSG00000162419	Toronto:1512[1];Ensembl:192186[0]
uc001bsp.4	Ensembl.UCSC:276933[3];Ensembl.UCSC:276933[3>0]	ENSG00000121766	SCENIC:1870[0];HGNC.Current:42883[1];HGNC.Current:42883[1>0];Ensembl.HGNC:276545[3>0]
uc001bsq.2	Ensembl.UCSC:276926[3];Ensembl.UCSC:276926[3>0]	ENSG00000121766	SCENIC:1870[0];HGNC.Current:42883[1];HGNC.Current:42883[1>0];Ensembl.HGNC:276545[3>0]
uc001bsr.3	Ensembl.UCSC:276932[3];Ensembl.UCSC:276932[3>0]	ENSG00000121766	SCENIC:1870[0];HGNC.Current:42883[1];HGNC.Current:42883[1>0];Ensembl.HGNC:276545[3>0]
uc001bta.5	Ensembl.UCSC:175374[3];Ensembl.UCSC:175374[3>0]	ENSG00000142910	SCENIC:1567[0];HGNC.Current:1429[1];HGNC.Current:38928[8>1];HGNC.Current:38928[1];HGNC.Current:38928[1>0];Ensembl.HGNC:175588[3>0]
uc001bvb.3	Ensembl.UCSC:181349[3];Ensembl.UCSC:181349[3>0]	ENSG00000116478	SCENIC:1471[0];HGNC.Current:11468[1];HGNC.Current:11468[1>0];Ensembl.HGNC:181388[3>0]
uc001bvc.2	Ensembl.UCSC:181383[3];Ensembl.UCSC:181383[3>0]	ENSG00000116478	SCENIC:1471[0];HGNC.Current:11468[1];HGNC.Current:11468[1>0];Ensembl.HGNC:181388[3>0]
uc001bvl.6	Ensembl.UCSC:44879[3];Ensembl.UCSC:44879[3>0]	ENSG00000273274	Toronto:388[1];Ensembl:45077[0]
uc001bvm.4	Ensembl.UCSC:224400[3];Ensembl.UCSC:224400[3>0]	ENSG00000160062	Toronto:387[1];Ensembl:224302[0]
uc001bvn.5	Ensembl.UCSC:224399[3];Ensembl.UCSC:224399[3>0]	ENSG00000160062	Toronto:387[1];Ensembl:224302[0]
uc001bxc.2	Ensembl.UCSC:231335[3];Ensembl.UCSC:231335[3>0]	ENSG00000160094	Toronto:576[1];Ensembl:231178[0]
uc001bxj.5	Ensembl.UCSC:223681[3];Ensembl.UCSC:223681[3>0]	ENSG00000121903	Toronto:931[1];Ensembl:223644[0]
uc001bxk.3	Ensembl.UCSC:223683[3];Ensembl.UCSC:223683[3>0]	ENSG00000121903	Toronto:931[1];Ensembl:223644[0]
uc001bxp.3	Ensembl.UCSC:196948[3];Ensembl.UCSC:196948[3>0]	ENSG00000176256	SCENIC:1660[0];HGNC.Current:11841[1];HGNC.Current:11841[1>0];Ensembl.HGNC:197122[3>0]
