name	source	ensembl_gene	ensembl_source
ASMPATCHG00000000170	Ensembl.Genes:115937[0]	ENSG00000263255	Ensembl.Genes:115937[0>2];Ensembl.Genes:115937[2]
ASMPATCHG00000000170	Ensembl.Genes:115937[0]	ENSG00000256229	Ensembl.Genes:452990[0>2];Ensembl:234204[0]
ASMPATCHG00000000174	Ensembl.Genes:115938[0]	ENSG00000262249	Ensembl.Genes:115938[0>2];Ensembl.Genes:115938[2]
ASMPATCHG00000000174	Ensembl.Genes:115938[0]	ENSG00000188171	Ensembl.Genes:450973[0>2];Ensembl:183892[0]
ASMPATCHG00000000175	Ensembl.Genes:115939[0]	ENSG00000262578	Ensembl.Genes:115939[0>2];Ensembl.Genes:115939[2]
ASMPATCHG00000000175	Ensembl.Genes:115939[0]	ENSG00000237440	Ensembl.Genes:451655[0>2];Ensembl:53083[0]
ASMPATCHG00000000190	Ensembl.Genes:115940[0]	ENSG00000263181	Ensembl.Genes:115940[0>2];Ensembl:79838[0]
ASMPATCHG00000000202	Ensembl.Genes:115941[0]	ENSG00000262684	Ensembl.Genes:115941[0>2];Ensembl.Genes:115941[2]
ASMPATCHG00000000222	Ensembl.Genes:115942[0]	ENSG00000262907	Ensembl.Genes:115942[0>2];Ensembl.Genes:115942[2]
ASMPATCHG00000000241	Ensembl.Genes:115943[0]	ENSG00000263273	Ensembl.Genes:115943[0>2];Ensembl.Genes:115943[2]
ASMPATCHG00000000241	Ensembl.Genes:115943[0]	ENSG00000264490	Ensembl.Genes:453035[0>2];Ensembl:12761[0]
ASMPATCHG00000000243	Ensembl.Genes:115944[0]	ENSG00000262549	Ensembl.Genes:115944[0>2];Ensembl.Genes:115944[2]
ASMPATCHG00000000255	Ensembl.Genes:115945[0]	ENSG00000262607	Ensembl.Genes:115945[0>2];Ensembl:36310[0]
ASMPATCHG00000000258	Ensembl.Genes:115946[0]	ENSG00000262349	Ensembl.Genes:115946[0>2];Ensembl:36823[0]
ASMPATCHG00000000260	Ensembl.Genes:115947[0]	ENSG00000262939	Ensembl.Genes:115947[0>2];Ensembl.Genes:115947[2]
ASMPATCHG00000000261	Ensembl.Genes:115948[0]	ENSG00000262935	Ensembl.Genes:115948[0>2];Ensembl.Genes:115948[2]
ASMPATCHG00000000263	Ensembl.Genes:115949[0]	ENSG00000262285	Ensembl.Genes:115949[0>2];Ensembl.Genes:115949[2]
ASMPATCHG00000000264	Ensembl.Genes:115950[0]	ENSG00000263169	Ensembl.Genes:115950[0>2];Ensembl.Genes:115950[2]
ASMPATCHG00000000267	Ensembl.Genes:115951[0]	ENSG00000262864	Ensembl.Genes:115951[0>2];Ensembl.Genes:115951[2]
ASMPATCHG00000000268	Ensembl.Genes:115952[0]	ENSG00000262327	Ensembl.Genes:115952[0>2];Ensembl:102865[0]
ASMPATCHG00000000273	Ensembl.Genes:115953[0]	ENSG00000262912	Ensembl.Genes:115953[0>2];Ensembl.Genes:115953[2]
ASMPATCHG00000000274	Ensembl.Genes:115954[0]	ENSG00000262174	Ensembl.Genes:115954[0>2];Ensembl.Genes:115954[2]
ASMPATCHG00000000277	Ensembl.Genes:115955[0]	ENSG00000262016	Ensembl.Genes:115955[0>2];Ensembl:36308[0]
ASMPATCHG00000000280	Ensembl.Genes:115956[0]	ENSG00000262595	Ensembl.Genes:115956[0>2];Ensembl.Genes:115956[2]
ASMPATCHG00000000281	Ensembl.Genes:115957[0]	ENSG00000263328	Ensembl.Genes:115957[0>2];Ensembl:222[0]
ASMPATCHG00000000284	Ensembl.Genes:115958[0]	ENSG00000263112	Ensembl.Genes:115958[0>2];Ensembl.Genes:115958[2]
ASMPATCHG00000000294	Ensembl.Genes:115959[0]	ENSG00000263021	Ensembl.Genes:115959[0>2];Ensembl.Genes:115959[2]
ASMPATCHG00000000297	Ensembl.Genes:115960[0]	ENSG00000262467	Ensembl.Genes:115960[0>2];Ensembl.Genes:115960[2]
ASMPATCHG00000000300	Ensembl.Genes:115961[0]	ENSG00000263066	Ensembl.Genes:115961[0>2];Ensembl.Genes:115961[2]
ASMPATCHG00000000301	Ensembl.Genes:115962[0]	ENSG00000262425	Ensembl.Genes:115962[0>2];Ensembl.Genes:115962[2]
ASMPATCHG00000000308	Ensembl.Genes:115963[0]	ENSG00000263238	Ensembl.Genes:115963[0>2];Ensembl:91005[0]
ASMPATCHG00000000311	Ensembl.Genes:115964[0]	ENSG00000263087	Ensembl.Genes:115964[0>2];Ensembl.Genes:115964[2]
ASMPATCHG00000000311	Ensembl.Genes:115964[0]	ENSG00000238823	Ensembl.Genes:452651[0>2];Ensembl.Genes:72852[2]
ASMPATCHG00000000314	Ensembl.Genes:115965[0]	ENSG00000262794	Ensembl.Genes:115965[0>2];Ensembl.Genes:115965[2]
ASMPATCHG00000000317	Ensembl.Genes:115966[0]	ENSG00000262284	Ensembl.Genes:115966[0>2];Ensembl.Genes:115966[2]
ASMPATCHG00000000319	Ensembl.Genes:115967[0]	ENSG00000263022	Ensembl.Genes:115967[0>2];Ensembl:47408[0]
ASMPATCHG00000000321	Ensembl.Genes:115968[0]	ENSG00000262604	Ensembl.Genes:115968[0>2];Ensembl.Genes:115968[2]
ASMPATCHG00000000327	Ensembl.Genes:115969[0]	ENSG00000262584	Ensembl.Genes:115969[0>2];Ensembl.Genes:115969[2]
ASMPATCHG00000000328	Ensembl.Genes:115970[0]	ENSG00000262131	Ensembl.Genes:115970[0>2];Ensembl.Genes:115970[2]
ASMPATCHG00000000329	Ensembl.Genes:115971[0]	ENSG00000262114	Ensembl.Genes:115971[0>2];Ensembl.Genes:115971[2]
