name	source	ensembl_gene	ensembl_source
ENSP00000000233	Ensembl:216800[2]	ENSG00000004059	Ensembl:216800[2>0]
ENSP00000000412	Ensembl:104987[2]	ENSG00000003056	Ensembl:104987[2>0]
ENSP00000000442	Ensembl:123842[2]	ENSG00000173153	Ensembl:123842[2>0]
ENSP00000000449	Ensembl.Proteins:207394[0]	ENS!000111770	Unrecognized
ENSP00000001001	Ensembl.Proteins:207396[0]	ENS!000111771	Unrecognized
ENSP00000001008	Ensembl:235186[2]	ENSG00000004478	Ensembl:235186[2>0]
ENSP00000001146	Ensembl:205803[2]	ENSG00000003137	Ensembl:205803[2>0]
ENSP00000001178	Ensembl.Proteins:207405[0]	ENS!000111772	Unrecognized
ENSP00000001380	Ensembl.Proteins:207409[0]	ENS!000111773	Unrecognized
ENSP00000001567	Ensembl.Proteins:207412[0]	ENS!000111774	Unrecognized
ENSP00000001585	Ensembl.Proteins:207418[0]	ENS!000111775	Unrecognized
ENSP00000002125	Ensembl:111973[2]	ENSG00000003509	Ensembl:111973[2>0]
ENSP00000002165	Ensembl:56645[2]	ENSG00000001036	Ensembl:56645[2>0]
ENSP00000002352	Ensembl.Proteins:207430[0]	ENS!000111776	Unrecognized
ENSP00000002377	Ensembl.Proteins:207432[0]	ENS!000111777	Unrecognized
ENSP00000002494	Ensembl.Proteins:207433[0]	ENS!000111778	Unrecognized
ENSP00000002501	Ensembl:109169[2]	ENSG00000003249	Ensembl:109169[2>0]
ENSP00000002594	Ensembl.Proteins:207441[0]	ENS!000111779	Unrecognized
ENSP00000002596	Ensembl:17593[2]	ENSG00000002587	Ensembl:17593[2>0]
ENSP00000002692	Ensembl.Proteins:207454[0]	ENS!000111780	Unrecognized
ENSP00000002829	Ensembl:262925[2]	ENSG00000001617	Ensembl:262925[2>0]
ENSP00000003084	Ensembl:192732[2]	ENSG00000001626	Ensembl:192732[2>0]
ENSP00000003100	Ensembl:154753[2]	ENSG00000001630	Ensembl:154753[2>0]
ENSP00000003302	Ensembl:228694[2]	ENSG00000048028	Ensembl:228694[2>0]
ENSP00000003376	Ensembl.Proteins:207477[0]	ENS!000111781	Unrecognized
ENSP00000003401	Ensembl.Proteins:207478[0]	ENS!000111782	Unrecognized
ENSP00000003583	Ensembl:180314[2]	ENSG00000001460	Ensembl:180314[2>0]
ENSP00000003603	Ensembl.Proteins:207488[0]	ENS!000111783	Unrecognized
ENSP00000003607	Ensembl.Proteins:207493[0]	ENS!000111784	Unrecognized
ENSP00000003616	Ensembl.Proteins:207496[0]	ENS!000111785	Unrecognized
ENSP00000003834	Ensembl.Proteins:207498[0]	ENS!000111786	Unrecognized
ENSP00000003853	Ensembl.Proteins:207503[0]	ENS!000111787	Unrecognized
ENSP00000003912	Ensembl:180486[2]	ENSG00000001461	Ensembl:180486[2>0]
ENSP00000004063	Ensembl.Proteins:207509[0]	ENS!000111788	Unrecognized
ENSP00000004070	Ensembl.Proteins:207511[0]	ENS!000111789	Unrecognized
ENSP00000004103	Ensembl:90968[2]	ENSG00000002933	Ensembl:90968[2>0]
ENSP00000004214	Ensembl.Proteins:207519[0]	ENS!000111790	Unrecognized
ENSP00000004531	Ensembl:177638[2]	ENSG00000003989	Ensembl:177638[2>0]
ENSP00000004661	Ensembl.Proteins:207531[0]	ENS!000111791	Unrecognized
ENSP00000004672	Ensembl.Proteins:207533[0]	ENS!000111792	Unrecognized
ENSP00000004891	Ensembl.Proteins:207538[0]	ENS!000111793	Unrecognized
ENSP00000004899	Ensembl.Proteins:207540[0]	ENS!000111794	Unrecognized
ENSP00000004921	Ensembl.Proteins:207542[0]	ENS!000111795	Unrecognized
ENSP00000004951	Ensembl.Proteins:207546[0]	ENS!000111796	Unrecognized
ENSP00000004954	Ensembl.Proteins:207549[0]	ENS!000111797	Unrecognized
ENSP00000004980	Ensembl.Proteins:207551[0]	ENS!000111798	Unrecognized
ENSP00000004982	Ensembl:98452[2]	ENSG00000004776	Ensembl:98452[2>0]
