name	source	ensembl_gene	ensembl_source
0808y08y	HGNC.Current:22693[8]	ENSG00000272145	HGNC.Current:22693[8>1];HGNC.Current:22693[1];HGNC.Current:22693[1>0];Ensembl.HGNC:271214[3>0]
1-8D	HGNC.Current:12585[8]	ENSG00000185201	HGNC.Current:12585[8>1];HGNC.Current:12585[1];HGNC.Current:12585[1>0];Ensembl.HGNC:206985[3>0]
1-8U	HGNC.Current:12586[8]	ENSG00000142089	HGNC.Current:12586[8>1];HGNC.Current:12586[1];HGNC.Current:12586[1>0];Ensembl.HGNC:140987[3>0]
1-Cys	HGNC.Current:26762[8]	ENSG00000117592	HGNC.Current:26762[8>1];HGNC.Current:26762[1];HGNC.Current:26762[1>0];Ensembl.HGNC:277412[3>0]
1-Cys	HGNC.Current:26762[8]	ENSG00000126432	HGNC.Current:26760[8>1];HGNC.Current:26760[1];HGNC.Current:26760[1>0];Ensembl.HGNC:66825[3>0]
1/2-SBSRNA4	HGNC.Current:34916[8]	ENSG00000247950	HGNC.Current:34916[8>1];HGNC.Current:34916[1];HGNC.Current:34916[1>0];Ensembl.HGNC:174287[3>0]
10-fTHF	HGNC.Current:839[8]	ENSG00000144908	HGNC.Current:839[8>1];HGNC.Current:839[1];HGNC.Current:839[1>0];Ensembl.HGNC:96010[3>0]
101F10	HGNC.Current:14263[8]	ENSG00000103550	HGNC.Current:14263[8>1];HGNC.Current:14263[1];HGNC.Current:14263[1>0];Ensembl.HGNC:178977[3>0]
101F6	HGNC.Current:5955[8]	ENSG00000114395	HGNC.Current:5955[8>1];HGNC.Current:5955[1];HGNC.Current:5955[1>0];Ensembl.HGNC:264919[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000283869	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:55947[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000284457	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:56149[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000284340	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:57113[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000275699	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:57129[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000284460	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:58634[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000284562	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:58763[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000275732	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:60226[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000277750	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:61120[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000283961	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:61170[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000277850	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:61244[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000276044	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:62509[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000277362	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:62660[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000284509	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:62838[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000283986	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:62999[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000277540	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:63373[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000277076	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:63811[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000275237	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:64036[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000274955	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:64258[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000275848	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:64481[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000278271	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:64734[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000278074	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:65397[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000273575	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:65402[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000284365	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:65477[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000284206	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:65763[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000273498	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:66489[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000278606	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:66664[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000274193	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:66823[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000277355	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:67658[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000277964	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:67922[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000278201	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:68524[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000275317	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:68770[3>0]
103AS	HGNC.Current:14082[8]	ENSG00000284013	HGNC.Current:14082[8>1];HGNC.Current:14082[1];HGNC.Current:14082[1>0];Ensembl.HGNC:69252[3>0]
