name	source	ensembl_gene	ensembl_source
HGNC:1	HGNC.Withdrawn:2[0]	ENS!000302471	Unrecognized
HGNC:10	HGNC.Withdrawn:8[0]	ENSG00000163956	HGNC.Withdrawn:8[0>3];HGNC.Current:17563[0];Ensembl.HGNC:147483[3>0]
HGNC:100	HGNC.Current:1766[0]	ENSG00000110881	Ensembl.HGNC:251649[3>0]
HGNC:1000	HGNC.Withdrawn:235[0]	ENS!000302528	Unrecognized
HGNC:10000	HGNC.Current:28276[0]	ENSG00000117152	Ensembl.HGNC:274352[3>0]
HGNC:10001	HGNC.Current:28277[0]	ENSG00000143248	Ensembl.HGNC:97439[3>0]
HGNC:10002	HGNC.Current:28279[0]	ENSG00000182732	Ensembl.HGNC:16355[3>0]
HGNC:10003	HGNC.Current:28280[0]	ENSG00000182901	Ensembl.HGNC:238270[3>0]
HGNC:10004	HGNC.Current:28283[0]	ENSG00000108370	Ensembl.HGNC:55530[3>0]
HGNC:10005	HGNC.Withdrawn:2541[0]	ENSG00000187010	HGNC.Withdrawn:2541[0>3];HGNC.Current:28312[0];Ensembl.HGNC:214026[3>0]
HGNC:10005	HGNC.Withdrawn:2541[0]	ENSG00000188672	HGNC.Withdrawn:2541[0>3];HGNC.Current:28310[0];Ensembl.HGNC:254031[3>0]
HGNC:10006	HGNC.Current:28299[0]	ENSG00000112077	Ensembl.HGNC:157368[3>0]
HGNC:10007	HGNC.Current:28306[0]	ENSG00000103269	Ensembl.HGNC:193185[3>0]
HGNC:10008	HGNC.Current:28310[0]	ENSG00000188672	Ensembl.HGNC:254031[3>0]
HGNC:10009	HGNC.Current:28312[0]	ENSG00000187010	Ensembl.HGNC:214026[3>0]
HGNC:1001	HGNC.Current:2331[0]	ENSG00000113916	Ensembl.HGNC:258887[3>0]
HGNC:10010	HGNC.Current:28315[0]	ENSG00000229927	Ensembl.HGNC:124344[3>0]
HGNC:10011	HGNC.Current:28313[0]	ENSG00000106615	Ensembl.HGNC:227638[3>0]
