name	source	ensembl_gene	ensembl_source
NM_000014	Ensembl.RefSeq_mRNA:120376[1]	ENSG00000175899	Ensembl.RefSeq_mRNA:120376[1>0]
NM_000015	Ensembl.RefSeq_mRNA:202039[1]	ENSG00000156006	Ensembl.RefSeq_mRNA:202039[1>0]
NM_000016	Ensembl.RefSeq_mRNA:294775[1]	ENSG00000117054	Ensembl.RefSeq_mRNA:294775[1>0]
NM_000017	Ensembl.RefSeq_mRNA:233525[1]	ENSG00000122971	Ensembl.RefSeq_mRNA:233525[1>0]
NM_000018	Ensembl.RefSeq_mRNA:191516[1]	ENSG00000072778	Ensembl.RefSeq_mRNA:191516[1>0]
NM_000019	Ensembl.RefSeq_mRNA:105611[1]	ENSG00000075239	Ensembl.RefSeq_mRNA:105611[1>0]
NM_000020	Ensembl.RefSeq_mRNA:278827[1]	ENSG00000139567	Ensembl.RefSeq_mRNA:278827[1>0]
NM_000021	Ensembl.RefSeq_mRNA:197870[1]	ENSG00000080815	Ensembl.RefSeq_mRNA:197870[1>0]
NM_000022	Ensembl.RefSeq_mRNA:110979[1]	ENSG00000196839	Ensembl.RefSeq_mRNA:110979[1>0]
NM_000023	Ensembl.RefSeq_mRNA:182471[1]	ENSG00000108823	Ensembl.RefSeq_mRNA:182471[1>0]
NM_000024	Ensembl.RefSeq_mRNA:234746[1]	ENSG00000169252	Ensembl.RefSeq_mRNA:234746[1>0]
NM_000025	Ensembl.RefSeq_mRNA:165807[1]	ENSG00000188778	Ensembl.RefSeq_mRNA:165807[1>0]
NM_000026	Ensembl.RefSeq_mRNA:42133[1]	ENSG00000239900	Ensembl.RefSeq_mRNA:42133[1>0]
NM_000027	Ensembl.RefSeq_mRNA:67652[1]	ENSG00000038002	Ensembl.RefSeq_mRNA:67652[1>0]
NM_000028	Ensembl.RefSeq_mRNA:83103[1]	ENSG00000162688	Ensembl.RefSeq_mRNA:83103[1>0]
NM_000030	Ensembl.RefSeq_mRNA:137253[1]	ENSG00000172482	Ensembl.RefSeq_mRNA:137253[1>0]
NM_000031	Ensembl.RefSeq_mRNA:118331[1]	ENSG00000148218	Ensembl.RefSeq_mRNA:118331[1>0]
NM_000032	Ensembl.RefSeq_mRNA:61598[1]	ENSG00000158578	Ensembl.RefSeq_mRNA:61598[1>0]
NM_000033	Ensembl.RefSeq_mRNA:51614[1]	ENSG00000101986	Ensembl.RefSeq_mRNA:51614[1>0]
NM_000035	Ensembl.RefSeq_mRNA:125841[1]	ENSG00000136872	Ensembl.RefSeq_mRNA:125841[1>0]
NM_000036	Ensembl.RefSeq_mRNA:251545[1]	ENSG00000116748	Ensembl.RefSeq_mRNA:251545[1>0]
NM_000037	Ensembl.RefSeq_mRNA:192714[1]	ENSG00000029534	Ensembl.RefSeq_mRNA:192714[1>0]
NM_000038	Ensembl.RefSeq_mRNA:291232[1]	ENSG00000134982	Ensembl.RefSeq_mRNA:291232[1>0]
NM_000039	Ensembl.RefSeq_mRNA:180840[1]	ENSG00000118137	Ensembl.RefSeq_mRNA:180840[1>0]
NM_000040	Ensembl.RefSeq_mRNA:180646[1]	ENSG00000110245	Ensembl.RefSeq_mRNA:180646[1>0]
NM_000041	Ensembl.RefSeq_mRNA:164923[1]	ENSG00000130203	Ensembl.RefSeq_mRNA:164923[1>0]
NM_000042	Ensembl.RefSeq_mRNA:275633[1]	ENSG00000091583	Ensembl.RefSeq_mRNA:275633[1>0]
NM_000043	Ensembl.RefSeq_mRNA:147539[1]	ENSG00000026103	Ensembl.RefSeq_mRNA:147539[1>0]
NM_000044	Ensembl.RefSeq_mRNA:185908[1]	ENSG00000169083	Ensembl.RefSeq_mRNA:185908[1>0]
NM_000045	Ensembl.RefSeq_mRNA:230243[1]	ENSG00000118520	Ensembl.RefSeq_mRNA:230243[1>0]
NM_000046	Ensembl.RefSeq_mRNA:167259[1]	ENSG00000113273	Ensembl.RefSeq_mRNA:167259[1>0]
NM_000047	Ensembl.RefSeq_mRNA:91611[1]	ENSG00000157399	Ensembl.RefSeq_mRNA:91611[1>0]
NM_000048	Ensembl.RefSeq_mRNA:32110[1]	ENSG00000126522	Ensembl.RefSeq_mRNA:32110[1>0]
NM_000049	Ensembl.RefSeq_mRNA:190246[1]	ENSG00000108381	Ensembl.RefSeq_mRNA:190246[1>0]
NM_000050	Ensembl.RefSeq_mRNA:113629[1]	ENSG00000130707	Ensembl.RefSeq_mRNA:113629[1>0]
NM_000051	Ensembl.RefSeq_mRNA:280537[1]	ENSG00000149311	Ensembl.RefSeq_mRNA:280537[1>0]
NM_000052	Ensembl.RefSeq_mRNA:116602[1]	ENSG00000165240	Ensembl.RefSeq_mRNA:116602[1>0]
NM_000053	Ensembl.RefSeq_mRNA:49923[1]	ENSG00000123191	Ensembl.RefSeq_mRNA:49923[1>0]
NM_000054	Ensembl.RefSeq_mRNA:112738[1]	ENSG00000126895	Ensembl.RefSeq_mRNA:112738[1>0]
NM_000055	Ensembl.RefSeq_mRNA:63955[1]	ENSG00000114200	Ensembl.RefSeq_mRNA:63955[1>0]
NM_000056	Ensembl.RefSeq_mRNA:59590[1]	ENSG00000083123	Ensembl.RefSeq_mRNA:59590[1>0]
NM_000057	Ensembl.RefSeq_mRNA:113040[1]	ENSG00000197299	Ensembl.RefSeq_mRNA:113040[1>0]
NM_000059	Ensembl.RefSeq_mRNA:50237[1]	ENSG00000139618	Ensembl.RefSeq_mRNA:50237[1>0]
NM_000061	Ensembl.RefSeq_mRNA:131388[1]	ENSG00000010671	Ensembl.RefSeq_mRNA:131388[1>0]
NM_000062	Ensembl.RefSeq_mRNA:138370[1]	ENSG00000149131	Ensembl.RefSeq_mRNA:138370[1>0]
NM_000063	Ensembl.RefSeq_mRNA:134446[1]	ENSG00000204364	Ensembl.RefSeq_mRNA:134446[1>0]
