name	source	ensembl_gene	ensembl_source
uc001aak.4	Ensembl.UCSC:224555[3]	ENSG00000237613	Ensembl.UCSC:224555[3>0]
uc001aal.2	Ensembl.UCSC:224559[3]	ENSG00000186092	Ensembl.UCSC:224559[3>0]
uc001aaq.3	Ensembl.UCSC:273508[3]	ENSG00000290385	Ensembl.UCSC:273508[3>0]
uc001aar.3	Ensembl.UCSC:273505[3]	ENSG00000290385	Ensembl.UCSC:273505[3>0]
uc001abp.5	Ensembl.UCSC:278032[3]	ENSG00000228794	Ensembl.UCSC:278032[3>0]
uc001abt.5	Ensembl.UCSC:206224[3]	ENSG00000230368	Ensembl.UCSC:206224[3>0]
uc001abu.1	Ensembl.UCSC:278060[3]	ENSG00000272438	Ensembl.UCSC:278060[3>0]
uc001abw.3	Ensembl.UCSC:207517[3]	ENSG00000187634	Ensembl.UCSC:207517[3>0]
uc001abz.6	Ensembl.UCSC:199958[3]	ENSG00000188976	Ensembl.UCSC:199958[3>0]
uc001aca.4	Ensembl.UCSC:243498[3]	ENSG00000187961	Ensembl.UCSC:243498[3>0]
uc001acb.2	Ensembl.UCSC:243501[3]	ENSG00000187961	Ensembl.UCSC:243501[3>0]
uc001acd.5	Ensembl.UCSC:200068[3]	ENSG00000187583	Ensembl.UCSC:200068[3>0]
uc001ace.4	Ensembl.UCSC:200100[3]	ENSG00000187583	Ensembl.UCSC:200100[3>0]
uc001acf.4	Ensembl.UCSC:200090[3]	ENSG00000187583	Ensembl.UCSC:200090[3>0]
uc001acg.3	Ensembl.UCSC:272705[3]	ENSG00000187642	Ensembl.UCSC:272705[3>0]
uc001ach.3	Ensembl.UCSC:272704[3]	ENSG00000187642	Ensembl.UCSC:272704[3>0]
uc001aci.4	Ensembl.UCSC:200155[3]	ENSG00000188290	Ensembl.UCSC:200155[3>0]
uc001ack.4	Ensembl.UCSC:200582[3]	ENSG00000188157	Ensembl.UCSC:200582[3>0]
uc001acn.3	Ensembl.UCSC:206617[3]	ENSG00000131591	Ensembl.UCSC:206617[3>0]
uc001act.3	Ensembl.UCSC:206548[3]	ENSG00000131591	Ensembl.UCSC:206548[3>0]
uc001acu.4	Ensembl.UCSC:206576[3]	ENSG00000131591	Ensembl.UCSC:206576[3>0]
uc001acv.4	Ensembl.UCSC:206678[3]	ENSG00000223823	Ensembl.UCSC:206678[3>0]
uc001acw.4	Ensembl.UCSC:274556[3]	ENSG00000207730	Ensembl.UCSC:274556[3>0]
uc001acx.2	Ensembl.UCSC:278077[3]	ENSG00000205231	Ensembl.UCSC:278077[3>0]
uc001acy.3	Ensembl.UCSC:274566[3]	ENSG00000162571	Ensembl.UCSC:274566[3>0]
uc001acz.3	Ensembl.UCSC:274576[3]	ENSG00000162571	Ensembl.UCSC:274576[3>0]
uc001ada.4	Ensembl.UCSC:268648[3]	ENSG00000186891	Ensembl.UCSC:268648[3>0]
uc001adb.4	Ensembl.UCSC:268649[3]	ENSG00000186891	Ensembl.UCSC:268649[3>0]
uc001adc.5	Ensembl.UCSC:268647[3]	ENSG00000186891	Ensembl.UCSC:268647[3>0]
uc001add.4	Ensembl.UCSC:268646[3]	ENSG00000186891	Ensembl.UCSC:268646[3>0]
uc001ade.5	Ensembl.UCSC:270514[3]	ENSG00000186827	Ensembl.UCSC:270514[3>0]
uc001adg.4	Ensembl.UCSC:268653[3]	ENSG00000078808	Ensembl.UCSC:268653[3>0]
uc001adh.7	Ensembl.UCSC:268650[3]	ENSG00000078808	Ensembl.UCSC:268650[3>0]
uc001adi.6	Ensembl.UCSC:268651[3]	ENSG00000078808	Ensembl.UCSC:268651[3>0]
uc001adl.3	Ensembl.UCSC:268660[3]	ENSG00000184163	Ensembl.UCSC:268660[3>0]
uc001adm.6	Ensembl.UCSC:268664[3]	ENSG00000160087	Ensembl.UCSC:268664[3>0]
uc001ado.4	Ensembl.UCSC:268670[3]	ENSG00000160087	Ensembl.UCSC:268670[3>0]
uc001adp.5	Ensembl.UCSC:268665[3]	ENSG00000160087	Ensembl.UCSC:268665[3>0]
uc001adq.4	Ensembl.UCSC:268666[3]	ENSG00000160087	Ensembl.UCSC:268666[3>0]
uc001adr.4	Ensembl.UCSC:268667[3]	ENSG00000160087	Ensembl.UCSC:268667[3>0]
uc001adt.3	Ensembl.UCSC:268686[3]	ENSG00000162572	Ensembl.UCSC:268686[3>0]
uc001adw.3	Ensembl.UCSC:268691[3]	ENSG00000162572	Ensembl.UCSC:268691[3>0]
uc001aeb.4	Ensembl.UCSC:268849[3]	ENSG00000131584	Ensembl.UCSC:268849[3>0]
uc001aec.2	Ensembl.UCSC:268856[3]	ENSG00000131584	Ensembl.UCSC:268856[3>0]
uc001aed.5	Ensembl.UCSC:274586[3]	ENSG00000169972	Ensembl.UCSC:274586[3>0]
uc001aee.4	Ensembl.UCSC:268973[3]	ENSG00000127054	Ensembl.UCSC:268973[3>0]
uc001aef.2	Ensembl.UCSC:268953[3]	ENSG00000127054	Ensembl.UCSC:268953[3>0]
uc001aeh.3	Ensembl.UCSC:268989[3]	ENSG00000127054	Ensembl.UCSC:268989[3>0]
uc001aei.2	Ensembl.UCSC:268959[3]	ENSG00000127054	Ensembl.UCSC:268959[3>0]
uc001aek.3	Ensembl.UCSC:268978[3]	ENSG00000127054	Ensembl.UCSC:268978[3>0]
uc001ael.4	Ensembl.UCSC:269046[3]	ENSG00000127054	Ensembl.UCSC:269046[3>0]
uc001aeo.5	Ensembl.UCSC:269069[3]	ENSG00000224051	Ensembl.UCSC:269069[3>0]
uc001aer.5	Ensembl.UCSC:269072[3]	ENSG00000107404	Ensembl.UCSC:269072[3>0]
uc001aew.6	Ensembl.UCSC:269098[3]	ENSG00000162576	Ensembl.UCSC:269098[3>0]
uc001aex.6	Ensembl.UCSC:269099[3]	ENSG00000162576	Ensembl.UCSC:269099[3>0]
uc001aez.4	Ensembl.UCSC:269097[3]	ENSG00000162576	Ensembl.UCSC:269097[3>0]
uc001afa.5	Ensembl.UCSC:269100[3]	ENSG00000162576	Ensembl.UCSC:269100[3>0]
uc001afb.2	Ensembl.UCSC:269106[3]	ENSG00000175756	Ensembl.UCSC:269106[3>0]
uc001afc.4	Ensembl.UCSC:269108[3]	ENSG00000175756	Ensembl.UCSC:269108[3>0]
uc001afd.3	Ensembl.UCSC:269109[3]	ENSG00000175756	Ensembl.UCSC:269109[3>0]
uc001afi.4	Ensembl.UCSC:243161[3]	ENSG00000221978	Ensembl.UCSC:243161[3>0]
uc001afo.6	Ensembl.UCSC:170741[3]	ENSG00000242485	Ensembl.UCSC:170741[3>0]
uc001afp.3	Ensembl.UCSC:217903[3]	ENSG00000235098	Ensembl.UCSC:217903[3>0]
uc001afq.4	Ensembl.UCSC:217909[3]	ENSG00000235098	Ensembl.UCSC:217909[3>0]
uc001afr.4	Ensembl.UCSC:170808[3]	ENSG00000179403	Ensembl.UCSC:170808[3>0]
uc001afs.5	Ensembl.UCSC:170833[3]	ENSG00000179403	Ensembl.UCSC:170833[3>0]
uc001aft.3	Ensembl.UCSC:170863[3]	ENSG00000215915	Ensembl.UCSC:170863[3>0]
uc001afv.5	Ensembl.UCSC:275684[3]	ENSG00000160072	Ensembl.UCSC:275684[3>0]
uc001afx.4	Ensembl.UCSC:275685[3]	ENSG00000160072	Ensembl.UCSC:275685[3>0]
uc001afz.3	Ensembl.UCSC:226092[3]	ENSG00000197785	Ensembl.UCSC:226092[3>0]
uc001aga.4	Ensembl.UCSC:226078[3]	ENSG00000197785	Ensembl.UCSC:226078[3>0]
uc001agb.3	Ensembl.UCSC:226096[3]	ENSG00000197785	Ensembl.UCSC:226096[3>0]
uc001agd.5	Ensembl.UCSC:226117[3]	ENSG00000160075	Ensembl.UCSC:226117[3>0]
uc001age.2	Ensembl.UCSC:226122[3]	ENSG00000160075	Ensembl.UCSC:226122[3>0]
uc001agg.5	Ensembl.UCSC:226549[3]	ENSG00000197530	Ensembl.UCSC:226549[3>0]
uc001agh.5	Ensembl.UCSC:226547[3]	ENSG00000197530	Ensembl.UCSC:226547[3>0]
uc001agi.5	Ensembl.UCSC:226551[3]	ENSG00000197530	Ensembl.UCSC:226551[3>0]
uc001agk.5	Ensembl.UCSC:226550[3]	ENSG00000197530	Ensembl.UCSC:226550[3>0]
uc001agm.4	Ensembl.UCSC:226558[3]	ENSG00000197530	Ensembl.UCSC:226558[3>0]
uc001agp.5	Ensembl.UCSC:172968[3]	ENSG00000189409	Ensembl.UCSC:172968[3>0]
uc001agq.4	Ensembl.UCSC:172987[3]	ENSG00000189409	Ensembl.UCSC:172987[3>0]
uc001ahy.5	Ensembl.UCSC:275693[3]	ENSG00000290854	Ensembl.UCSC:275693[3>0]
uc001aic.3	Ensembl.UCSC:174176[3]	ENSG00000008130	Ensembl.UCSC:174176[3>0]
uc001aid.5	Ensembl.UCSC:174179[3]	ENSG00000008130	Ensembl.UCSC:174179[3>0]
uc001aie.3	Ensembl.UCSC:174192[3]	ENSG00000008130	Ensembl.UCSC:174192[3>0]
uc001aif.6	Ensembl.UCSC:272498[3]	ENSG00000078369	Ensembl.UCSC:272498[3>0]
uc001aih.2	Ensembl.UCSC:257070[3]	ENSG00000169885	Ensembl.UCSC:257070[3>0]
uc001aii.2	Ensembl.UCSC:174254[3]	ENSG00000178821	Ensembl.UCSC:174254[3>0]
uc001aij.4	Ensembl.UCSC:174271[3]	ENSG00000178821	Ensembl.UCSC:174271[3>0]
uc001ail.4	Ensembl.UCSC:236248[3]	ENSG00000142609	Ensembl.UCSC:236248[3>0]
uc001aim.2	Ensembl.UCSC:236289[3]	ENSG00000142609	Ensembl.UCSC:236289[3>0]
uc001ain.2	Ensembl.UCSC:236305[3]	ENSG00000142609	Ensembl.UCSC:236305[3>0]
uc001aio.1	Ensembl.UCSC:223694[3]	ENSG00000233542	Ensembl.UCSC:223694[3>0]
uc001aip.5	Ensembl.UCSC:223755[3]	ENSG00000187730	Ensembl.UCSC:223755[3>0]
uc001aiq.4	Ensembl.UCSC:256571[3]	ENSG00000067606	Ensembl.UCSC:256571[3>0]
uc001air.4	Ensembl.UCSC:256618[3]	ENSG00000067606	Ensembl.UCSC:256618[3>0]
uc001aiy.5	Ensembl.UCSC:273071[3]	ENSG00000162585	Ensembl.UCSC:273071[3>0]
uc001aja.6	Ensembl.UCSC:273084[3]	ENSG00000157933	Ensembl.UCSC:273084[3>0]
uc001ajb.3	Ensembl.UCSC:48819[3]	ENSG00000116151	Ensembl.UCSC:48819[3>0]
uc001ajd.2	Ensembl.UCSC:48881[3]	ENSG00000116151	Ensembl.UCSC:48881[3>0]
uc001aje.4	Ensembl.UCSC:36745[3]	ENSG00000157916	Ensembl.UCSC:36745[3>0]
uc001ajf.3	Ensembl.UCSC:36771[3]	ENSG00000157916	Ensembl.UCSC:36771[3>0]
uc001ajg.5	Ensembl.UCSC:33768[3]	ENSG00000157911	Ensembl.UCSC:33768[3>0]
