Gene stable ID	Transcript stable ID	Protein stable ID	HGNC ID	HGNC symbol
ENSG00000210049	ENST00000387314		HGNC:7481	MT-TF
ENSG00000211459	ENST00000389680		HGNC:7470	MT-RNR1
ENSG00000210077	ENST00000387342		HGNC:7500	MT-TV
ENSG00000210082	ENST00000387347		HGNC:7471	MT-RNR2
ENSG00000209082	ENST00000386347		HGNC:7490	MT-TL1
ENSG00000198888	ENST00000361390	ENSP00000354687	HGNC:7455	MT-ND1
ENSG00000210100	ENST00000387365		HGNC:7488	MT-TI
ENSG00000210107	ENST00000387372		HGNC:7495	MT-TQ
ENSG00000210112	ENST00000387377		HGNC:7492	MT-TM
ENSG00000198763	ENST00000361453	ENSP00000355046	HGNC:7456	MT-ND2
ENSG00000210117	ENST00000387382		HGNC:7501	MT-TW
ENSG00000210127	ENST00000387392		HGNC:7475	MT-TA
ENSG00000210135	ENST00000387400		HGNC:7493	MT-TN
ENSG00000210140	ENST00000387405		HGNC:7477	MT-TC
ENSG00000210144	ENST00000387409		HGNC:7502	MT-TY
ENSG00000198804	ENST00000361624	ENSP00000354499	HGNC:7419	MT-CO1
ENSG00000210151	ENST00000387416		HGNC:7497	MT-TS1
ENSG00000210154	ENST00000387419		HGNC:7478	MT-TD
ENSG00000198712	ENST00000361739	ENSP00000354876	HGNC:7421	MT-CO2
ENSG00000210156	ENST00000387421		HGNC:7489	MT-TK
ENSG00000228253	ENST00000361851	ENSP00000355265	HGNC:7415	MT-ATP8
ENSG00000198899	ENST00000361899	ENSP00000354632	HGNC:7414	MT-ATP6
ENSG00000198938	ENST00000362079	ENSP00000354982	HGNC:7422	MT-CO3
ENSG00000210164	ENST00000387429		HGNC:7486	MT-TG
ENSG00000198840	ENST00000361227	ENSP00000355206	HGNC:7458	MT-ND3
ENSG00000210174	ENST00000387439		HGNC:7496	MT-TR
ENSG00000212907	ENST00000361335	ENSP00000354728	HGNC:7460	MT-ND4L
ENSG00000198886	ENST00000361381	ENSP00000354961	HGNC:7459	MT-ND4
ENSG00000210176	ENST00000387441		HGNC:7487	MT-TH
ENSG00000210184	ENST00000387449		HGNC:7498	MT-TS2
ENSG00000210191	ENST00000387456		HGNC:7491	MT-TL2
ENSG00000198786	ENST00000361567	ENSP00000354813	HGNC:7461	MT-ND5
ENSG00000198695	ENST00000361681	ENSP00000354665	HGNC:7462	MT-ND6
ENSG00000210194	ENST00000387459		HGNC:7479	MT-TE
ENSG00000198727	ENST00000361789	ENSP00000354554	HGNC:7427	MT-CYB
ENSG00000210195	ENST00000387460		HGNC:7499	MT-TT
ENSG00000210196	ENST00000387461		HGNC:7494	MT-TP
ENSG00000271254	ENST00000614336	ENSP00000484923		
ENSG00000271254	ENST00000612640	ENSP00000478665		
ENSG00000278625	ENST00000616830			
ENSG00000278457	ENST00000620265			
ENSG00000276197	ENST00000619317			
ENSG00000277428	ENST00000618679			
ENSG00000278573	ENST00000615362			
ENSG00000278704	ENST00000618686	ENSP00000484918		
ENSG00000273748	ENST00000612919	ENSP00000479921		
ENSG00000275661	ENST00000614351			
ENSG00000274202	ENST00000611062			
ENSG00000277630	ENST00000616049	ENSP00000479139		
ENSG00000277630	ENST00000616157	ENSP00000477677		
ENSG00000277400	ENST00000613230	ENSP00000483280		
ENSG00000274917	ENST00000611446		HGNC:53533	RNA5-8SN5
ENSG00000278294	ENST00000611690			
ENSG00000276256	ENST00000612465	ENSP00000484596		
ENSG00000277196	ENST00000621424	ENSP00000481127		
ENSG00000277196	ENST00000615165	ENSP00000482462		
ENSG00000276351	ENST00000617089			
ENSG00000274847	ENST00000400754	ENSP00000478910	HGNC:31102	MAFIP
ENSG00000273730	ENST00000619779			
ENSG00000273937	ENST00000614535			
ENSG00000276345	ENST00000612848	ENSP00000478035		
ENSG00000273532	ENST00000612801			
ENSG00000278793	ENST00000616468			
ENSG00000276932	ENST00000620032			
ENSG00000278817	ENST00000613204	ENSP00000482514		
ENSG00000276711	ENST00000621409			
ENSG00000276017	ENST00000617983	ENSP00000481613		
ENSG00000278633	ENST00000619792	ENSP00000484693		
ENSG00000278066	ENST00000620795			
ENSG00000276312	ENST00000615130			
ENSG00000276700	ENST00000616292		HGNC:53529	RNA5-8SN4
ENSG00000275757	ENST00000618998			
ENSG00000273739	ENST00000618675			
ENSG00000275063	ENST00000618003	ENSP00000478289		
ENSG00000277856	ENST00000619729	ENSP00000481152		
ENSG00000277374	ENST00000612925			
ENSG00000291360	ENST00000707296		HGNC:36896	RPL23AP45
ENSG00000278384	ENST00000612565	ENSP00000480106		
ENSG00000278673	ENST00000615005			
ENSG00000275987	ENST00000618083			
ENSG00000277890	ENST00000516246			
ENSG00000268674	ENST00000601199	ENSP00000473163		
