Gene stable ID	RefSeq ncRNA ID
ENSG00000210049	
ENSG00000211459	
ENSG00000210077	
ENSG00000210082	
ENSG00000209082	
ENSG00000198888	
ENSG00000210100	
ENSG00000210107	
ENSG00000210112	
ENSG00000198763	
ENSG00000210117	
ENSG00000210127	
ENSG00000210135	
ENSG00000210140	
ENSG00000210144	
ENSG00000198804	
ENSG00000210151	NR_162149
ENSG00000210154	
ENSG00000198712	
ENSG00000210156	
ENSG00000228253	
ENSG00000198899	
ENSG00000198938	
ENSG00000210164	
ENSG00000198840	
ENSG00000210174	
ENSG00000212907	
ENSG00000198886	
ENSG00000210176	
ENSG00000210184	
ENSG00000210191	
ENSG00000198786	
ENSG00000198695	
ENSG00000210194	
ENSG00000198727	
ENSG00000210195	
ENSG00000210196	
ENSG00000278625	
ENSG00000276197	
ENSG00000278457	
ENSG00000277428	
ENSG00000275661	
ENSG00000274202	
ENSG00000278704	
ENSG00000273748	
ENSG00000277400	
ENSG00000274917	NR_003285
ENSG00000278573	
ENSG00000278294	
ENSG00000276256	
ENSG00000276351	
ENSG00000273730	
ENSG00000274847	NR_046440
ENSG00000274847	NR_046441
ENSG00000273937	
ENSG00000276345	
ENSG00000273532	
ENSG00000277630	
ENSG00000271254	
ENSG00000277630	
ENSG00000278793	
ENSG00000277196	
ENSG00000271254	
ENSG00000277196	
ENSG00000276932	
ENSG00000276711	
ENSG00000278817	
ENSG00000276017	
ENSG00000278633	
ENSG00000278066	
ENSG00000276312	
ENSG00000276700	NR_146120
ENSG00000275757	
ENSG00000273739	
ENSG00000275063	
ENSG00000277856	
ENSG00000277374	
ENSG00000291360	
ENSG00000278384	
ENSG00000275987	
ENSG00000278673	
ENSG00000277890	
ENSG00000268674	
ENSG00000275249	
ENSG00000277475	
ENSG00000275405	
ENSG00000274792	
ENSG00000276872	
ENSG00000276760	
ENSG00000276760	
ENSG00000277927	
ENSG00000291371	
ENSG00000291372	
ENSG00000291368	
ENSG00000291368	
ENSG00000291368	
ENSG00000291368	
ENSG00000291369	
ENSG00000291370	
ENSG00000292254	
ENSG00000274175	
ENSG00000273554	
ENSG00000273554	
ENSG00000275869	
ENSG00000278510	
ENSG00000273843	
ENSG00000277836	
ENSG00000291410	
ENSG00000291411	
ENSG00000291412	
ENSG00000291412	
ENSG00000291412	
