HGNC_ID	STATUS	WITHDRAWN_SYMBOL	MERGED_INTO_REPORT(S) (i.e HGNC_ID
HGNC:1	Withdrawn	A12M1	
HGNC:2	Withdrawn	A12M2	
HGNC:3	Withdrawn	A12M3	
HGNC:4	Withdrawn	A12M4	
HGNC:6	Merged/Split	A1S9T	HGNC:12469
HGNC:9	Merged/Split	A2MR	HGNC:6692
HGNC:10	Merged/Split	A2MRAP	HGNC:6701
HGNC:11	Merged/Split	AA	HGNC:11714
HGNC:12	Withdrawn	AABT	
HGNC:13	Merged/Split	AAC1	HGNC:7645
HGNC:14	Merged/Split	AAC2	HGNC:7646
HGNC:24	Merged/Split	ABC1	HGNC:29
HGNC:25	Merged/Split	ABC2	HGNC:32
HGNC:26	Merged/Split	ABC3	HGNC:33
HGNC:27	Merged/Split	ABC50	HGNC:70
HGNC:28	Merged/Split	ABC7	HGNC:48
HGNC:58	Merged/Split	ABCC7	HGNC:1884
HGNC:75	Merged/Split	ABCR	HGNC:34
HGNC:86	Withdrawn	ACAD	
HGNC:96	Merged/Split	ACBP	HGNC:2313
HGNC:97	Merged/Split	ACC	HGNC:84
HGNC:98	Merged/Split	ACCN	HGNC:99
HGNC:106	Merged/Split	ACH	HGNC:3690
HGNC:107	Merged/Split	ACHAP	HGNC:21101
HGNC:109	Merged/Split	ACHM1	HGNC:2153
HGNC:110	Merged/Split	ACHM2	HGNC:2150
HGNC:111	Merged/Split	ACHM3	HGNC:2153
HGNC:112	Merged/Split	ACHRD	HGNC:1965
HGNC:113	Merged/Split	ACHRG	HGNC:1967
HGNC:114	Withdrawn	ACLS	
HGNC:116	Withdrawn	ACMG	
HGNC:128	Merged/Split	ACS3	HGNC:12428
HGNC:131	Merged/Split	ACTA3	HGNC:145
HGNC:138	Withdrawn	ACTBP5	
HGNC:156	Merged/Split	ACTL2	HGNC:147
HGNC:157	Merged/Split	ACTL3	HGNC:145
HGNC:158	Withdrawn	ACTL4	
HGNC:159	Withdrawn	ACTL5	
HGNC:176	Merged/Split	ACVRLK2	HGNC:171
HGNC:178	Merged/Split	ACY1L	HGNC:26295
HGNC:181	Merged/Split	AD1	HGNC:620
HGNC:182	Merged/Split	AD2	HGNC:613
HGNC:183	Merged/Split	AD3	HGNC:9508
HGNC:184	Merged/Split	AD4	HGNC:9509
HGNC:185	Withdrawn	AD5	
HGNC:230	Merged/Split	ADCP2	HGNC:3009
HGNC:231	Merged/Split	ADCR	HGNC:12797
HGNC:246	Merged/Split	ADDL	HGNC:245
HGNC:247	Withdrawn	ADFN	
HGNC:254	Withdrawn	ADH5P1	
HGNC:258	Merged/Split	ADL	HGNC:10805
HGNC:260	Merged/Split	ADMLX	HGNC:6211
HGNC:261	Merged/Split	ADMLY	HGNC:6214
HGNC:266	Withdrawn	ADORA2L1	
HGNC:267	Withdrawn	ADORA2L2	
HGNC:279	Merged/Split	ADRA1C	HGNC:277
HGNC:284	Merged/Split	ADRA2L1	HGNC:282
HGNC:287	Merged/Split	ADRB2RL1	HGNC:5286
HGNC:293	Withdrawn	ADT	
HGNC:294	Merged/Split	ADTAA	HGNC:561
HGNC:295	Merged/Split	ADTAB	HGNC:562
HGNC:296	Merged/Split	ADTB1	HGNC:554
HGNC:299	Merged/Split	ADTB2	HGNC:563
HGNC:300	Merged/Split	ADTG	HGNC:555
HGNC:301	Merged/Split	AE1	HGNC:11027
HGNC:302	Merged/Split	AE2	HGNC:11028
HGNC:305	Merged/Split	AEMK	HGNC:6218
HGNC:306	Merged/Split	AEPLC	HGNC:934
HGNC:308	Merged/Split	AEZ	HGNC:17129
HGNC:309	Withdrawn	AF8T	
HGNC:310	Withdrawn	AFA	
HGNC:311	Merged/Split	AFCP	HGNC:1474
HGNC:312	Withdrawn	AFD1	
HGNC:313	Merged/Split	AFG3	HGNC:314
HGNC:322	Merged/Split	AGMX1	HGNC:1133
HGNC:323	Withdrawn	AGMX2	
HGNC:331	Merged/Split	AGS	HGNC:6188
HGNC:332	Merged/Split	AGS1	HGNC:12269
HGNC:334	Merged/Split	AGTBP	HGNC:16058
HGNC:335	Merged/Split	AGTIL	HGNC:745
HGNC:337	Merged/Split	AGTR1B	HGNC:336
HGNC:340	Withdrawn	AGTRL2	
HGNC:342	Merged/Split	AHC	HGNC:7960
HGNC:345	Merged/Split	AHDS	HGNC:10923
HGNC:350	Withdrawn	AIC	
HGNC:351	Merged/Split	AIED	HGNC:1393
HGNC:353	Merged/Split	AIH1	HGNC:461
HGNC:354	Merged/Split	AIH2	HGNC:3344
HGNC:355	Withdrawn	AIH3	
HGNC:366	Merged/Split	AK6	HGNC:17376
HGNC:383	Merged/Split	AKR1B11	HGNC:382
HGNC:394	Merged/Split	AKU	HGNC:4892
HGNC:398	Merged/Split	ALAS3	HGNC:396
HGNC:401	Merged/Split	ALD	HGNC:61
HGNC:413	Merged/Split	ALDL1	HGNC:66
HGNC:419	Merged/Split	ALDR1	HGNC:381
HGNC:421	Withdrawn	ALDRL2	
HGNC:424	Withdrawn	ALDRL5	
HGNC:426	Withdrawn	ALFN1	
HGNC:440	Withdrawn	ALPPL1	
HGNC:442	Merged/Split	ALS1	HGNC:11179
HGNC:444	Withdrawn	ALS3	
HGNC:446	Merged/Split	ALS5	HGNC:11226
HGNC:448	Merged/Split	ALUNC	HGNC:5172
HGNC:454	Merged/Split	AMCD1	HGNC:12011
HGNC:455	Merged/Split	AMCD2B	HGNC:11946
HGNC:456	Withdrawn	AMCN	
HGNC:458	Merged/Split	AMD2	HGNC:460
HGNC:459	Merged/Split	AMDM	HGNC:7944
HGNC:472	Merged/Split	AMPHL	HGNC:1052
HGNC:480	Merged/Split	AN1	HGNC:8620
HGNC:481	Merged/Split	AN2	HGNC:8620
HGNC:486	Merged/Split	ANGPT3	HGNC:489
HGNC:488	Merged/Split	ANGPT5	HGNC:491
HGNC:498	Withdrawn	ANOP1	
HGNC:499	Merged/Split	ANP	HGNC:7939
HGNC:501	Merged/Split	ANPRA	HGNC:7943
HGNC:502	Merged/Split	ANPRB	HGNC:7944
HGNC:503	Merged/Split	ANPRC	HGNC:7945
HGNC:504	Merged/Split	ANT1	HGNC:10990
HGNC:505	Merged/Split	ANT2	HGNC:10991
HGNC:506	Merged/Split	ANT3	HGNC:10992
HGNC:508	Withdrawn	ANTP2	
HGNC:509	Merged/Split	ANTP3	HGNC:19250
HGNC:510	Withdrawn	ANTP4	
HGNC:514	Merged/Split	ANX1	HGNC:533
HGNC:515	Merged/Split	ANX11	HGNC:535
HGNC:516	Merged/Split	ANX13	HGNC:536
HGNC:517	Merged/Split	ANX2	HGNC:537
HGNC:518	Merged/Split	ANX2L1	HGNC:538
HGNC:519	Merged/Split	ANX2L2	HGNC:539
HGNC:520	Merged/Split	ANX2L3	HGNC:540
HGNC:521	Merged/Split	ANX2L4	HGNC:537
HGNC:522	Merged/Split	ANX2LG	HGNC:10487
HGNC:523	Merged/Split	ANX2P1	HGNC:538
HGNC:524	Merged/Split	ANX2P2	HGNC:539
HGNC:525	Merged/Split	ANX2P3	HGNC:540
HGNC:526	Merged/Split	ANX3	HGNC:541
HGNC:527	Merged/Split	ANX31	HGNC:547
HGNC:528	Merged/Split	ANX4	HGNC:542
HGNC:529	Merged/Split	ANX5	HGNC:543
HGNC:530	Merged/Split	ANX6	HGNC:544
HGNC:531	Merged/Split	ANX7	HGNC:545
HGNC:532	Merged/Split	ANX8	HGNC:546
HGNC:551	Merged/Split	AOM	HGNC:2200
HGNC:552	Merged/Split	AOP1	HGNC:9354
HGNC:577	Merged/Split	APAH1	HGNC:8049
HGNC:585	Merged/Split	APECED	HGNC:360
HGNC:596	Merged/Split	API6	HGNC:1690
HGNC:599	Merged/Split	APNH	HGNC:11071
HGNC:606	Withdrawn	APOBER1	
HGNC:614	Withdrawn	APOEL1	
HGNC:617	Merged/Split	APOJ	HGNC:2095
HGNC:623	Withdrawn	APPL	
HGNC:624	Merged/Split	APPL2	HGNC:598
HGNC:625	Merged/Split	APR	HGNC:6692
HGNC:627	Merged/Split	APS	HGNC:6364
