name	source	ensembl_gene	ensembl_source
ENSMUSP00000000010	Ensembl:146511[2];Ensembl:146511[2>0]	ENSMUSG00000020875	CURATED:113[0];MGI:161755[13];MGI:161755[13|6>12|0];Ensembl.MGI:56367[1>0]
ENSMUSP00000000080	Ensembl:34207[2];Ensembl:34207[2>0]	ENSMUSG00000000078	CURATED:145[0];MGI:24449[13];MGI:24449[13|6>12|0];Ensembl.MGI:15408[1>0]
ENSMUSP00000000096	Ensembl:143681[2];Ensembl:143681[2>0]	ENSMUSG00000000094	CURATED:249[0];MGI:568350[13|6];MGI:568350[13|6>12|0];Ensembl.MGI:55464[1>0]
ENSMUSP00000000253	Ensembl:134214[2];Ensembl:134214[2>0]	ENSMUSG00000000247	CURATED:151[0];MGI:166743[13|6];MGI:166743[13|6>12|0];Ensembl.MGI:52419[1>0]
ENSMUSP00000000579	Ensembl:122714[2];Ensembl:122714[2>0]	ENSMUSG00000000567	CURATED:232[0];MGI:7094[13];MGI:7094[13|6>12|0];Ensembl.MGI:48228[1>0]
ENSMUSP00000000704	Ensembl:146531[2];Ensembl:146531[2>0]	ENSMUSG00000000690	CURATED:112[0];MGI:161752[13];MGI:161752[13|6>12|0];Ensembl.MGI:56372[1>0]
ENSMUSP00000000881	Ensembl:17334[2];Ensembl:17334[2>0]	ENSMUSG00000000861	CURATED:11[0];MGI:9828[13];MGI:9828[13|6>12|0];Ensembl.MGI:8348[1>0]
ENSMUSP00000000964	Ensembl:107062[2];Ensembl:107062[2>0]	ENSMUSG00000029844	CURATED:101[0];MGI:161746[13];MGI:161746[13|6>12|0];Ensembl.MGI:42933[1>0]
ENSMUSP00000001042	Ensembl:114571[2];Ensembl:114571[2>0]	ENSMUSG00000001016	CURATED:126[0];MGI:15826[13];MGI:15826[13|6>12|0];Ensembl.MGI:45539[1>0]
ENSMUSP00000001184	Ensembl:110191[2];Ensembl:110191[2>0]	ENSMUSG00000001156	CURATED:172[0];MGI:31178[13];MGI:31178[13|6>12|0];Ensembl.MGI:44100[1>0]
ENSMUSP00000001455	Ensembl:101074[2];Ensembl:101074[2>0]	ENSMUSG00000001419	CURATED:162[0];MGI:38180[13];MGI:38180[13|6>12|0];Ensembl.MGI:40776[1>0]
ENSMUSP00000001484	Ensembl:132145[2];Ensembl:132145[2>0]	ENSMUSG00000001444	CURATED:247[0];MGI:568345[13|6];MGI:568345[13|6>12|0];Ensembl.MGI:51708[1>0]
ENSMUSP00000001703	Ensembl:79943[2];Ensembl:79943[2>0]	ENSMUSG00000001657	CURATED:115[0];MGI:69132[13];MGI:69132[13|6>12|0];Ensembl.MGI:33152[1>0]
ENSMUSP00000001706	Ensembl:79926[2];Ensembl:79926[2>0]	ENSMUSG00000036139	CURATED:116[0];MGI:161762[13];MGI:161762[13|6>12|0];Ensembl.MGI:33143[1>0]
ENSMUSP00000001709	Ensembl:79916[2];Ensembl:79916[2>0]	ENSMUSG00000022485	CURATED:114[0];MGI:23124[13];MGI:23124[13|6>12|0];Ensembl.MGI:33136[1>0]
ENSMUSP00000002180	Ensembl:149082[2];Ensembl:149082[2>0]	ENSMUSG00000002111	CURATED:238[0];MGI:563961[11];MGI:564120[13|6>12|0];Ensembl.MGI:57156[1>0]
ENSMUSP00000003640	Ensembl:43347[2];Ensembl:43347[2>0]	ENSMUSG00000003545	CURATED:57[0];MGI:100518[13|6];MGI:100518[13|6>12|0];Ensembl.MGI:19215[1>0]
ENSMUSP00000003870	Ensembl:76454[2];Ensembl:76454[2>0]	ENSMUSG00000025025	CURATED:173[0];MGI:173847[13|6];MGI:173847[13|6>12|0];Ensembl.MGI:31921[1>0]
ENSMUSP00000004051	Ensembl:122071[2];Ensembl:122071[2>0]	ENSMUSG00000003949	CURATED:96[0];MGI:88194[13];MGI:88194[13|6>12|0];Ensembl.MGI:48005[1>0]
ENSMUSP00000004145	Ensembl:47695[2];Ensembl:47695[2>0]	ENSMUSG00000004043	CURATED:243[0];MGI:21438[13];MGI:21438[13|6>12|0];Ensembl.MGI:20980[1>0]
ENSMUSP00000004340	Ensembl:87697[2];Ensembl:87697[2>0]	ENSMUSG00000004231	CURATED:194[0];MGI:178758[13];MGI:178758[13|6>12|0];Ensembl.MGI:35867[1>0]
ENSMUSP00000004780	Ensembl:40316[2];Ensembl:40316[2>0]	ENSMUSG00000004661	CURATED:6[0];MGI:86648[13];MGI:28127[13|6>12|0];Ensembl.MGI:17991[1>0]
ENSMUSP00000004994	Ensembl:12877[2];Ensembl:12877[2>0]	ENSMUSG00000004872	CURATED:195[0];MGI:186225[13];MGI:186225[13|6>12|0];Ensembl.MGI:6514[1>0]
ENSMUSP00000005279	Ensembl:4085[2];Ensembl:4085[2>0]	ENSMUSG00000005148	CURATED:144[0];MGI:13049[13];MGI:13049[13|6>12|0];Ensembl.MGI:2607[1>0]
ENSMUSP00000006071	Ensembl:131612[2];Ensembl:131612[2>0]	ENSMUSG00000005917	CURATED:192[0];MGI:19210[13];MGI:19210[13|6>12|0];Ensembl.MGI:51543[1>0]
ENSMUSP00000007130	Ensembl:104985[2];Ensembl:104985[2>0]	ENSMUSG00000006932	CURATED:25[0];MGI:35392[13];MGI:35392[13|6>12|0];Ensembl.MGI:42271[1>0]
ENSMUSP00000007949	Ensembl:86219[2];Ensembl:86219[2>0]	ENSMUSG00000007805	CURATED:265[0];MGI:85832[13];MGI:85832[13|6>12|0];Ensembl.MGI:35324[1>0]
ENSMUSP00000008016	Ensembl:60834[2];Ensembl:60834[2>0]	ENSMUSG00000007872	CURATED:122[0];MGI:162778[13];MGI:162773[13|6>12|0];Ensembl.MGI:26204[1>0]
ENSMUSP00000008542	Ensembl:26059[2];Ensembl:26059[2>0]	ENSMUSG00000008398	CURATED:43[0];MGI:78039[13];MGI:78039[13|6>12|0];Ensembl.MGI:11960[1>0]
ENSMUSP00000009392	Ensembl:139326[2];Ensembl:139326[2>0]	ENSMUSG00000009248	CURATED:8[0];MGI:8517[13];MGI:8517[13|6>12|0];Ensembl.MGI:54127[1>0]
ENSMUSP00000012540	Ensembl:128974[2];Ensembl:128974[2>0]	ENSMUSG00000012396	CURATED:177[0];MGI:8264[13];MGI:8264[13|6>12|0];Ensembl.MGI:50530[1>0]
ENSMUSP00000014174	Ensembl:109053[2];Ensembl:109053[2>0]	ENSMUSG00000014030	CURATED:196[0];MGI:186229[13];MGI:186229[13|6>12|0];Ensembl.MGI:43728[1>0]
ENSMUSP00000015003	Ensembl:85385[2];Ensembl:85385[2>0]	ENSMUSG00000014859	CURATED:34[0];MGI:7043[13];MGI:7043[13|6>12|0];Ensembl.MGI:35008[1>0]
ENSMUSP00000015197	Ensembl:9350[2];Ensembl:9350[2>0]	ENSMUSG00000015053	CURATED:76[0];MGI:101199[13];MGI:101199[13|6>12|0];Ensembl.MGI:4965[1>0]
ENSMUSP00000015723	Ensembl:46931[2];Ensembl:46931[2>0]	ENSMUSG00000015579	CURATED:186[0];MGI:65137[13];MGI:65137[13|6>12|0];Ensembl.MGI:20628[1>0]
ENSMUSP00000015771	Ensembl:143342[2];Ensembl:143342[2>0]	ENSMUSG00000015627	CURATED:79[0];MGI:101207[13|6];MGI:101207[13|6>12|0];Ensembl.MGI:55378[1>0]
ENSMUSP00000015987	Ensembl:92180[2];Ensembl:92180[2>0]	ENSMUSG00000015843	CURATED:218[0];MGI:563075[13|6];MGI:563075[13|6>12|0];Ensembl.MGI:37484[1>0]
ENSMUSP00000016231	Ensembl:12290[2];Ensembl:12290[2>0]	ENSMUSG00000016087	CURATED:55[0];MGI:100266[13];MGI:100266[13|6>12|0];Ensembl.MGI:6240[1>0]
ENSMUSP00000018094	Ensembl:96698[2];Ensembl:96698[2>0]	ENSMUSG00000017950	CURATED:99[0];MGI:161644[13];MGI:161644[13|6>12|0];Ensembl.MGI:39104[1>0]
ENSMUSP00000018407	Ensembl:102736[2];Ensembl:102736[2>0]	ENSMUSG00000018263	CURATED:250[0];MGI:568351[13|6];MGI:568351[13|6>12|0];Ensembl.MGI:41372[1>0]
ENSMUSP00000018748	Ensembl:102618[2];Ensembl:102618[2>0]	ENSMUSG00000018604	CURATED:248[0];MGI:79417[13];MGI:79417[13|6>12|0];Ensembl.MGI:41341[1>0]
ENSMUSP00000018798	Ensembl:133412[2];Ensembl:133412[2>0]	ENSMUSG00000018654	CURATED:124[0];MGI:15595[13];MGI:15595[13|6>12|0];Ensembl.MGI:52129[1>0]
ENSMUSP00000018842	Ensembl:102247[2];Ensembl:102247[2>0]	ENSMUSG00000018698	CURATED:150[0];MGI:166741[13|6];MGI:166741[13|6>12|0];Ensembl.MGI:41228[1>0]
