name	source	ensembl_gene	ensembl_source
Akna	MGI:25346[13];MGI:25346[13|6>12|0];Ensembl.MGI:11106[1>0]	ENSMUSG00000039158	CURATED:1[0];MGI:25346[13];MGI:25346[13|6>12|0];Ensembl.MGI:11106[1>0]
Alx1	MGI:23565[13];MGI:23565[13|6>12|0];Ensembl.MGI:19924[1>0]	ENSMUSG00000036602	CURATED:2[0];MGI:23565[13];MGI:23565[13|6>12|0];Ensembl.MGI:19924[1>0]
Ankrd1	MGI:27386[13];MGI:27386[13|6>12|0];Ensembl.MGI:9104[1>0]	ENSMUSG00000024803	CURATED:3[0];MGI:27386[13];MGI:27386[13|6>12|0];Ensembl.MGI:9104[1>0]
Arg1	MGI:23370[13];MGI:23370[13|6>12|0];Ensembl.MGI:40009[1>0]	ENSMUSG00000019987	CURATED:4[0];MGI:23370[13];MGI:23370[13|6>12|0];Ensembl.MGI:40009[1>0]
Arid3a	MGI:86647[13];MGI:28126[13|6>12|0];Ensembl.MGI:40192[1>0]	ENSMUSG00000019564	CURATED:5[0];MGI:86647[13];MGI:28126[13|6>12|0];Ensembl.MGI:40192[1>0]
Arid3b	MGI:86648[13];MGI:28127[13|6>12|0];Ensembl.MGI:17991[1>0]	ENSMUSG00000004661	CURATED:6[0];MGI:86648[13];MGI:28127[13|6>12|0];Ensembl.MGI:17991[1>0]
Arid5b	MGI:14866[13];MGI:14866[13|6>12|0];Ensembl.MGI:8855[1>0]	ENSMUSG00000019947	CURATED:7[0];MGI:14866[13];MGI:14866[13|6>12|0];Ensembl.MGI:8855[1>0]
Ascl2	MGI:8517[13];MGI:8517[13|6>12|0];Ensembl.MGI:54127[1>0]	ENSMUSG00000009248	CURATED:8[0];MGI:8517[13];MGI:8517[13|6>12|0];Ensembl.MGI:54127[1>0]
Bach1	MGI:15849[13];MGI:15849[13|6>12|0];Ensembl.MGI:16078[1>0]	ENSMUSG00000025612	CURATED:9[0];MGI:15849[13];MGI:15849[13|6>12|0];Ensembl.MGI:16078[1>0]
Batf	MGI:33662[13|6];MGI:33662[13|6>12|0];Ensembl.MGI:2994[1>0]	ENSMUSG00000034266	CURATED:10[0];MGI:33662[13|6];MGI:33662[13|6>12|0];Ensembl.MGI:2994[1>0]
Bcl11a	MGI:9828[13];MGI:9828[13|6>12|0];Ensembl.MGI:8348[1>0]	ENSMUSG00000000861	CURATED:11[0];MGI:9828[13];MGI:9828[13|6>12|0];Ensembl.MGI:8348[1>0]
Bcl11b	MGI:17509[13];MGI:17509[13|6>12|0];Ensembl.MGI:21032[1>0]	ENSMUSG00000048251	CURATED:12[0];MGI:17509[13];MGI:17509[13|6>12|0];Ensembl.MGI:21032[1>0]
Camta1	MGI:6742[13];MGI:6742[13|6>12|0];Ensembl.MGI:51932[1>0]	ENSMUSG00000014592	CURATED:13[0];MGI:6742[13];MGI:6742[13|6>12|0];Ensembl.MGI:51932[1>0]
Cdx1	MGI:40019[13];MGI:40019[13|6>12|0];Ensembl.MGI:2555[1>0]	ENSMUSG00000024619	CURATED:14[0];MGI:40019[13];MGI:40019[13|6>12|0];Ensembl.MGI:2555[1>0]
Cdx2	MGI:40022[13];MGI:40022[13|6>12|0];Ensembl.MGI:17896[1>0]	ENSMUSG00000029646	CURATED:15[0];MGI:40022[13];MGI:40022[13|6>12|0];Ensembl.MGI:17896[1>0]
Cdx4	MGI:40024[13];MGI:40024[13|6>12|0];Ensembl.MGI:39413[1>0]	ENSMUSG00000031326	CURATED:16[0];MGI:40024[13];MGI:40024[13|6>12|0];Ensembl.MGI:39413[1>0]
