name	source	ensembl_gene	ensembl_source
MGI:101762	MGI:95337[0];Ensembl.MGI:11960[1>0]	ENSMUSG00000008398	CURATED:43[0];MGI:78039[13];MGI:78039[13|6>12|0];Ensembl.MGI:11960[1>0]
MGI:101791	MGI:164620[0];Ensembl.MGI:21206[1>0]	ENSMUSG00000042258	CURATED:134[0];MGI:164620[13|6];MGI:164620[13|6>12|0];Ensembl.MGI:21206[1>0]
MGI:101896	MGI:188332[0];Ensembl.MGI:35757[1>0]	ENSMUSG00000090125	CURATED:202[0];MGI:180402[13];MGI:180402[13|6>12|0];Ensembl.MGI:35757[1>0]
MGI:101897	MGI:188329[0];Ensembl.MGI:37552[1>0]	ENSMUSG00000008496	CURATED:201[0];MGI:176985[13];MGI:176985[13|6>12|0];Ensembl.MGI:37552[1>0]
MGI:101898	MGI:188328[0];Ensembl.MGI:53587[1>0]	ENSMUSG00000026565	CURATED:200[0];MGI:10164[13];MGI:10164[13|6>12|0];Ensembl.MGI:53587[1>0]
MGI:101926	MGI:86120[0];Ensembl.MGI:11218[1>0]	ENSMUSG00000029755	CURATED:28[0];MGI:23996[13];MGI:23996[13|6>12|0];Ensembl.MGI:11218[1>0]
MGI:101927	MGI:86121[0];Ensembl.MGI:10931[1>0]	ENSMUSG00000029754	CURATED:29[0];MGI:86121[13|6];MGI:86121[13|6>12|0];Ensembl.MGI:10931[1>0]
MGI:101934	MGI:569176[0];Ensembl.MGI:10049[1>0]	ENSMUSG00000038482	CURATED:258[0];MGI:569176[13|6];MGI:569176[13|6>12|0];Ensembl.MGI:10049[1>0]
MGI:102539	MGI:568352[0];Ensembl.MGI:52391[1>0]	ENSMUSG00000030699	CURATED:251[0];MGI:563040[13];MGI:563040[13|6>12|0];Ensembl.MGI:52391[1>0]
MGI:102541	MGI:568351[0];Ensembl.MGI:41372[1>0]	ENSMUSG00000018263	CURATED:250[0];MGI:568351[13|6];MGI:568351[13|6>12|0];Ensembl.MGI:41372[1>0]
MGI:102556	MGI:568350[0];Ensembl.MGI:55464[1>0]	ENSMUSG00000000094	CURATED:249[0];MGI:568350[13|6];MGI:568350[13|6>12|0];Ensembl.MGI:55464[1>0]
MGI:102672	MGI:563031[0];Ensembl.MGI:23185[1>0]	ENSMUSG00000070691	CURATED:215[0];MGI:39131[13];MGI:39131[13|6>12|0];Ensembl.MGI:23185[1>0]
MGI:102764	MGI:564515[0];Ensembl.MGI:46883[1>0]	ENSMUSG00000038805	CURATED:220[0];MGI:88088[13];MGI:88088[13|6>12|0];Ensembl.MGI:46883[1>0]
MGI:102811	MGI:166937[0];Ensembl.MGI:56031[1>0]	ENSMUSG00000032698	CURATED:152[0];MGI:190607[13];MGI:166937[13|6>12|0];Ensembl.MGI:56031[1>0]
MGI:102853	MGI:95338[0];Ensembl.MGI:47313[1>0]	ENSMUSG00000026436	CURATED:44[0];MGI:7670[13];MGI:7670[13|6>12|0];Ensembl.MGI:47313[1>0]
MGI:102858	MGI:100520[0];Ensembl.MGI:45550[1>0]	ENSMUSG00000029135	CURATED:58[0];MGI:100520[13|6];MGI:100520[13|6>12|0];Ensembl.MGI:45550[1>0]
MGI:103012	MGI:88226[0];Ensembl.MGI:35008[1>0]	ENSMUSG00000014859	CURATED:34[0];MGI:7043[13];MGI:7043[13|6>12|0];Ensembl.MGI:35008[1>0]
MGI:103036	MGI:566980[0];Ensembl.MGI:20980[1>0]	ENSMUSG00000004043	CURATED:243[0];MGI:21438[13];MGI:21438[13|6>12|0];Ensembl.MGI:20980[1>0]
MGI:103038	MGI:566978[0];Ensembl.MGI:21980[1>0]	ENSMUSG00000004040	CURATED:241[0];MGI:3785[13];MGI:3785[13|6>12|0];Ensembl.MGI:21980[1>0]
MGI:103062	MGI:566979[0];Ensembl.MGI:12784[1>0]	ENSMUSG00000062939	CURATED:242[0];MGI:566979[13|6];MGI:566979[13|6>12|0];Ensembl.MGI:12784[1>0]
MGI:103063	MGI:566976[0];Ensembl.MGI:14824[1>0]	ENSMUSG00000026104	CURATED:240[0];MGI:6918[13];MGI:6918[13|6>12|0];Ensembl.MGI:14824[1>0]
MGI:103170	MGI:101524[0];Ensembl.MGI:13172[1>0]	ENSMUSG00000029275	CURATED:82[0];MGI:31726[13];MGI:31726[13|6>12|0];Ensembl.MGI:13172[1>0]
MGI:103219	MGI:169315[0];Ensembl.MGI:14621[1>0]	ENSMUSG00000036144	CURATED:166[0];MGI:25147[13];MGI:25147[13|6>12|0];Ensembl.MGI:14621[1>0]
MGI:103220	MGI:169314[0];Ensembl.MGI:31361[1>0]	ENSMUSG00000001493	CURATED:165[0];MGI:23961[13];MGI:23961[13|6>12|0];Ensembl.MGI:31361[1>0]
MGI:103222	MGI:752144[0];Ensembl.MGI:3986[1>0]	ENSMUSG00000066687	CURATED:269[0];MGI:24870[13];MGI:24870[13|6>12|0];Ensembl.MGI:3986[1>0]
MGI:103296	MGI:174590[0];Ensembl.MGI:4962[1>0]	ENSMUSG00000031902	CURATED:179[0];MGI:38172[13];MGI:38172[13|6>12|0];Ensembl.MGI:4962[1>0]
MGI:103559	MGI:566109[0];Ensembl.MGI:27369[1>0]	ENSMUSG00000046470	CURATED:226[0];MGI:23994[13];MGI:23994[13|6>12|0];Ensembl.MGI:27369[1>0]
MGI:103572	MGI:40074[0];Ensembl.MGI:34932[1>0]	ENSMUSG00000052435	CURATED:20[0];MGI:123353[13];MGI:40074[13|6>12|0];Ensembl.MGI:34932[1>0]
MGI:103573	MGI:40073[0];Ensembl.MGI:2968[1>0]	ENSMUSG00000071637	CURATED:19[0];MGI:40073[13|6];MGI:40073[13|6>12|0];Ensembl.MGI:2968[1>0]
MGI:103577	MGI:160276[0];Ensembl.MGI:42668[1>0]	ENSMUSG00000037335	CURATED:87[0];MGI:95115[13];MGI:95115[13|6>12|0];Ensembl.MGI:42668[1>0]
