name	source	ensembl_gene	ensembl_source
NM_001001806	Ensembl.RefSeq_mRNA:65902[1];Ensembl.RefSeq_mRNA:65902[1>0]	ENSMUSG00000045817	CURATED:274[0];MGI:752513[13|6];MGI:752513[13|6>12|0];Ensembl.MGI:26103[1>0]
NM_001007472	Ensembl.RefSeq_mRNA:71390[1];Ensembl.RefSeq_mRNA:71390[1>0]	ENSMUSG00000068302	CURATED:187[0];MGI:100265[13];MGI:100265[13|6>12|0];Ensembl.MGI:28084[1>0]
NM_001008542	Ensembl.RefSeq_mRNA:83314[1];Ensembl.RefSeq_mRNA:83314[1>0]	ENSMUSG00000025025	CURATED:173[0];MGI:173847[13|6];MGI:173847[13|6>12|0];Ensembl.MGI:31921[1>0]
NM_001008543	Ensembl.RefSeq_mRNA:83419[1];Ensembl.RefSeq_mRNA:83419[1>0]	ENSMUSG00000025025	CURATED:173[0];MGI:173847[13|6];MGI:173847[13|6>12|0];Ensembl.MGI:31921[1>0]
NM_001018002	Ensembl.RefSeq_mRNA:12706[1];Ensembl.RefSeq_mRNA:12706[1>0]	ENSMUSG00000058550	CURATED:32[0];MGI:8530[13];MGI:8530[13|6>12|0];Ensembl.MGI:6040[1>0]
NM_001018042	Ensembl.RefSeq_mRNA:161227[1];Ensembl.RefSeq_mRNA:161227[1>0]	ENSMUSG00000027109	CURATED:233[0];MGI:69153[13];MGI:69153[13|6>12|0];Ensembl.MGI:56580[1>0]
NM_001024806	Ensembl.RefSeq_mRNA:106305[1];Ensembl.RefSeq_mRNA:106305[1>0]	ENSMUSG00000024081	CURATED:21[0];MGI:26111[13];MGI:26111[13|6>12|0];Ensembl.MGI:39416[1>0]
NM_001025427	Ensembl.RefSeq_mRNA:122509[1];Ensembl.RefSeq_mRNA:122509[1>0]	ENSMUSG00000046711	CURATED:98[0];MGI:26959[13];MGI:26959[13|6>12|0];Ensembl.MGI:44650[1>0]
NM_001025559	Ensembl.RefSeq_mRNA:83168[1];Ensembl.RefSeq_mRNA:83168[1>0]	ENSMUSG00000051910	CURATED:230[0];MGI:26623[13];MGI:26623[13|6>12|0];Ensembl.MGI:31760[1>0]
NM_001025560	Ensembl.RefSeq_mRNA:83180[1];Ensembl.RefSeq_mRNA:83180[1>0]	ENSMUSG00000051910	CURATED:230[0];MGI:26623[13];MGI:26623[13|6>12|0];Ensembl.MGI:31760[1>0]
NM_001025577	Ensembl.RefSeq_mRNA:42070[1];Ensembl.RefSeq_mRNA:42070[1>0]	ENSMUSG00000055435	CURATED:157[0];MGI:9859[13];MGI:9859[13|6>12|0];Ensembl.MGI:17323[1>0]
