name	source	ensembl_gene	ensembl_source
uc008dxk.4	Ensembl.UCSC:49235[1];Ensembl.UCSC:49235[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dxl.4	Ensembl.UCSC:49182[1];Ensembl.UCSC:49182[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dxm.4	Ensembl.UCSC:49143[1];Ensembl.UCSC:49143[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dxv.4	Ensembl.UCSC:49262[1];Ensembl.UCSC:49262[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dxw.3	Ensembl.UCSC:49320[1];Ensembl.UCSC:49320[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dxx.3	Ensembl.UCSC:49312[1];Ensembl.UCSC:49312[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dyy.3	Ensembl.UCSC:51061[1];Ensembl.UCSC:51061[1>0]	ENSMUSG00000024238	CURATED:271[0];MGI:10768[13];MGI:10768[13|6>12|0];Ensembl.MGI:22292[1>0]
uc008dza.1	Ensembl.UCSC:51081[1];Ensembl.UCSC:51081[1>0]	ENSMUSG00000024238	CURATED:271[0];MGI:10768[13];MGI:10768[13|6>12|0];Ensembl.MGI:22292[1>0]
uc008ebj.2	Ensembl.UCSC:63421[1];Ensembl.UCSC:63421[1>0]	ENSMUSG00000005836	CURATED:80[0];MGI:20306[13];MGI:20306[13|6>12|0];Ensembl.MGI:27318[1>0]
uc008ebk.2	Ensembl.UCSC:63415[1];Ensembl.UCSC:63415[1>0]	ENSMUSG00000005836	CURATED:80[0];MGI:20306[13];MGI:20306[13|6>12|0];Ensembl.MGI:27318[1>0]
uc008rxs.3	Ensembl.UCSC:17421[1];Ensembl.UCSC:17421[1>0]	ENSMUSG00000041272	CURATED:262[0];MGI:5001[13];MGI:5001[13|6>12|0];Ensembl.MGI:8422[1>0]
uc008rxt.2	Ensembl.UCSC:17428[1];Ensembl.UCSC:17428[1>0]	ENSMUSG00000041272	CURATED:262[0];MGI:5001[13];MGI:5001[13|6>12|0];Ensembl.MGI:8422[1>0]
uc008srx.2	Ensembl.UCSC:109131[1];Ensembl.UCSC:109131[1>0]	ENSMUSG00000014030	CURATED:196[0];MGI:186229[13];MGI:186229[13|6>12|0];Ensembl.MGI:43728[1>0]
uc008sxk.3	Ensembl.UCSC:91090[1];Ensembl.UCSC:91090[1>0]	ENSMUSG00000003032	CURATED:143[0];MGI:101670[13];MGI:101670[13|6>12|0];Ensembl.MGI:37141[1>0]
uc009aww.1	Ensembl.UCSC:23436[1];Ensembl.UCSC:23436[1>0]	ENSMUSG00000029754	CURATED:29[0];MGI:86121[13|6];MGI:86121[13|6>12|0];Ensembl.MGI:10931[1>0]
uc009awy.3	Ensembl.UCSC:24076[1];Ensembl.UCSC:24076[1>0]	ENSMUSG00000029755	CURATED:28[0];MGI:23996[13];MGI:23996[13|6>12|0];Ensembl.MGI:11218[1>0]
uc009awz.3	Ensembl.UCSC:24122[1];Ensembl.UCSC:24122[1>0]	ENSMUSG00000029755	CURATED:28[0];MGI:23996[13];MGI:23996[13|6>12|0];Ensembl.MGI:11218[1>0]
uc009aze.3	Ensembl.UCSC:33575[1];Ensembl.UCSC:33575[1>0]	ENSMUSG00000029553	CURATED:260[0];MGI:33794[13];MGI:33794[13|6>12|0];Ensembl.MGI:15210[1>0]
uc009azg.2	Ensembl.UCSC:33586[1];Ensembl.UCSC:33586[1>0]	ENSMUSG00000029553	CURATED:260[0];MGI:33794[13];MGI:33794[13|6>12|0];Ensembl.MGI:15210[1>0]
uc009rcb.2	Ensembl.UCSC:54080[1];Ensembl.UCSC:54080[1>0]	ENSMUSG00000032411	CURATED:259[0];MGI:3705[13];MGI:3705[13|6>12|0];Ensembl.MGI:23152[1>0]
uc012ayw.3	Ensembl.UCSC:49268[1];Ensembl.UCSC:49268[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc033hfn.2	Ensembl.UCSC:49132[1];Ensembl.UCSC:49132[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc057bkb.2	Ensembl.UCSC:49196[1];Ensembl.UCSC:49196[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc057bkc.2	Ensembl.UCSC:49193[1];Ensembl.UCSC:49193[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc287pxo.1	Ensembl.UCSC:72842[1];Ensembl.UCSC:72842[1>0]	ENSMUSG00000019982	CURATED:174[0];MGI:25180[13];MGI:25180[13|6>12|0];Ensembl.MGI:30669[1>0]
uc289noo.1	Ensembl.UCSC:49000[1];Ensembl.UCSC:49000[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289nop.1	Ensembl.UCSC:49154[1];Ensembl.UCSC:49154[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289noq.1	Ensembl.UCSC:49323[1];Ensembl.UCSC:49323[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289nor.1	Ensembl.UCSC:49329[1];Ensembl.UCSC:49329[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289nos.1	Ensembl.UCSC:49327[1];Ensembl.UCSC:49327[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289not.1	Ensembl.UCSC:49156[1];Ensembl.UCSC:49156[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289nou.1	Ensembl.UCSC:49160[1];Ensembl.UCSC:49160[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289nov.1	Ensembl.UCSC:49172[1];Ensembl.UCSC:49172[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289now.1	Ensembl.UCSC:49175[1];Ensembl.UCSC:49175[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289nox.1	Ensembl.UCSC:49183[1];Ensembl.UCSC:49183[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289noy.1	Ensembl.UCSC:49186[1];Ensembl.UCSC:49186[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289noz.1	Ensembl.UCSC:49197[1];Ensembl.UCSC:49197[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npa.1	Ensembl.UCSC:49199[1];Ensembl.UCSC:49199[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npb.1	Ensembl.UCSC:49201[1];Ensembl.UCSC:49201[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npc.1	Ensembl.UCSC:49205[1];Ensembl.UCSC:49205[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npd.1	Ensembl.UCSC:49206[1];Ensembl.UCSC:49206[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npe.1	Ensembl.UCSC:49207[1];Ensembl.UCSC:49207[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npf.1	Ensembl.UCSC:49204[1];Ensembl.UCSC:49204[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npg.1	Ensembl.UCSC:49210[1];Ensembl.UCSC:49210[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289nph.1	Ensembl.UCSC:49212[1];Ensembl.UCSC:49212[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npi.1	Ensembl.UCSC:49211[1];Ensembl.UCSC:49211[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npj.1	Ensembl.UCSC:49213[1];Ensembl.UCSC:49213[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npk.1	Ensembl.UCSC:49214[1];Ensembl.UCSC:49214[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npl.1	Ensembl.UCSC:49220[1];Ensembl.UCSC:49220[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc289npm.1	Ensembl.UCSC:49226[1];Ensembl.UCSC:49226[1>0]	ENSMUSG00000063889	CURATED:24[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
