name	source	ensembl_gene	ensembl_source
ENSMUSG00000000078	Ensembl:34207[0]	ENSMUSG00000000078	SCENIC:491[0];MGI:24449[13];MGI:24449[13|6>12|0];Ensembl.MGI:15408[1>0]
ENSMUSG00000000085	Ensembl:78927[0]	ENSMUSG00000000085	SCENIC:1227[0];MGI:23596[13];MGI:23596[13|6>12|0];Ensembl.MGI:32834[1>0]
ENSMUSG00000000093	Ensembl:143666[0]	ENSMUSG00000000093	SCENIC:331[0];MGI:568343[13|6];MGI:568343[13|6>12|0];Ensembl.MGI:55459[1>0]
ENSMUSG00000000094	Ensembl:143680[0]	ENSMUSG00000000094	SCENIC:332[0];MGI:568350[13|6];MGI:568350[13|6>12|0];Ensembl.MGI:55464[1>0]
ENSMUSG00000000103	Ensembl:1519[0]	ENSMUSG00000000103	SCENIC:855[0];MGI:752952[13];MGI:752952[13|6>12|0];Ensembl.MGI:1174[1>0]
ENSMUSG00000000134	Ensembl:85904[0]	ENSMUSG00000000134	SCENIC:370[0];MGI:26281[13];MGI:26281[13|6>12|0];Ensembl.MGI:35223[1>0]
ENSMUSG00000000247	Ensembl:134211[0]	ENSMUSG00000000247	SCENIC:112[0];MGI:166743[13|6];MGI:166743[13|6>12|0];Ensembl.MGI:52419[1>0]
ENSMUSG00000000282	Ensembl:130692[0]	ENSMUSG00000000282	SCENIC:371[0];MGI:169879[11];MGI:172233[13|6>12|0];Ensembl.MGI:51241[1>0]
ENSMUSG00000000308	Ensembl:52311[0]	ENSMUSG00000000308	SCENIC:1418[0];MGI:40922[13|6];MGI:40922[13|6>12|0];Ensembl.MGI:22741[1>0]
ENSMUSG00000000317	Ensembl:115140[0]	ENSMUSG00000000317	SCENIC:1[0];MGI:33673[13];MGI:33673[13|6>12|0];Ensembl.MGI:45737[1>0]
ENSMUSG00000000435	Ensembl:48560[0]	ENSMUSG00000000435	SCENIC:611[0];MGI:32711[13];MGI:32711[13|6>12|0];Ensembl.MGI:21287[1>0]
ENSMUSG00000000440	Ensembl:83134[0]	ENSMUSG00000000440	SCENIC:443[0];MGI:188379[13|6];MGI:188379[13|6>12|0];Ensembl.MGI:34279[1>0]
ENSMUSG00000000552	Ensembl:4617[0]	ENSMUSG00000000552	SCENIC:1265[0];MGI:752523[13];MGI:752523[13|6>12|0];Ensembl.MGI:2848[1>0]
ENSMUSG00000000567	Ensembl:122714[0]	ENSMUSG00000000567	SCENIC:594[0];MGI:7094[13];MGI:7094[13|6>12|0];Ensembl.MGI:48228[1>0]
ENSMUSG00000000690	Ensembl:146530[0]	ENSMUSG00000000690	SCENIC:113[0];MGI:161752[13];MGI:161752[13|6>12|0];Ensembl.MGI:56372[1>0]
ENSMUSG00000000731	Ensembl:83582[0]	ENSMUSG00000000731	SCENIC:590[0];MGI:26661[13|6];MGI:26661[13|6>12|0];Ensembl.MGI:34426[1>0]
ENSMUSG00000000782	Ensembl:82991[0]	ENSMUSG00000000782	SCENIC:87[0];MGI:24833[13];MGI:24833[13|6>12|0];Ensembl.MGI:34217[1>0]
ENSMUSG00000000861	Ensembl:17332[0]	ENSMUSG00000000861	SCENIC:696[0];MGI:9828[13];MGI:9828[13|6>12|0];Ensembl.MGI:8348[1>0]
