name	source	ensembl_gene	ensembl_source
ENSMUSP00000000010	Ensembl:146511[2];Ensembl:146511[2>0]	ENSMUSG00000020875	SCENIC:142[0];MGI:161755[13];MGI:161755[13|6>12|0];Ensembl.MGI:56367[1>0]
ENSMUSP00000000080	Ensembl:34207[2];Ensembl:34207[2>0]	ENSMUSG00000000078	SCENIC:491[0];MGI:24449[13];MGI:24449[13|6>12|0];Ensembl.MGI:15408[1>0]
ENSMUSP00000000087	Ensembl:78927[2];Ensembl:78927[2>0]	ENSMUSG00000000085	SCENIC:1227[0];MGI:23596[13];MGI:23596[13|6>12|0];Ensembl.MGI:32834[1>0]
ENSMUSP00000000095	Ensembl:143666[2];Ensembl:143666[2>0]	ENSMUSG00000000093	SCENIC:331[0];MGI:568343[13|6];MGI:568343[13|6>12|0];Ensembl.MGI:55459[1>0]
ENSMUSP00000000096	Ensembl:143681[2];Ensembl:143681[2>0]	ENSMUSG00000000094	SCENIC:332[0];MGI:568350[13|6];MGI:568350[13|6>12|0];Ensembl.MGI:55464[1>0]
ENSMUSP00000000253	Ensembl:134214[2];Ensembl:134214[2>0]	ENSMUSG00000000247	SCENIC:112[0];MGI:166743[13|6];MGI:166743[13|6>12|0];Ensembl.MGI:52419[1>0]
ENSMUSP00000000291	Ensembl:130692[2];Ensembl:130692[2>0]	ENSMUSG00000000282	SCENIC:371[0];MGI:169879[11];MGI:172233[13|6>12|0];Ensembl.MGI:51241[1>0]
ENSMUSP00000000317	Ensembl:52315[2];Ensembl:52315[2>0]	ENSMUSG00000000308	SCENIC:1418[0];MGI:40922[13|6];MGI:40922[13|6>12|0];Ensembl.MGI:22741[1>0]
ENSMUSP00000000326	Ensembl:115140[2];Ensembl:115140[2>0]	ENSMUSG00000000317	SCENIC:1[0];MGI:33673[13];MGI:33673[13|6>12|0];Ensembl.MGI:45737[1>0]
ENSMUSP00000000445	Ensembl:48560[2];Ensembl:48560[2>0]	ENSMUSG00000000435	SCENIC:611[0];MGI:32711[13];MGI:32711[13|6>12|0];Ensembl.MGI:21287[1>0]
ENSMUSP00000000450	Ensembl:83139[2];Ensembl:83139[2>0]	ENSMUSG00000000440	SCENIC:443[0];MGI:188379[13|6];MGI:188379[13|6>12|0];Ensembl.MGI:34279[1>0]
ENSMUSP00000000579	Ensembl:122714[2];Ensembl:122714[2>0]	ENSMUSG00000000567	SCENIC:594[0];MGI:7094[13];MGI:7094[13|6>12|0];Ensembl.MGI:48228[1>0]
ENSMUSP00000000632	Ensembl:76466[2];Ensembl:76466[2>0]	ENSMUSG00000044807	SCENIC:801[0];MGI:14658[13];MGI:14658[13|6>12|0];Ensembl.MGI:31922[1>0]
ENSMUSP00000000704	Ensembl:146531[2];Ensembl:146531[2>0]	ENSMUSG00000000690	SCENIC:113[0];MGI:161752[13];MGI:161752[13|6>12|0];Ensembl.MGI:56372[1>0]
ENSMUSP00000000881	Ensembl:17334[2];Ensembl:17334[2>0]	ENSMUSG00000000861	SCENIC:696[0];MGI:9828[13];MGI:9828[13|6>12|0];Ensembl.MGI:8348[1>0]
ENSMUSP00000000894	Ensembl:42469[2];Ensembl:42469[2>0]	ENSMUSG00000027490	SCENIC:534[0];MGI:581811[13];MGI:88223[13|6>12|0];Ensembl.MGI:18847[1>0]
ENSMUSP00000000925	Ensembl:78904[2];Ensembl:78904[2>0]	ENSMUSG00000000902	SCENIC:1721[0];MGI:29401[13];MGI:29401[13|6>12|0];Ensembl.MGI:32828[1>0]
ENSMUSP00000000964	Ensembl:107062[2];Ensembl:107062[2>0]	ENSMUSG00000029844	SCENIC:179[0];MGI:161746[13];MGI:161746[13|6>12|0];Ensembl.MGI:42933[1>0]
ENSMUSP00000001042	Ensembl:114571[2];Ensembl:114571[2>0]	ENSMUSG00000001016	SCENIC:927[0];MGI:15826[13];MGI:15826[13|6>12|0];Ensembl.MGI:45539[1>0]
ENSMUSP00000001092	Ensembl:101987[2];Ensembl:101987[2>0]	ENSMUSG00000001065	SCENIC:820[0];MGI:30878[13];MGI:30878[13|6>12|0];Ensembl.MGI:41147[1>0]
ENSMUSP00000001116	Ensembl:136258[2];Ensembl:136258[2>0]	ENSMUSG00000001089	SCENIC:1602[0];MGI:9568[13];MGI:9568[13|6>12|0];Ensembl.MGI:53075[1>0]
ENSMUSP00000001130	Ensembl:75414[2];Ensembl:75414[2>0]	ENSMUSG00000001103	SCENIC:418[0];MGI:177070[13];MGI:177070[13|6>12|0];Ensembl.MGI:31548[1>0]
ENSMUSP00000001184	Ensembl:110191[2];Ensembl:110191[2>0]	ENSMUSG00000001156	SCENIC:929[0];MGI:31178[13];MGI:31178[13|6>12|0];Ensembl.MGI:44100[1>0]
ENSMUSP00000001284	Ensembl:113820[2];Ensembl:113820[2>0]	ENSMUSG00000026641	SCENIC:384[0];MGI:749625[13|6];MGI:749625[13|6>12|0];Ensembl.MGI:45361[1>0]
ENSMUSP00000001326	Ensembl:102693[2];Ensembl:102693[2>0]	ENSMUSG00000001280	SCENIC:284[0];MGI:3351[13];MGI:3351[13|6>12|0];Ensembl.MGI:41356[1>0]
ENSMUSP00000001419	Ensembl:73259[2];Ensembl:73259[2>0]	ENSMUSG00000001383	SCENIC:1850[0];MGI:9326[13];MGI:9326[13|6>12|0];Ensembl.MGI:30789[1>0]
ENSMUSP00000001455	Ensembl:101074[2];Ensembl:101074[2>0]	ENSMUSG00000001419	SCENIC:560[0];MGI:38180[13];MGI:38180[13|6>12|0];Ensembl.MGI:40776[1>0]
ENSMUSP00000001460	Ensembl:69336[2];Ensembl:69336[2>0]	ENSMUSG00000001424	SCENIC:1231[0];MGI:27081[13];MGI:27081[13|6>12|0];Ensembl.MGI:29346[1>0]
ENSMUSP00000001484	Ensembl:132145[2];Ensembl:132145[2>0]	ENSMUSG00000001444	SCENIC:599[0];MGI:568345[13|6];MGI:568345[13|6>12|0];Ensembl.MGI:51708[1>0]
ENSMUSP00000001536	Ensembl:5502[2];Ensembl:5502[2>0]	ENSMUSG00000001496	SCENIC:117[0];MGI:30299[13];MGI:30299[13|6>12|0];Ensembl.MGI:3224[1>0]
ENSMUSP00000001538	Ensembl:5537[2];Ensembl:5537[2>0]	ENSMUSG00000001497	SCENIC:745[0];MGI:186238[13];MGI:186238[13|6>12|0];Ensembl.MGI:3244[1>0]
ENSMUSP00000001699	Ensembl:79890[2];Ensembl:79890[2>0]	ENSMUSG00000022484	SCENIC:151[0];MGI:25086[13];MGI:25086[13|6>12|0];Ensembl.MGI:33127[1>0]
ENSMUSP00000001700	Ensembl:79874[2];Ensembl:79874[2>0]	ENSMUSG00000001655	SCENIC:121[0];MGI:174062[13];MGI:161827[13|6>12|0];Ensembl.MGI:33116[1>0]
ENSMUSP00000001701	Ensembl:79888[2];Ensembl:79888[2>0]	ENSMUSG00000001656	SCENIC:122[0];MGI:161767[13];MGI:161767[13|6>12|0];Ensembl.MGI:33125[1>0]
