name	source	ensembl_gene	ensembl_source
1700009N14Rik	MGI:24301[13];MGI:5073[13|6>12|0];Ensembl.MGI:40081[1>0]	ENSMUSG00000028287	SCENIC:1358[0];MGI:24301[13];MGI:5073[13|6>12|0];Ensembl.MGI:40081[1>0]
1700080O16Rik	MGI:168287[11];Unrecognized	ENS!000879155	SCENIC:1359[0];MGI:168287[11];Unrecognized
1810024B03Rik	MGI:6552[13|6];MGI:6552[13|6>12|0];Ensembl.MGI:40287[1>0]	ENSMUSG00000044145	SCENIC:1360[0];MGI:6552[13|6];MGI:6552[13|6>12|0];Ensembl.MGI:40287[1>0]
2010315B03Rik	MGI:34691[13];MGI:7112[13|6>12|0];Ensembl.MGI:43799[1>0]	ENSMUSG00000074829	SCENIC:1361[0];MGI:34691[13];MGI:7112[13|6>12|0];Ensembl.MGI:43799[1>0]
2310011J03Rik	MGI:24659[13];MGI:7673[13|6>12|0];Ensembl.MGI:36217[1>0]	ENSMUSG00000020133	SCENIC:1362[0];MGI:24659[13];MGI:7673[13|6>12|0];Ensembl.MGI:36217[1>0]
2410141K09Rik	MGI:752929[11];Unrecognized	ENS!001084080	SCENIC:1363[0];MGI:752929[11];Unrecognized
2610021A01Rik	MGI:8956[13|6];MGI:8956[13|6>12|0];Ensembl.MGI:6122[1>0]	ENSMUSG00000091474	SCENIC:1093[0];MGI:8956[13|6];MGI:8956[13|6>12|0];Ensembl.MGI:6122[1>0]
2610044O15Rik8	MGI:752304[11];Unrecognized	ENS!001083436	SCENIC:1364[0];MGI:752304[11];Unrecognized
2810403A07Rik	MGI:165197[11];Unrecognized	ENS!000876799	SCENIC:1365[0];MGI:165197[11];Unrecognized
3300002I08Rik	MGI:10260[13];MGI:10260[13|6>12|0];Ensembl.MGI:56113[1>0]	ENSMUSG00000063364	SCENIC:1366[0];MGI:10260[13];MGI:10260[13|6>12|0];Ensembl.MGI:56113[1>0]
3830417A13Rik	MGI:168295[11];Unrecognized	ENS!000879163	SCENIC:1367[0];MGI:168295[11];Unrecognized
4921501E09Rik	MGI:187110[11];Unrecognized	ENS!000892941	SCENIC:1368[0];MGI:187110[11];Unrecognized
4921509C19Rik	MGI:101882[13];MGI:11984[13|6>12|0];Ensembl.MGI:52681[1>0]	ENSMUSG00000061525	SCENIC:1369[0];MGI:101882[13];MGI:11984[13|6>12|0];Ensembl.MGI:52681[1>0]
5730507C01Rik	MGI:15253[13|6];MGI:15253[13|6>12|0];Ensembl.MGI:3072[1>0]	ENSMUSG00000073197	SCENIC:1370[0];MGI:15253[13|6];MGI:15253[13|6>12|0];Ensembl.MGI:3072[1>0]
6720489N17Rik	MGI:752306[11];Unrecognized	ENS!001083439	SCENIC:1371[0];MGI:752306[11];Unrecognized
9030624G23Rik	MGI:17330[13|6];MGI:17330[13|6>12|0];Ensembl.MGI:5210[1>0]	ENSMUSG00000073158	SCENIC:1372[0];MGI:17330[13|6];MGI:17330[13|6>12|0];Ensembl.MGI:5210[1>0]
9130019O22Rik	MGI:752756[11];Unrecognized	ENS!001083902	SCENIC:1373[0];MGI:752756[11];Unrecognized
9130023H24Rik	MGI:752726[11];Unrecognized	ENS!001083863	SCENIC:1374[0];MGI:752726[11];Unrecognized
A1cf	MGI:6774[13];MGI:6774[13|6>12|0];Ensembl.MGI:7703[1>0]	ENSMUSG00000052595	SCENIC:1375[0];MGI:6774[13];MGI:6774[13|6>12|0];Ensembl.MGI:7703[1>0]
Abcf2	MGI:364[13];MGI:364[13|6>12|0];Ensembl.MGI:35712[1>0]	ENSMUSG00000028953	SCENIC:1376[0];MGI:364[13];MGI:364[13|6>12|0];Ensembl.MGI:35712[1>0]
Abl1	MGI:23802[13];MGI:21815[13|6>12|0];Ensembl.MGI:38971[1>0]	ENSMUSG00000026842	SCENIC:1347[0];MGI:23802[13];MGI:21815[13|6>12|0];Ensembl.MGI:38971[1>0]
Acaa1a	MGI:21891[13];MGI:21891[13|6>12|0];Ensembl.MGI:47349[1>0]	ENSMUSG00000036138	SCENIC:1281[0];MGI:21891[13];MGI:21891[13|6>12|0];Ensembl.MGI:47349[1>0]
Acaa1b	MGI:21893[13|6];MGI:21893[13|6>12|0];Ensembl.MGI:47264[1>0]	ENSMUSG00000010651	SCENIC:1282[0];MGI:21893[13|6];MGI:21893[13|6>12|0];Ensembl.MGI:47264[1>0]
Aco1	MGI:21991[13];MGI:21991[13|6>12|0];Ensembl.MGI:40097[1>0]	ENSMUSG00000028405	SCENIC:1377[0];MGI:21991[13];MGI:21991[13|6>12|0];Ensembl.MGI:40097[1>0]
Adarb1	MGI:5873[13];MGI:5873[13|6>12|0];Ensembl.MGI:33716[1>0]	ENSMUSG00000020262	SCENIC:1378[0];MGI:5873[13];MGI:5873[13|6>12|0];Ensembl.MGI:33716[1>0]
Adnp	MGI:20974[13];MGI:20974[13|6>12|0];Ensembl.MGI:47943[1>0]	ENSMUSG00000051149	SCENIC:1177[0];MGI:20974[13];MGI:20974[13|6>12|0];Ensembl.MGI:47943[1>0]
Adnp2	MGI:17155[13];MGI:17155[13|6>12|0];Ensembl.MGI:26698[1>0]	ENSMUSG00000053950	SCENIC:822[0];MGI:17155[13];MGI:17155[13|6>12|0];Ensembl.MGI:26698[1>0]
Aebp2	MGI:29730[13];MGI:22505[13|6>12|0];Ensembl.MGI:47841[1>0]	ENSMUSG00000030232	SCENIC:833[0];MGI:29730[13];MGI:22505[13|6>12|0];Ensembl.MGI:47841[1>0]
Aff4	MGI:166190[13];MGI:22619[13|6>12|0];Ensembl.MGI:34618[1>0]	ENSMUSG00000049470	SCENIC:1191[0];MGI:166190[13];MGI:22619[13|6>12|0];Ensembl.MGI:34618[1>0]
Agap2	MGI:40157[13];MGI:22672[13|6>12|0];Ensembl.MGI:12006[1>0]	ENSMUSG00000025422	SCENIC:1379[0];MGI:40157[13];MGI:22672[13|6>12|0];Ensembl.MGI:12006[1>0]
