name	source	ensembl_gene	ensembl_source
MGI:101761	MGI:161500[0];Ensembl.MGI:9298[1>0]	ENSMUSG00000056758	SCENIC:272[0];MGI:17915[13];MGI:17915[13|6>12|0];Ensembl.MGI:9298[1>0]
MGI:101762	MGI:95337[0];Ensembl.MGI:11960[1>0]	ENSMUSG00000008398	SCENIC:354[0];MGI:78039[13];MGI:78039[13|6>12|0];Ensembl.MGI:11960[1>0]
MGI:101763	MGI:40357[0];Ensembl.MGI:31432[1>0]	ENSMUSG00000062929	SCENIC:1417[0];MGI:40357[13|6];MGI:40357[13|6>12|0];Ensembl.MGI:31432[1>0]
MGI:101776	MGI:166745[0];Ensembl.MGI:12771[1>0]	ENSMUSG00000026468	SCENIC:160[0];MGI:18742[13];MGI:18742[13|6>12|0];Ensembl.MGI:12771[1>0]
MGI:101785	MGI:173879[0];Ensembl.MGI:38618[1>0]	ENSMUSG00000017861	SCENIC:311[0];MGI:173879[13|6];MGI:173879[13|6>12|0];Ensembl.MGI:38618[1>0]
MGI:101786	MGI:173332[0];Ensembl.MGI:35953[1>0]	ENSMUSG00000028890	SCENIC:3[0];MGI:582033[13];MGI:173332[13|6>12|0];Ensembl.MGI:35953[1>0]
MGI:101791	MGI:164620[0];Ensembl.MGI:21206[1>0]	ENSMUSG00000042258	SCENIC:555[0];MGI:164620[13|6];MGI:164620[13|6>12|0];Ensembl.MGI:21206[1>0]
MGI:101833	MGI:95336[0];Ensembl.MGI:34658[1>0]	ENSMUSG00000009406	SCENIC:355[0];MGI:95336[13|6];MGI:95336[13|6>12|0];Ensembl.MGI:34658[1>0]
MGI:101838	MGI:568305[0];Ensembl.MGI:21279[1>0]	ENSMUSG00000014767	SCENIC:110[0];MGI:159556[13];MGI:159556[13|6>12|0];Ensembl.MGI:21279[1>0]
MGI:101876	MGI:568941[0];Ensembl.MGI:26700[1>0]	ENSMUSG00000055320	SCENIC:603[0];MGI:8974[13];MGI:8974[13|6>12|0];Ensembl.MGI:26700[1>0]
MGI:101877	MGI:568422[0];Ensembl.MGI:41580[1>0]	ENSMUSG00000032228	SCENIC:390[0];MGI:568422[13|6];MGI:568422[13|6>12|0];Ensembl.MGI:41580[1>0]
MGI:101884	MGI:188378[0];Ensembl.MGI:45209[1>0]	ENSMUSG00000002250	SCENIC:667[0];MGI:188378[13|6];MGI:188378[13|6>12|0];Ensembl.MGI:45209[1>0]
MGI:101893	MGI:188343[0];Ensembl.MGI:38709[1>0]	ENSMUSG00000024406	SCENIC:449[0];MGI:176986[13];MGI:176986[13|6>12|0];Ensembl.MGI:38709[1>0]
MGI:101894	MGI:188337[0];Ensembl.MGI:4338[1>0]	ENSMUSG00000056854	SCENIC:267[0];MGI:36121[13];MGI:36121[13|6>12|0];Ensembl.MGI:4338[1>0]
MGI:101895	MGI:188333[0];Ensembl.MGI:37284[1>0]	ENSMUSG00000095139	SCENIC:269[0];MGI:17890[13];MGI:17890[13|6>12|0];Ensembl.MGI:37284[1>0]
MGI:101896	MGI:188332[0];Ensembl.MGI:35757[1>0]	ENSMUSG00000090125	SCENIC:268[0];MGI:180402[13];MGI:180402[13|6>12|0];Ensembl.MGI:35757[1>0]
MGI:101897	MGI:188329[0];Ensembl.MGI:37552[1>0]	ENSMUSG00000008496	SCENIC:262[0];MGI:176985[13];MGI:176985[13|6>12|0];Ensembl.MGI:37552[1>0]
MGI:101898	MGI:188328[0];Ensembl.MGI:53587[1>0]	ENSMUSG00000026565	SCENIC:265[0];MGI:10164[13];MGI:10164[13|6>12|0];Ensembl.MGI:53587[1>0]
MGI:101926	MGI:86120[0];Ensembl.MGI:11218[1>0]	ENSMUSG00000029755	SCENIC:178[0];MGI:23996[13];MGI:23996[13|6>12|0];Ensembl.MGI:11218[1>0]
MGI:101927	MGI:86121[0];Ensembl.MGI:10931[1>0]	ENSMUSG00000029754	SCENIC:706[0];MGI:86121[13|6];MGI:86121[13|6>12|0];Ensembl.MGI:10931[1>0]
MGI:101934	MGI:569176[0];Ensembl.MGI:10049[1>0]	ENSMUSG00000038482	SCENIC:675[0];MGI:569176[13|6];MGI:569176[13|6>12|0];Ensembl.MGI:10049[1>0]
MGI:101941	MGI:88223[0];Ensembl.MGI:18847[1>0]	ENSMUSG00000027490	SCENIC:534[0];MGI:581811[13];MGI:88223[13|6>12|0];Ensembl.MGI:18847[1>0]
MGI:102463	MGI:174588[0];Ensembl.MGI:48150[1>0]	ENSMUSG00000027544	SCENIC:584[0];MGI:25417[13];MGI:25417[13|6>12|0];Ensembl.MGI:48150[1>0]
MGI:102469	MGI:174587[0];Ensembl.MGI:16900[1>0]	ENSMUSG00000033016	SCENIC:587[0];MGI:7279[13];MGI:7279[13|6>12|0];Ensembl.MGI:16900[1>0]
MGI:102523	MGI:188341[0];Ensembl.MGI:10789[1>0]	ENSMUSG00000024497	SCENIC:264[0];MGI:36120[13];MGI:36120[13|6>12|0];Ensembl.MGI:10789[1>0]
MGI:102524	MGI:188340[0];Ensembl.MGI:3487[1>0]	ENSMUSG00000031688	SCENIC:666[0];MGI:36119[13];MGI:36119[13|6>12|0];Ensembl.MGI:3487[1>0]
MGI:102525	MGI:188339[0];Ensembl.MGI:3594[1>0]	ENSMUSG00000048349	SCENIC:747[0];MGI:36116[13];MGI:36116[13|6>12|0];Ensembl.MGI:3594[1>0]
MGI:102539	MGI:568352[0];Ensembl.MGI:52391[1>0]	ENSMUSG00000030699	SCENIC:685[0];MGI:563040[13];MGI:563040[13|6>12|0];Ensembl.MGI:52391[1>0]
MGI:102541	MGI:568351[0];Ensembl.MGI:41372[1>0]	ENSMUSG00000018263	SCENIC:334[0];MGI:568351[13|6];MGI:568351[13|6>12|0];Ensembl.MGI:41372[1>0]
MGI:102556	MGI:568350[0];Ensembl.MGI:55464[1>0]	ENSMUSG00000000094	SCENIC:332[0];MGI:568350[13|6];MGI:568350[13|6>12|0];Ensembl.MGI:55464[1>0]
MGI:102564	MGI:188334[0];Ensembl.MGI:42289[1>0]	ENSMUSG00000045515	SCENIC:270[0];MGI:36112[13];MGI:36112[13|6>12|0];Ensembl.MGI:42289[1>0]
MGI:102565	MGI:188330[0];Ensembl.MGI:18629[1>0]	ENSMUSG00000032015	SCENIC:266[0];MGI:98408[13];MGI:98408[13|6>12|0];Ensembl.MGI:18629[1>0]
MGI:102567	MGI:175543[0];Ensembl.MGI:28098[1>0]	ENSMUSG00000040632	SCENIC:740[0];MGI:31667[13];MGI:31667[13|6>12|0];Ensembl.MGI:28098[1>0]
MGI:102666	MGI:188567[0];Ensembl.MGI:50518[1>0]	ENSMUSG00000003099	SCENIC:1674[0];MGI:29413[13];MGI:29413[13|6>12|0];Ensembl.MGI:50518[1>0]
MGI:102670	MGI:85024[0];Ensembl.MGI:19154[1>0]	ENSMUSG00000021758	SCENIC:1434[0];MGI:30520[13];MGI:30520[13|6>12|0];Ensembl.MGI:19154[1>0]
MGI:102672	MGI:563031[0];Ensembl.MGI:23185[1>0]	ENSMUSG00000070691	SCENIC:589[0];MGI:39131[13];MGI:39131[13|6>12|0];Ensembl.MGI:23185[1>0]
MGI:102673	MGI:166744[0];Ensembl.MGI:56791[1>0]	ENSMUSG00000026934	SCENIC:165[0];MGI:166744[13|6];MGI:166744[13|6>12|0];Ensembl.MGI:56791[1>0]
MGI:102744	MGI:174524[0];Ensembl.MGI:48562[1>0]	ENSMUSG00000024369	SCENIC:1640[0];MGI:72275[13];MGI:72275[13|6>12|0];Ensembl.MGI:48562[1>0]
MGI:102755	MGI:752177[0];Ensembl.MGI:33673[1>0]	ENSMUSG00000028042	SCENIC:33[0];MGI:581996[13];MGI:581996[13|6>12|0];Ensembl.MGI:33673[1>0]
MGI:102764	MGI:564515[0];Ensembl.MGI:46883[1>0]	ENSMUSG00000038805	SCENIC:209[0];MGI:88088[13];MGI:88088[13|6>12|0];Ensembl.MGI:46883[1>0]
MGI:102778	MGI:564514[0];Ensembl.MGI:46893[1>0]	ENSMUSG00000024134	SCENIC:155[0];MGI:564514[13|6];MGI:564514[13|6>12|0];Ensembl.MGI:46893[1>0]
MGI:102780	MGI:564513[0];Ensembl.MGI:15882[1>0]	ENSMUSG00000051367	SCENIC:237[0];MGI:33881[13];MGI:33881[13|6>12|0];Ensembl.MGI:15882[1>0]
MGI:102790	MGI:189892[0];Ensembl.MGI:22520[1>0]	ENSMUSG00000073639	SCENIC:1224[0];MGI:21407[13];MGI:21407[13|6>12|0];Ensembl.MGI:22520[1>0]
MGI:102811	MGI:166937[0];Ensembl.MGI:56031[1>0]	ENSMUSG00000032698	SCENIC:923[0];MGI:190607[13];MGI:166937[13|6>12|0];Ensembl.MGI:56031[1>0]
MGI:102851	MGI:186712[0];Ensembl.MGI:17892[1>0]	ENSMUSG00000029644	SCENIC:175[0];MGI:164449[13];MGI:164449[13|6>12|0];Ensembl.MGI:17892[1>0]
MGI:102853	MGI:95338[0];Ensembl.MGI:47313[1>0]	ENSMUSG00000026436	SCENIC:359[0];MGI:7670[13];MGI:7670[13|6>12|0];Ensembl.MGI:47313[1>0]
MGI:102858	MGI:100520[0];Ensembl.MGI:45550[1>0]	ENSMUSG00000029135	SCENIC:406[0];MGI:100520[13|6];MGI:100520[13|6>12|0];Ensembl.MGI:45550[1>0]
MGI:102934	MGI:563599[0];Ensembl.MGI:35380[1>0]	ENSMUSG00000034161	SCENIC:1713[0];MGI:33804[13];MGI:33804[13|6>12|0];Ensembl.MGI:35380[1>0]
MGI:102935	MGI:188357[0];Ensembl.MGI:41175[1>0]	ENSMUSG00000009739	SCENIC:263[0];MGI:7869[13];MGI:7869[13|6>12|0];Ensembl.MGI:41175[1>0]
MGI:102949	MGI:100558[0];Ensembl.MGI:54498[1>0]	ENSMUSG00000002057	SCENIC:343[0];MGI:67081[13];MGI:67081[13|6>12|0];Ensembl.MGI:54498[1>0]
MGI:103012	MGI:88226[0];Ensembl.MGI:35008[1>0]	ENSMUSG00000014859	SCENIC:532[0];MGI:7043[13];MGI:7043[13|6>12|0];Ensembl.MGI:35008[1>0]
MGI:103034	MGI:566982[0];Ensembl.MGI:18831[1>0]	ENSMUSG00000002147	SCENIC:461[0];MGI:566982[13|6];MGI:566982[13|6>12|0];Ensembl.MGI:18831[1>0]
MGI:103035	MGI:566981[0];Ensembl.MGI:20445[1>0]	ENSMUSG00000020919	SCENIC:596[0];MGI:566981[13|6];MGI:566981[13|6>12|0];Ensembl.MGI:20445[1>0]
MGI:103036	MGI:566980[0];Ensembl.MGI:20980[1>0]	ENSMUSG00000004043	SCENIC:595[0];MGI:21438[13];MGI:21438[13|6>12|0];Ensembl.MGI:20980[1>0]
MGI:103038	MGI:566978[0];Ensembl.MGI:21980[1>0]	ENSMUSG00000004040	SCENIC:452[0];MGI:3785[13];MGI:3785[13|6>12|0];Ensembl.MGI:21980[1>0]
MGI:103039	MGI:566977[0];Ensembl.MGI:49879[1>0]	ENSMUSG00000040033	SCENIC:598[0];MGI:4779[13];MGI:4779[13|6>12|0];Ensembl.MGI:49879[1>0]
MGI:103062	MGI:566979[0];Ensembl.MGI:12784[1>0]	ENSMUSG00000062939	SCENIC:462[0];MGI:566979[13|6];MGI:566979[13|6>12|0];Ensembl.MGI:12784[1>0]
MGI:103063	MGI:566976[0];Ensembl.MGI:14824[1>0]	ENSMUSG00000026104	SCENIC:597[0];MGI:6918[13];MGI:6918[13|6>12|0];Ensembl.MGI:14824[1>0]
MGI:103076	MGI:750010[0];Ensembl.MGI:19269[1>0]	ENSMUSG00000022479	SCENIC:438[0];MGI:750010[13|6];MGI:750010[13|6>12|0];Ensembl.MGI:19269[1>0]
MGI:103078	MGI:566551[0];Ensembl.MGI:27520[1>0]	ENSMUSG00000033735	SCENIC:1735[0];MGI:20238[13];MGI:20238[13|6>12|0];Ensembl.MGI:27520[1>0]
MGI:103079	MGI:189508[0];Ensembl.MGI:5386[1>0]	ENSMUSG00000043991	SCENIC:668[0];MGI:189508[13|6];MGI:189508[13|6>12|0];Ensembl.MGI:5386[1>0]
MGI:103124	MGI:33631[0];Ensembl.MGI:30897[1>0]	ENSMUSG00000021381	SCENIC:144[0];MGI:33631[13|6];MGI:33631[13|6>12|0];Ensembl.MGI:30897[1>0]
MGI:103170	MGI:101524[0];Ensembl.MGI:13172[1>0]	ENSMUSG00000029275	SCENIC:504[0];MGI:31726[13];MGI:31726[13|6>12|0];Ensembl.MGI:13172[1>0]
MGI:103172	MGI:752498[0];Ensembl.MGI:32423[1>0]	ENSMUSG00000020364	SCENIC:876[0];MGI:31609[13];MGI:31609[13|6>12|0];Ensembl.MGI:32423[1>0]
MGI:103188	MGI:174601[0];Ensembl.MGI:22210[1>0]	ENSMUSG00000008575	SCENIC:591[0];MGI:16660[13];MGI:16660[13|6>12|0];Ensembl.MGI:22210[1>0]
MGI:103219	MGI:169315[0];Ensembl.MGI:14621[1>0]	ENSMUSG00000036144	SCENIC:436[0];MGI:25147[13];MGI:25147[13|6>12|0];Ensembl.MGI:14621[1>0]
MGI:103220	MGI:169314[0];Ensembl.MGI:31361[1>0]	ENSMUSG00000001493	SCENIC:116[0];MGI:23961[13];MGI:23961[13|6>12|0];Ensembl.MGI:31361[1>0]
