name	source	ensembl_gene	ensembl_source
NM_001001130	Ensembl.RefSeq_mRNA:80554[1];Ensembl.RefSeq_mRNA:80554[1>0]	ENSMUSG00000058331	SCENIC:1110[0];MGI:752824[13];MGI:752820[13|6>12|0];Ensembl.MGI:31128[1>0]
NM_001001152	Ensembl.RefSeq_mRNA:78920[1];Ensembl.RefSeq_mRNA:78920[1>0]	ENSMUSG00000055480	SCENIC:1330[0];MGI:35079[13];MGI:35079[13|6>12|0];Ensembl.MGI:30598[1>0]
NM_001001180	Ensembl.RefSeq_mRNA:144976[1];Ensembl.RefSeq_mRNA:144976[1>0]	ENSMUSG00000060314	SCENIC:1092[0];MGI:35099[13];MGI:35099[13|6>12|0];Ensembl.MGI:51831[1>0]
NM_001001186	Ensembl.RefSeq_mRNA:79894[1];Ensembl.RefSeq_mRNA:79894[1>0]	ENSMUSG00000078995	SCENIC:1116[0];MGI:35096[13];MGI:35096[13|6>12|0];Ensembl.MGI:30907[1>0]
NM_001001187	Ensembl.RefSeq_mRNA:80432[1];Ensembl.RefSeq_mRNA:80432[1>0]	ENSMUSG00000048280	SCENIC:1067[0];MGI:11159[13];MGI:11159[13|6>12|0];Ensembl.MGI:31073[1>0]
NM_001001320	Ensembl.RefSeq_mRNA:67496[1];Ensembl.RefSeq_mRNA:67496[1>0]	ENSMUSG00000037477	SCENIC:824[0];MGI:84810[13];MGI:84810[13|6>12|0];Ensembl.MGI:26718[1>0]
NM_001001447	Ensembl.RefSeq_mRNA:161265[1];Ensembl.RefSeq_mRNA:161265[1>0]	ENSMUSG00000054715	SCENIC:1132[0];MGI:31429[13];MGI:31429[13|6>12|0];Ensembl.MGI:56597[1>0]
NM_001001450	Ensembl.RefSeq_mRNA:90607[1];Ensembl.RefSeq_mRNA:90607[1>0]	ENSMUSG00000023165	SCENIC:1235[0];MGI:566898[13|6];MGI:566898[13|6>12|0];Ensembl.MGI:34334[1>0]
NM_001001737	Ensembl.RefSeq_mRNA:88877[1];Ensembl.RefSeq_mRNA:88877[1>0]	ENSMUSG00000074733	SCENIC:1830[0];MGI:15464[13];MGI:15464[13|6>12|0];Ensembl.MGI:33743[1>0]
NM_001001792	Ensembl.RefSeq_mRNA:97894[1];Ensembl.RefSeq_mRNA:97894[1>0]	ENSMUSG00000042097	SCENIC:854[0];MGI:172338[13];MGI:172338[13|6>12|0];Ensembl.MGI:36652[1>0]
NM_001001984	Ensembl.RefSeq_mRNA:70881[1];Ensembl.RefSeq_mRNA:70881[1>0]	ENSMUSG00000054611	SCENIC:1587[0];MGI:3041[13];MGI:3041[13|6>12|0];Ensembl.MGI:27785[1>0]
NM_001003666	Ensembl.RefSeq_mRNA:3773[1];Ensembl.RefSeq_mRNA:3773[1>0]	ENSMUSG00000055341	SCENIC:1068[0];MGI:752572[13|6];MGI:752572[13|6>12|0];Ensembl.MGI:2405[1>0]
NM_001003953	Ensembl.RefSeq_mRNA:157498[1];Ensembl.RefSeq_mRNA:157498[1>0]	ENSMUSG00000029475	SCENIC:1023[0];MGI:99745[13];MGI:99745[13|6>12|0];Ensembl.MGI:55507[1>0]
NM_001004066	Ensembl.RefSeq_mRNA:23641[1];Ensembl.RefSeq_mRNA:23641[1>0]	ENSMUSG00000042063	SCENIC:1804[0];MGI:752527[13|6];MGI:752527[13|6>12|0];Ensembl.MGI:10286[1>0]
