name	source	ensembl_gene	ensembl_source
uc007vjj.2	Ensembl.UCSC:24990[1];Ensembl.UCSC:24990[1>0]	ENSMUSG00000052253	SCENIC:1269[0];MGI:3762[13];MGI:3762[13|6>12|0];Ensembl.MGI:11581[1>0]
uc008dxk.4	Ensembl.UCSC:49235[1];Ensembl.UCSC:49235[1>0]	ENSMUSG00000063889	SCENIC:412[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dxl.4	Ensembl.UCSC:49182[1];Ensembl.UCSC:49182[1>0]	ENSMUSG00000063889	SCENIC:412[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dxm.4	Ensembl.UCSC:49143[1];Ensembl.UCSC:49143[1>0]	ENSMUSG00000063889	SCENIC:412[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dxv.4	Ensembl.UCSC:49262[1];Ensembl.UCSC:49262[1>0]	ENSMUSG00000063889	SCENIC:412[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dxw.3	Ensembl.UCSC:49320[1];Ensembl.UCSC:49320[1>0]	ENSMUSG00000063889	SCENIC:412[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dxx.3	Ensembl.UCSC:49312[1];Ensembl.UCSC:49312[1>0]	ENSMUSG00000063889	SCENIC:412[0];MGI:64827[13|6];MGI:64827[13|6>12|0];Ensembl.MGI:21105[1>0]
uc008dyt.3	Ensembl.UCSC:50999[1];Ensembl.UCSC:50999[1>0]	ENSMUSG00000050945	SCENIC:1288[0];MGI:17942[13];MGI:17942[13|6>12|0];Ensembl.MGI:22277[1>0]
uc008dyy.3	Ensembl.UCSC:51061[1];Ensembl.UCSC:51061[1>0]	ENSMUSG00000024238	SCENIC:442[0];MGI:10768[13];MGI:10768[13|6>12|0];Ensembl.MGI:22292[1>0]
uc008dza.1	Ensembl.UCSC:51081[1];Ensembl.UCSC:51081[1>0]	ENSMUSG00000024238	SCENIC:442[0];MGI:10768[13];MGI:10768[13|6>12|0];Ensembl.MGI:22292[1>0]
uc008dzo.3	Ensembl.UCSC:51674[1];Ensembl.UCSC:51674[1>0]	ENSMUSG00000073639	SCENIC:1224[0];MGI:21407[13];MGI:21407[13|6>12|0];Ensembl.MGI:22520[1>0]
