name	source	ensembl_gene	ensembl_source
ENSMUSG00000000001	Ensembl:90612[0]	ENSMUSG00000000001	Ensembl:90612[0]
ENSMUSG00000000003	Ensembl:96414[0]	ENSMUSG00000000003	Ensembl:96414[0]
ENSMUSG00000000012	Ensembl.Genes:8950[0]	ENSMUSG00000000012	Ensembl.Genes:8950[0]
ENSMUSG00000000028	Ensembl:75230[0]	ENSMUSG00000000028	Ensembl:75230[0]
ENSMUSG00000000031	Ensembl:145328[0]	ENSMUSG00000000031	Ensembl:145328[0]
ENSMUSG00000000033	Ensembl.Genes:8953[0]	ENSMUSG00000000033	Ensembl.Genes:8953[0]
ENSMUSG00000000034	Ensembl.Genes:8954[0]	ENSMUSG00000000034	Ensembl.Genes:8954[0]
ENSMUSG00000000037	Ensembl:73437[0]	ENSMUSG00000000037	Ensembl:73437[0]
ENSMUSG00000000040	Ensembl.Genes:8956[0]	ENSMUSG00000000040	Ensembl.Genes:8956[0]
ENSMUSG00000000049	Ensembl:115243[0]	ENSMUSG00000000049	Ensembl:115243[0]
ENSMUSG00000000053	Ensembl.Genes:8958[0]	ENSMUSG00000000053	Ensembl.Genes:8958[0]
ENSMUSG00000000056	Ensembl:140577[0]	ENSMUSG00000000056	Ensembl:140577[0]
ENSMUSG00000000058	Ensembl:35215[0]	ENSMUSG00000000058	Ensembl:35215[0]
ENSMUSG00000000077	Ensembl.Genes:8961[0]	ENSMUSG00000000077	Ensembl.Genes:8961[0]
ENSMUSG00000000078	Ensembl:34207[0]	ENSMUSG00000000078	Ensembl:34207[0]
ENSMUSG00000000085	Ensembl:78927[0]	ENSMUSG00000000085	Ensembl:78927[0]
ENSMUSG00000000088	Ensembl:35892[0]	ENSMUSG00000000088	Ensembl:35892[0]
ENSMUSG00000000093	Ensembl:143666[0]	ENSMUSG00000000093	Ensembl:143666[0]
ENSMUSG00000000094	Ensembl:143680[0]	ENSMUSG00000000094	Ensembl:143680[0]
ENSMUSG00000000103	Ensembl:1519[0]	ENSMUSG00000000103	Ensembl:1519[0]
ENSMUSG00000000107	Ensembl.Genes:8968[0]	ENSMUSG00000000107	Ensembl.Genes:8968[0]
ENSMUSG00000000120	Ensembl:131025[0]	ENSMUSG00000000120	Ensembl:131025[0]
ENSMUSG00000000122	Ensembl.Genes:8970[0]	ENSMUSG00000000122	Ensembl.Genes:8970[0]
ENSMUSG00000000125	Ensembl:96056[0]	ENSMUSG00000000125	Ensembl:96056[0]
ENSMUSG00000000126	Ensembl:18273[0]	ENSMUSG00000000126	Ensembl:18273[0]
ENSMUSG00000000127	Ensembl:24758[0]	ENSMUSG00000000127	Ensembl:24758[0]
ENSMUSG00000000131	Ensembl:12141[0]	ENSMUSG00000000131	Ensembl:12141[0]
ENSMUSG00000000134	Ensembl:85904[0]	ENSMUSG00000000134	Ensembl:85904[0]
ENSMUSG00000000137	Ensembl.Genes:8976[0]	ENSMUSG00000000137	Ensembl.Genes:8976[0]
ENSMUSG00000000142	Ensembl:117282[0]	ENSMUSG00000000142	Ensembl:117282[0]
ENSMUSG00000000148	Ensembl:123411[0]	ENSMUSG00000000148	Ensembl:123411[0]
ENSMUSG00000000149	Ensembl:123582[0]	ENSMUSG00000000149	Ensembl:123582[0]
ENSMUSG00000000154	Ensembl:139691[0]	ENSMUSG00000000154	Ensembl:139691[0]
ENSMUSG00000000157	Ensembl:33281[0]	ENSMUSG00000000157	Ensembl:33281[0]
ENSMUSG00000000159	Ensembl:33217[0]	ENSMUSG00000000159	Ensembl:33217[0]
ENSMUSG00000000163	Ensembl.Genes:8983[0]	ENSMUSG00000000163	Ensembl.Genes:8983[0]
ENSMUSG00000000167	Ensembl:11516[0]	ENSMUSG00000000167	Ensembl:11516[0]
