name	source	ensembl_gene	ensembl_source
ENSMUSP00000000001	Ensembl:90612[2]	ENSMUSG00000000001	Ensembl:90612[2>0]
ENSMUSP00000000003	Ensembl:96414[2]	ENSMUSG00000000003	Ensembl:96414[2>0]
ENSMUSP00000000010	Ensembl:146511[2]	ENSMUSG00000020875	Ensembl:146511[2>0]
ENSMUSP00000000012	Ensembl.Proteins:13698[0]	ENS!000011195	Unrecognized
ENSMUSP00000000028	Ensembl:75230[2]	ENSMUSG00000000028	Ensembl:75230[2>0]
ENSMUSP00000000031	Ensembl.Proteins:13700[0]	ENS!000011196	Unrecognized
ENSMUSP00000000033	Ensembl:145348[2]	ENSMUSG00000048583	Ensembl:145348[2>0]
ENSMUSP00000000034	Ensembl.Proteins:13702[0]	ENS!000011197	Unrecognized
ENSMUSP00000000040	Ensembl.Proteins:13703[0]	ENS!000011198	Unrecognized
ENSMUSP00000000049	Ensembl:115243[2]	ENSMUSG00000000049	Ensembl:115243[2>0]
ENSMUSP00000000053	Ensembl.Proteins:13705[0]	ENS!000011199	Unrecognized
ENSMUSP00000000056	Ensembl.Proteins:13706[0]	ENS!000011200	Unrecognized
ENSMUSP00000000058	Ensembl:35215[2]	ENSMUSG00000000058	Ensembl:35215[2>0]
ENSMUSP00000000079	Ensembl.Proteins:13708[0]	ENS!000011201	Unrecognized
ENSMUSP00000000080	Ensembl:34207[2]	ENSMUSG00000000078	Ensembl:34207[2>0]
ENSMUSP00000000087	Ensembl:78927[2]	ENSMUSG00000000085	Ensembl:78927[2>0]
ENSMUSP00000000090	Ensembl:35893[2]	ENSMUSG00000000088	Ensembl:35893[2>0]
ENSMUSP00000000094	Ensembl:69394[2]	ENSMUSG00000061689	Ensembl:69394[2>0]
ENSMUSP00000000095	Ensembl:143666[2]	ENSMUSG00000000093	Ensembl:143666[2>0]
ENSMUSP00000000096	Ensembl:143681[2]	ENSMUSG00000000094	Ensembl:143681[2>0]
ENSMUSP00000000102	Ensembl.Proteins:13715[0]	ENS!000011202	Unrecognized
ENSMUSP00000000105	Ensembl.Proteins:13716[0]	ENS!000011203	Unrecognized
ENSMUSP00000000109	Ensembl:34485[2]	ENSMUSG00000055022	Ensembl:34485[2>0]
ENSMUSP00000000122	Ensembl:131025[2]	ENSMUSG00000000120	Ensembl:131025[2>0]
ENSMUSP00000000124	Ensembl.Proteins:13719[0]	ENS!000011204	Unrecognized
ENSMUSP00000000127	Ensembl:96056[2]	ENSMUSG00000000125	Ensembl:96056[2>0]
ENSMUSP00000000128	Ensembl:18273[2]	ENSMUSG00000000126	Ensembl:18273[2>0]
ENSMUSP00000000129	Ensembl:24761[2]	ENSMUSG00000000127	Ensembl:24761[2>0]
ENSMUSP00000000136	Ensembl.Proteins:13723[0]	ENS!000011205	Unrecognized
ENSMUSP00000000137	Ensembl:130222[2]	ENSMUSG00000020152	Ensembl:130222[2>0]
ENSMUSP00000000139	Ensembl.Proteins:13725[0]	ENS!000011206	Unrecognized
ENSMUSP00000000144	Ensembl.Proteins:13726[0]	ENS!000011207	Unrecognized
ENSMUSP00000000145	Ensembl:94252[2]	ENSMUSG00000020333	Ensembl:94252[2>0]
ENSMUSP00000000151	Ensembl.Proteins:13728[0]	ENS!000011208	Unrecognized
ENSMUSP00000000153	Ensembl:123582[2]	ENSMUSG00000000149	Ensembl:123582[2>0]
ENSMUSP00000000158	Ensembl.Proteins:13730[0]	ENS!000011209	Unrecognized
ENSMUSP00000000161	Ensembl:33281[2]	ENSMUSG00000000157	Ensembl:33281[2>0]
ENSMUSP00000000163	Ensembl:33218[2]	ENSMUSG00000000159	Ensembl:33218[2>0]
ENSMUSP00000000167	Ensembl.Proteins:13733[0]	ENS!000011210	Unrecognized
ENSMUSP00000000171	Ensembl:11516[2]	ENSMUSG00000000167	Ensembl:11516[2>0]
ENSMUSP00000000175	Ensembl:10960[2]	ENSMUSG00000000171	Ensembl:10960[2>0]
ENSMUSP00000000186	Ensembl:38388[2]	ENSMUSG00000000182	Ensembl:38388[2>0]
