name	source	ensembl_gene	ensembl_source
uc007eqi.1	Ensembl.UCSC:110628[1]	ENSMUSG00000037424	Ensembl.UCSC:110628[1>0]
uc007gxj.3	Ensembl.UCSC:38751[1]	ENSMUSG00000112544	Ensembl.UCSC:38751[1>0]
uc007hqc.1	Ensembl.UCSC:60024[1]	ENSMUSG00000095401	Ensembl.UCSC:60024[1>0]
uc007hqs.1	Ensembl.UCSC:104117[1]	ENSMUSG00000094295	Ensembl.UCSC:104117[1>0]
uc007psj.1	Ensembl.UCSC:4094[1]	ENSMUSG00000069302	Ensembl.UCSC:4094[1>0]
uc007vgt.3	Ensembl.UCSC:80469[1]	ENSMUSG00000096971	Ensembl.UCSC:80469[1>0]
uc007vgy.2	Ensembl.UCSC:18188[1]	ENSMUSG00000060735	Ensembl.UCSC:18188[1>0]
uc007vgz.2	Ensembl.UCSC:18371[1]	ENSMUSG00000047497	Ensembl.UCSC:18371[1>0]
uc007vhv.2	Ensembl.UCSC:20951[1]	ENSMUSG00000078300	Ensembl.UCSC:20951[1>0]
uc007vim.3	Ensembl.UCSC:22908[1]	ENSMUSG00000022321	Ensembl.UCSC:22908[1>0]
uc007vio.1	Ensembl.UCSC:23439[1]	ENSMUSG00000047565	Ensembl.UCSC:23439[1>0]
uc007vit.1	Ensembl.UCSC:23824[1]	ENSMUSG00000097452	Ensembl.UCSC:23824[1>0]
uc007vix.2	Ensembl.UCSC:24130[1]	ENSMUSG00000045763	Ensembl.UCSC:24130[1>0]
uc007vjj.2	Ensembl.UCSC:24990[1]	ENSMUSG00000052253	Ensembl.UCSC:24990[1>0]
uc007vjl.3	Ensembl.UCSC:25035[1]	ENSMUSG00000022269	Ensembl.UCSC:25035[1>0]
uc007vkm.1	Ensembl.UCSC:31355[1]	ENSMUSG00000045267	Ensembl.UCSC:31355[1>0]
uc007vld.2	Ensembl.UCSC:31792[1]	ENSMUSG00000038984	Ensembl.UCSC:31792[1>0]
uc007vle.1	Ensembl.UCSC:31796[1]	ENSMUSG00000115318	Ensembl.UCSC:31796[1>0]
uc007vly.2	Ensembl.UCSC:33184[1]	ENSMUSG00000050963	Ensembl.UCSC:33184[1>0]
uc007wrg.3	Ensembl.UCSC:91135[1]	ENSMUSG00000033170	Ensembl.UCSC:91135[1>0]
uc007xyt.2	Ensembl.UCSC:37253[1]	ENSMUSG00000005980	Ensembl.UCSC:37253[1>0]
uc008bkf.3	Ensembl.UCSC:52161[1]	ENSMUSG00000042644	Ensembl.UCSC:52161[1>0]
uc008boc.3	Ensembl.UCSC:52351[1]	ENSMUSG00000118010	Ensembl.UCSC:52351[1>0]
uc008dxj.1	Ensembl.UCSC:47867[1]	ENSMUSG00000091539	Ensembl.UCSC:47867[1>0]
uc008dxk.4	Ensembl.UCSC:49235[1]	ENSMUSG00000063889	Ensembl.UCSC:49235[1>0]
uc008dxl.4	Ensembl.UCSC:49182[1]	ENSMUSG00000063889	Ensembl.UCSC:49182[1>0]
uc008dxm.4	Ensembl.UCSC:49143[1]	ENSMUSG00000063889	Ensembl.UCSC:49143[1>0]
uc008dxv.4	Ensembl.UCSC:49262[1]	ENSMUSG00000063889	Ensembl.UCSC:49262[1>0]
uc008dxw.3	Ensembl.UCSC:49320[1]	ENSMUSG00000063889	Ensembl.UCSC:49320[1>0]
uc008dxx.3	Ensembl.UCSC:49312[1]	ENSMUSG00000063889	Ensembl.UCSC:49312[1>0]
uc008dxy.3	Ensembl.UCSC:49334[1]	ENSMUSG00000097746	Ensembl.UCSC:49334[1>0]
uc008dxz.3	Ensembl.UCSC:49730[1]	ENSMUSG00000024231	Ensembl.UCSC:49730[1>0]
uc008dya.3	Ensembl.UCSC:49777[1]	ENSMUSG00000024231	Ensembl.UCSC:49777[1>0]
uc008dyc.2	Ensembl.UCSC:49822[1]	ENSMUSG00000024232	Ensembl.UCSC:49822[1>0]
uc008dyd.2	Ensembl.UCSC:49853[1]	ENSMUSG00000024233	Ensembl.UCSC:49853[1>0]
uc008dye.2	Ensembl.UCSC:56013[1]	ENSMUSG00000024235	Ensembl.UCSC:56013[1>0]
uc008dyf.2	Ensembl.UCSC:56026[1]	ENSMUSG00000024235	Ensembl.UCSC:56026[1>0]
uc008dyg.3	Ensembl.UCSC:55517[1]	ENSMUSG00000117401	Ensembl.UCSC:55517[1>0]
uc008dyi.1	Ensembl.UCSC:55576[1]	ENSMUSG00000024234	Ensembl.UCSC:55576[1>0]
uc008dyl.2	Ensembl.UCSC:49876[1]	ENSMUSG00000033960	Ensembl.UCSC:49876[1>0]
uc008dyn.3	Ensembl.UCSC:50865[1]	ENSMUSG00000024236	Ensembl.UCSC:50865[1>0]
uc008dyq.1	Ensembl.UCSC:50919[1]	ENSMUSG00000024236	Ensembl.UCSC:50919[1>0]
uc008dyr.3	Ensembl.UCSC:50958[1]	ENSMUSG00000024236	Ensembl.UCSC:50958[1>0]
uc008dyt.3	Ensembl.UCSC:50999[1]	ENSMUSG00000050945	Ensembl.UCSC:50999[1>0]
uc008dyv.3	Ensembl.UCSC:36874[1]	ENSMUSG00000063087	Ensembl.UCSC:36874[1>0]
uc008dyw.2	Ensembl.UCSC:36880[1]	ENSMUSG00000063087	Ensembl.UCSC:36880[1>0]
uc008dyy.3	Ensembl.UCSC:51061[1]	ENSMUSG00000024238	Ensembl.UCSC:51061[1>0]
uc008dza.1	Ensembl.UCSC:51081[1]	ENSMUSG00000024238	Ensembl.UCSC:51081[1>0]
uc008dzc.3	Ensembl.UCSC:37449[1]	ENSMUSG00000041225	Ensembl.UCSC:37449[1>0]
