Gene stable ID	MGI ID
ENSMUSG00000064336	MGI:102487
ENSMUSG00000064337	MGI:102493
ENSMUSG00000064338	MGI:102472
ENSMUSG00000064339	MGI:102492
ENSMUSG00000064340	MGI:102482
ENSMUSG00000064341	MGI:101787
ENSMUSG00000064342	MGI:102484
ENSMUSG00000064343	MGI:102477
ENSMUSG00000064344	MGI:102480
ENSMUSG00000064345	MGI:102500
ENSMUSG00000064346	MGI:102471
ENSMUSG00000064347	MGI:102491
ENSMUSG00000064348	MGI:102479
ENSMUSG00000064349	MGI:102490
ENSMUSG00000064350	MGI:102470
ENSMUSG00000064351	MGI:102504
ENSMUSG00000064352	MGI:102475
ENSMUSG00000064353	MGI:102489
ENSMUSG00000064354	MGI:102503
ENSMUSG00000064355	MGI:102483
ENSMUSG00000064356	MGI:99926
ENSMUSG00000064357	MGI:99927
ENSMUSG00000064358	MGI:102502
ENSMUSG00000064359	MGI:102486
ENSMUSG00000064360	MGI:102499
ENSMUSG00000064361	MGI:102476
ENSMUSG00000065947	MGI:102497
ENSMUSG00000064363	MGI:102498
ENSMUSG00000064364	MGI:102485
ENSMUSG00000064365	MGI:102474
ENSMUSG00000064366	MGI:102481
ENSMUSG00000064367	MGI:102496
ENSMUSG00000064368	MGI:102495
ENSMUSG00000064369	MGI:102488
ENSMUSG00000064370	MGI:102501
ENSMUSG00000064371	MGI:102473
ENSMUSG00000064372	MGI:102478
ENSMUSG00002074970	
ENSMUSG00000094722	
ENSMUSG00000094915	
ENSMUSG00000095041	
ENSMUSG00000094741	
ENSMUSG00000095666	
ENSMUSG00000095250	
ENSMUSG00000079222	
ENSMUSG00000079800	
ENSMUSG00000094836	
ENSMUSG00000095019	
ENSMUSG00002075400	
ENSMUSG00000096776	
ENSMUSG00000094303	
ENSMUSG00002076890	
ENSMUSG00002074899	
ENSMUSG00002075729	
ENSMUSG00000074720	
ENSMUSG00000096244	
ENSMUSG00000095092	
ENSMUSG00000079808	
ENSMUSG00000095787	
ENSMUSG00000096236	
ENSMUSG00000096680	
ENSMUSG00000094383	
ENSMUSG00000094874	
ENSMUSG00000079192	
ENSMUSG00000096100	
ENSMUSG00000096756	
ENSMUSG00000094337	
ENSMUSG00000095500	
ENSMUSG00000095505	
ENSMUSG00000079794	
ENSMUSG00000094054	
ENSMUSG00000095672	
ENSMUSG00000079190	
ENSMUSG00000094799	
ENSMUSG00000095450	
ENSMUSG00000094474	
ENSMUSG00000095570	
ENSMUSG00000094728	
ENSMUSG00000062783	
ENSMUSG00000094791	
ENSMUSG00000096728	
ENSMUSG00000094514	
ENSMUSG00000096550	
ENSMUSG00000096808	
ENSMUSG00000094172	
ENSMUSG00000094887	
ENSMUSG00000091585	
ENSMUSG00000095763	
ENSMUSG00000095523	
ENSMUSG00000095475	
ENSMUSG00000094855	
ENSMUSG00000100384	MGI:5579195
ENSMUSG00000100216	MGI:5434031
ENSMUSG00000099641	MGI:5580154
ENSMUSG00000100271	MGI:5434482
ENSMUSG00000095634	MGI:5434172
ENSMUSG00000101393	MGI:5580153
ENSMUSG00000100885	MGI:5580152
ENSMUSG00000101120	MGI:5580158
ENSMUSG00000101216	MGI:5580157
ENSMUSG00000100032	MGI:5434173
ENSMUSG00000101080	MGI:5579339
ENSMUSG00000094444	MGI:5434917
ENSMUSG00000100308	MGI:5580116
ENSMUSG00000101423	MGI:5579004
ENSMUSG00000095626	MGI:5434927
ENSMUSG00000101761	MGI:5579003
ENSMUSG00000099493	MGI:5433917
ENSMUSG00000096777	MGI:5433887
ENSMUSG00000102119	MGI:5579168
ENSMUSG00000101147	MGI:5434174
ENSMUSG00000100739	MGI:5579002
ENSMUSG00000095345	MGI:5433985
ENSMUSG00000100709	MGI:5579001
ENSMUSG00000101254	MGI:5434288
ENSMUSG00000100976	MGI:5579840
ENSMUSG00000100489	MGI:5579009
ENSMUSG00000101239	MGI:5579010
ENSMUSG00000100971	MGI:5579530
ENSMUSG00000100509	MGI:5433974
ENSMUSG00000095553	MGI:5434080
ENSMUSG00000101099	MGI:5579897
ENSMUSG00000095049	MGI:5433920
ENSMUSG00000101601	MGI:5578916
ENSMUSG00000101516	MGI:5579780
ENSMUSG00000101359	MGI:5578917
ENSMUSG00000100790	MGI:5579224
ENSMUSG00000101302	MGI:5579225
ENSMUSG00000102125	MGI:5579226
ENSMUSG00000094064	MGI:5434981
ENSMUSG00000101421	MGI:5579139
ENSMUSG00000099461	MGI:5579227
ENSMUSG00000101706	MGI:5579137
ENSMUSG00000096532	MGI:5434988
ENSMUSG00000101627	MGI:5579138
ENSMUSG00000101852	MGI:5434242
ENSMUSG00000101681	MGI:5579228
ENSMUSG00000099438	MGI:5433972
ENSMUSG00000101870	MGI:5433909
ENSMUSG00000101472	MGI:5579223
ENSMUSG00000101407	MGI:5580238
ENSMUSG00000099500	MGI:5580237
ENSMUSG00000100097	MGI:5579170
ENSMUSG00000099806	MGI:5579547
ENSMUSG00000101474	MGI:5580362
ENSMUSG00000099704	MGI:5579548
ENSMUSG00000101383	MGI:5579549
ENSMUSG00000099737	MGI:5580361
ENSMUSG00000099914	MGI:5579543
ENSMUSG00000101417	MGI:5435002
ENSMUSG00000101654	MGI:5580359
ENSMUSG00000099369	MGI:5579544
ENSMUSG00000101808	MGI:5580360
ENSMUSG00000101893	MGI:5579545
ENSMUSG00000099910	MGI:5580357
ENSMUSG00000100442	MGI:5434222
ENSMUSG00000101518	MGI:5434224
ENSMUSG00000099818	MGI:5580358
ENSMUSG00000100500	MGI:5579786
ENSMUSG00000100677	MGI:5434539
ENSMUSG00000100171	MGI:5434556
ENSMUSG00000101255	MGI:5434005
ENSMUSG00000099463	MGI:5579787
ENSMUSG00000100745	MGI:5579783
ENSMUSG00000101341	MGI:5579782
ENSMUSG00000100193	MGI:5579785
ENSMUSG00000099651	MGI:5579784
ENSMUSG00000101787	MGI:5434209
ENSMUSG00000101043	MGI:5579781
ENSMUSG00000100535	MGI:5434226
ENSMUSG00000099390	MGI:5579931
ENSMUSG00000099738	MGI:5579189
ENSMUSG00000100422	MGI:5579932
ENSMUSG00000101988	MGI:5579190
ENSMUSG00000100385	MGI:5579933
ENSMUSG00000101336	MGI:5579186
ENSMUSG00000101593	MGI:5434198
ENSMUSG00000099733	MGI:5434044
ENSMUSG00000101626	MGI:5580092
ENSMUSG00000101091	MGI:5580090
ENSMUSG00000100229	MGI:5434060
ENSMUSG00000101691	MGI:5579986
ENSMUSG00000100540	MGI:5434155
ENSMUSG00000100244	MGI:5579985
ENSMUSG00000100694	MGI:5579888
ENSMUSG00000099799	MGI:5578966
ENSMUSG00000099999	MGI:5433959
ENSMUSG00000101844	MGI:5434200
ENSMUSG00000101806	MGI:5578967
ENSMUSG00000101632	MGI:5578970
ENSMUSG00000099525	MGI:5434036
ENSMUSG00000100749	MGI:5434154
ENSMUSG00000099963	MGI:5579169
ENSMUSG00000101857	MGI:5433921
ENSMUSG00000101836	MGI:5579674
ENSMUSG00000102008	MGI:5579201
ENSMUSG00000100869	MGI:5434202
ENSMUSG00000101277	MGI:5434203
ENSMUSG00000099371	MGI:5434204
ENSMUSG00000100359	MGI:5433930
ENSMUSG00000099495	MGI:5434156
ENSMUSG00000101747	MGI:5435038
ENSMUSG00000100263	MGI:5579174
ENSMUSG00000101575	MGI:5434254
ENSMUSG00000101715	MGI:5434019
ENSMUSG00000100785	MGI:5580039
ENSMUSG00000101425	MGI:5579961
ENSMUSG00000100698	MGI:5434258
ENSMUSG00000099822	MGI:5579038
ENSMUSG00000099547	MGI:5579384
ENSMUSG00000101781	MGI:5579039
ENSMUSG00000101271	MGI:5579040
ENSMUSG00000099504	MGI:5579041
ENSMUSG00000099782	MGI:5434259
ENSMUSG00000101377	MGI:5579042
ENSMUSG00000101038	MGI:5578978
ENSMUSG00000101709	MGI:5579043
ENSMUSG00000100604	MGI:5579962
ENSMUSG00000099554	MGI:5578965
ENSMUSG00000099814	MGI:5579044
ENSMUSG00000101757	MGI:5578979
ENSMUSG00000100179	MGI:5435070
ENSMUSG00000101815	MGI:5579734
ENSMUSG00000101538	MGI:5579735
ENSMUSG00000100251	MGI:5580321
ENSMUSG00000100983	MGI:5579736
ENSMUSG00000101820	MGI:5579729
ENSMUSG00000100283	MGI:5579730
ENSMUSG00000099832	MGI:5579731
ENSMUSG00000101246	MGI:5579732
ENSMUSG00000101382	MGI:5578919
ENSMUSG00000099967	MGI:5578918
ENSMUSG00000101161	MGI:5433963
ENSMUSG00000100705	MGI:5578933
ENSMUSG00000101157	MGI:5434261
ENSMUSG00000099712	MGI:5580117
ENSMUSG00000099586	MGI:5578928
ENSMUSG00000100066	MGI:5433999
ENSMUSG00000101879	MGI:5579526
ENSMUSG00000099412	MGI:5578929
ENSMUSG00000101831	MGI:5580118
ENSMUSG00000100428	MGI:5580119
ENSMUSG00000099601	MGI:5580377
ENSMUSG00000101704	MGI:5434042
ENSMUSG00000101349	MGI:5578868
ENSMUSG00000100140	MGI:5579495
ENSMUSG00000101710	MGI:5434278
ENSMUSG00000094575	MGI:5434094
ENSMUSG00000101146	MGI:5434170
ENSMUSG00000099499	MGI:5579493
ENSMUSG00000101213	MGI:5579494
ENSMUSG00000100952	MGI:5579251
ENSMUSG00000099730	MGI:5579253
ENSMUSG00000099896	MGI:5579984
ENSMUSG00000101873	MGI:5579252
ENSMUSG00000101980	MGI:5434086
