Gene stable ID	RefSeq peptide ID
ENSMUSG00000064341	NP_904328
ENSMUSG00000064345	NP_904329
ENSMUSG00000064351	NP_904330
ENSMUSG00000064354	NP_904331
ENSMUSG00000064356	NP_904332
ENSMUSG00000064357	NP_904333
ENSMUSG00000064358	NP_904334
ENSMUSG00000064360	NP_904335
ENSMUSG00000065947	NP_904336
ENSMUSG00000064363	NP_904337
ENSMUSG00000064367	NP_904338
ENSMUSG00000064368	NP_904339
ENSMUSG00000064370	NP_904340
ENSMUSG00000095019	
ENSMUSG00000095250	
ENSMUSG00000094915	
ENSMUSG00000079800	
ENSMUSG00000096776	NP_001161039
ENSMUSG00000094741	
ENSMUSG00000094303	
ENSMUSG00000094722	
ENSMUSG00000079222	
ENSMUSG00000095666	
ENSMUSG00000094836	
ENSMUSG00000095041	
ENSMUSG00000096244	NP_001161040
ENSMUSG00000095092	
ENSMUSG00000074720	
ENSMUSG00000095787	
ENSMUSG00000096236	
ENSMUSG00000094874	NP_001365625
ENSMUSG00000096680	
ENSMUSG00000079192	
ENSMUSG00000096100	
ENSMUSG00000095041	
ENSMUSG00000095505	
ENSMUSG00000079794	
ENSMUSG00000095500	
ENSMUSG00000094383	
ENSMUSG00000095672	
ENSMUSG00000096756	
ENSMUSG00000094337	NP_001405244
ENSMUSG00000094337	NP_001405240
ENSMUSG00000094337	NP_001405243
ENSMUSG00000094337	NP_001405242
ENSMUSG00000094337	NP_001405241
ENSMUSG00000079808	NP_001365669
ENSMUSG00000079808	NP_001365668
ENSMUSG00000094337	NP_001405245
ENSMUSG00000095450	
ENSMUSG00000094799	
ENSMUSG00000094728	
ENSMUSG00000079190	
ENSMUSG00000094474	
ENSMUSG00000095570	
ENSMUSG00000094791	
ENSMUSG00000062783	NP_291094
ENSMUSG00000094514	
ENSMUSG00000096728	
ENSMUSG00000096808	
ENSMUSG00000096550	NP_001026793
ENSMUSG00000094172	
ENSMUSG00000094887	
ENSMUSG00000091585	NP_001399470
ENSMUSG00000095763	
ENSMUSG00000095523	
ENSMUSG00000095475	
ENSMUSG00000094855	
ENSMUSG00000095634	NP_001153616
ENSMUSG00000095634	
ENSMUSG00000100032	
ENSMUSG00000100535	
ENSMUSG00000099782	
ENSMUSG00000101157	
ENSMUSG00000094575	NP_997045
ENSMUSG00000101146	
ENSMUSG00000100902	
ENSMUSG00000100892	
ENSMUSG00000096898	NP_001360827
ENSMUSG00000096898	NP_001153614
ENSMUSG00000096898	
ENSMUSG00000094739	NP_001395311
ENSMUSG00000094739	NP_001153607
ENSMUSG00000101471	
ENSMUSG00000095650	NP_001360824
ENSMUSG00000095650	NP_001395310
ENSMUSG00000095650	NP_001153603
ENSMUSG00000100240	
ENSMUSG00000102122	
ENSMUSG00000099856	
ENSMUSG00000094729	NP_001153600
ENSMUSG00000094729	NP_001020412
ENSMUSG00000094729	
ENSMUSG00000100045	
ENSMUSG00000093950	NP_001360825
ENSMUSG00000093950	NP_001153615
ENSMUSG00000100856	
ENSMUSG00000101766	NP_001365688
ENSMUSG00000095785	NP_001371165
ENSMUSG00000095785	
ENSMUSG00000093993	NP_001032837
ENSMUSG00000093993	
ENSMUSG00000093993	
ENSMUSG00000096666	NP_001153601
ENSMUSG00000096666	
ENSMUSG00000095302	NP_001360813
ENSMUSG00000095302	NP_076035
ENSMUSG00000095302	
ENSMUSG00000096016	
ENSMUSG00000096016	
ENSMUSG00000096016	
ENSMUSG00000103919	
ENSMUSG00000093868	
ENSMUSG00000093868	NP_001153609
ENSMUSG00000101667	
ENSMUSG00000093918	NP_001257442
ENSMUSG00000093918	
ENSMUSG00000094511	NP_001257443
ENSMUSG00000094511	
ENSMUSG00000093987	NP_001257444
ENSMUSG00000093987	
ENSMUSG00000095948	
ENSMUSG00000095948	NP_001257445
ENSMUSG00000095948	
ENSMUSG00000096520	NP_001257441
ENSMUSG00000096520	
ENSMUSG00000093927	
ENSMUSG00000093927	
ENSMUSG00000095148	
ENSMUSG00000095148	
ENSMUSG00000096686	
