Gene stable ID	Transcript stable ID	Protein stable ID
ENSMUSG00000064336	ENSMUST00000082387	
ENSMUSG00000064337	ENSMUST00000082388	
ENSMUSG00000064338	ENSMUST00000082389	
ENSMUSG00000064339	ENSMUST00000082390	
ENSMUSG00000064340	ENSMUST00000082391	
ENSMUSG00000064341	ENSMUST00000082392	ENSMUSP00000080991
ENSMUSG00000064342	ENSMUST00000082393	
ENSMUSG00000064343	ENSMUST00000082394	
ENSMUSG00000064344	ENSMUST00000082395	
ENSMUSG00000064345	ENSMUST00000082396	ENSMUSP00000080992
ENSMUSG00000064346	ENSMUST00000082397	
ENSMUSG00000064347	ENSMUST00000082398	
ENSMUSG00000064348	ENSMUST00000082399	
ENSMUSG00000064349	ENSMUST00000082400	
ENSMUSG00000064350	ENSMUST00000082401	
ENSMUSG00000064351	ENSMUST00000082402	ENSMUSP00000080993
ENSMUSG00000064352	ENSMUST00000082403	
ENSMUSG00000064353	ENSMUST00000082404	
ENSMUSG00000064354	ENSMUST00000082405	ENSMUSP00000080994
ENSMUSG00000064355	ENSMUST00000082406	
ENSMUSG00000064356	ENSMUST00000082407	ENSMUSP00000080995
ENSMUSG00000064357	ENSMUST00000082408	ENSMUSP00000080996
ENSMUSG00000064358	ENSMUST00000082409	ENSMUSP00000080997
ENSMUSG00000064359	ENSMUST00000082410	
ENSMUSG00000064360	ENSMUST00000082411	ENSMUSP00000080998
ENSMUSG00000064361	ENSMUST00000082412	
ENSMUSG00000065947	ENSMUST00000084013	ENSMUSP00000081021
ENSMUSG00000064363	ENSMUST00000082414	ENSMUSP00000081000
ENSMUSG00000064364	ENSMUST00000082415	
ENSMUSG00000064365	ENSMUST00000082416	
ENSMUSG00000064366	ENSMUST00000082417	
ENSMUSG00000064367	ENSMUST00000082418	ENSMUSP00000081001
ENSMUSG00000064368	ENSMUST00000082419	ENSMUSP00000081002
ENSMUSG00000064369	ENSMUST00000082420	
ENSMUSG00000064370	ENSMUST00000082421	ENSMUSP00000081003
ENSMUSG00000064371	ENSMUST00000082422	
ENSMUSG00000064372	ENSMUST00000082423	
ENSMUSG00002074970	ENSMUST00020182238	
ENSMUSG00000094722	ENSMUST00000180291	ENSMUSP00000136941
ENSMUSG00000094915	ENSMUST00000179715	ENSMUSP00000136885
ENSMUSG00000095041	ENSMUST00000179505	ENSMUSP00000136028
ENSMUSG00000095041	ENSMUST00000178343	ENSMUSP00000136649
ENSMUSG00000094741	ENSMUST00000178291	ENSMUSP00000136877
ENSMUSG00000095666	ENSMUST00000178466	ENSMUSP00000136117
ENSMUSG00000095250	ENSMUST00000179211	ENSMUSP00000137208
ENSMUSG00000079222	ENSMUST00000111423	ENSMUSP00000107053
ENSMUSG00000079800	ENSMUST00000096862	ENSMUSP00000094625
ENSMUSG00000094836	ENSMUST00000097490	ENSMUSP00000095098
ENSMUSG00000095019	ENSMUST00000178569	ENSMUSP00000136543
ENSMUSG00002075400	ENSMUST00020181715	
ENSMUSG00000096776	ENSMUST00000177783	ENSMUSP00000136057
ENSMUSG00000094303	ENSMUST00000110576	ENSMUSP00000106205
ENSMUSG00002076890	ENSMUST00020183073	
ENSMUSG00002074899	ENSMUST00020181793	
ENSMUSG00002075729	ENSMUST00020182428	
