name	source	ensembl_gene	ensembl_source
uc001ajn.4	Ensembl.UCSC:39762[3];Ensembl.UCSC:39762[3>0]	ENSG00000197921	CURATED:92[0];HGNC.Current:11567[1];HGNC.Current:11567[1>0];Ensembl.HGNC:39975[3>0]
uc001aoh.4	Ensembl.UCSC:275644[3];Ensembl.UCSC:275644[3>0]	ENSG00000171735	CURATED:14[0];HGNC.Current:3339[1];HGNC.Current:3339[1>0];Ensembl.HGNC:275261[3>0]
uc001aoi.4	Ensembl.UCSC:275641[3];Ensembl.UCSC:275641[3>0]	ENSG00000171735	CURATED:14[0];HGNC.Current:3339[1];HGNC.Current:3339[1>0];Ensembl.HGNC:275261[3>0]
uc001bhh.6	Ensembl.UCSC:116851[3];Ensembl.UCSC:116851[3>0]	ENSG00000117318	CURATED:123[0];HGNC.Current:12534[1];HGNC.Current:12534[1>0];Ensembl.HGNC:117025[3>0]
uc001bjq.5	Ensembl.UCSC:273831[3];Ensembl.UCSC:273831[3>0]	ENSG00000020633	CURATED:216[0];HGNC.Current:34454[1];HGNC.Current:34454[1>0];Ensembl.HGNC:273507[3>0]
uc001bjr.3	Ensembl.UCSC:273833[3];Ensembl.UCSC:273833[3>0]	ENSG00000020633	CURATED:216[0];HGNC.Current:34454[1];HGNC.Current:34454[1>0];Ensembl.HGNC:273507[3>0]
uc001bll.7	Ensembl.UCSC:277120[3];Ensembl.UCSC:277120[3>0]	ENSG00000142684	CURATED:276[0];HGNC.Current:43496[1];HGNC.Current:43496[1>0];Ensembl.HGNC:276739[3>0]
uc001bta.5	Ensembl.UCSC:175374[3];Ensembl.UCSC:175374[3>0]	ENSG00000142910	CURATED:5[0];HGNC.Current:1429[1];HGNC.Current:38928[8>1];HGNC.Current:38928[1];HGNC.Current:38928[1>0];Ensembl.HGNC:175588[3>0]
uc001ccp.4	Ensembl.UCSC:275806[3];Ensembl.UCSC:275806[3>0]	ENSG00000185668	CURATED:203[0];HGNC.Current:26335[1];HGNC.Current:26335[1>0];Ensembl.HGNC:275427[3>0]
uc001cqx.4	Ensembl.UCSC:255557[3];Ensembl.UCSC:255557[3>0]	ENSG00000162367	CURATED:246[0];HGNC.Current:38264[1];HGNC.Current:38264[1>0];Ensembl.HGNC:255251[3>0]
uc001cqy.3	Ensembl.UCSC:255553[3];Ensembl.UCSC:255553[3>0]	ENSG00000162367	CURATED:246[0];HGNC.Current:38264[1];HGNC.Current:38264[1>0];Ensembl.HGNC:255251[3>0]
uc001cvr.2	Ensembl.UCSC:238339[3];Ensembl.UCSC:238339[3>0]	ENSG00000174332	CURATED:85[0];HGNC.Current:10350[1];HGNC.Current:10350[1>0];Ensembl.HGNC:238114[3>0]
uc001cze.5	Ensembl.UCSC:275638[3];Ensembl.UCSC:275638[3>0]	ENSG00000177606	CURATED:136[0];HGNC.Current:13714[1];HGNC.Current:13714[1>0];Ensembl.HGNC:275258[3>0]
uc001czv.4	Ensembl.UCSC:270559[3];Ensembl.UCSC:270559[3>0]	ENSG00000162599	CURATED:183[0];HGNC.Current:22664[1];HGNC.Current:22664[1>0];Ensembl.HGNC:270168[3>0]
uc001czw.5	Ensembl.UCSC:270558[3];Ensembl.UCSC:270558[3>0]	ENSG00000162599	CURATED:183[0];HGNC.Current:22664[1];HGNC.Current:22664[1>0];Ensembl.HGNC:270168[3>0]
uc001czx.4	Ensembl.UCSC:270571[3];Ensembl.UCSC:270571[3>0]	ENSG00000162599	CURATED:183[0];HGNC.Current:22664[1];HGNC.Current:22664[1>0];Ensembl.HGNC:270168[3>0]
uc001czy.4	Ensembl.UCSC:270545[3];Ensembl.UCSC:270545[3>0]	ENSG00000162599	CURATED:183[0];HGNC.Current:22664[1];HGNC.Current:22664[1>0];Ensembl.HGNC:270168[3>0]
uc001dax.4	Ensembl.UCSC:267912[3];Ensembl.UCSC:267912[3>0]	ENSG00000187140	CURATED:65[0];HGNC.Current:9433[1];HGNC.Current:9433[1>0];Ensembl.HGNC:267558[3>0]
uc001dmi.5	Ensembl.UCSC:61246[3];Ensembl.UCSC:61246[3>0]	ENSG00000143013	CURATED:154[0];HGNC.Current:17422[1];HGNC.Current:17422[1>0];Ensembl.HGNC:61609[3>0]
uc001dmj.5	Ensembl.UCSC:61281[3];Ensembl.UCSC:61281[3>0]	ENSG00000143013	CURATED:154[0];HGNC.Current:17422[1];HGNC.Current:17422[1>0];Ensembl.HGNC:61609[3>0]
uc001dou.5	Ensembl.UCSC:265443[3];Ensembl.UCSC:265443[3>0]	ENSG00000162676	CURATED:83[0];HGNC.Current:10204[1];HGNC.Current:10204[1>0];Ensembl.HGNC:265092[3>0]
uc001dov.6	Ensembl.UCSC:265444[3];Ensembl.UCSC:265444[3>0]	ENSG00000162676	CURATED:83[0];HGNC.Current:10204[1];HGNC.Current:10204[1>0];Ensembl.HGNC:265092[3>0]
uc001dow.6	Ensembl.UCSC:265437[3];Ensembl.UCSC:265437[3>0]	ENSG00000162676	CURATED:83[0];HGNC.Current:10204[1];HGNC.Current:10204[1>0];Ensembl.HGNC:265092[3>0]
uc001ezg.5	Ensembl.UCSC:268094[3];Ensembl.UCSC:268094[3>0]	ENSG00000143365	CURATED:213[0];HGNC.Current:32139[1];HGNC.Current:32139[1>0];Ensembl.HGNC:267709[3>0]
uc001ezh.5	Ensembl.UCSC:268100[3];Ensembl.UCSC:268100[3>0]	ENSG00000143365	CURATED:213[0];HGNC.Current:32139[1];HGNC.Current:32139[1>0];Ensembl.HGNC:267709[3>0]
uc001fcr.6	Ensembl.UCSC:86663[3];Ensembl.UCSC:86663[3>0]	ENSG00000143621	CURATED:127[0];HGNC.Current:13290[1];HGNC.Current:13290[1>0];Ensembl.HGNC:87072[3>0]
uc001fpb.5	Ensembl.UCSC:243701[3];Ensembl.UCSC:243701[3>0]	ENSG00000116604	CURATED:163[0];HGNC.Current:18382[1];HGNC.Current:18382[1>0];Ensembl.HGNC:243358[3>0]
uc001fpc.6	Ensembl.UCSC:243680[3];Ensembl.UCSC:243680[3>0]	ENSG00000116604	CURATED:163[0];HGNC.Current:18382[1];HGNC.Current:18382[1>0];Ensembl.HGNC:243358[3>0]
uc001ftg.4	Ensembl.UCSC:260685[3];Ensembl.UCSC:260685[3>0]	ENSG00000163565	CURATED:124[0];HGNC.Current:12568[1];HGNC.Current:12568[1>0];Ensembl.HGNC:260310[3>0]
uc001gcs.4	Ensembl.UCSC:270307[3];Ensembl.UCSC:270307[3>0]	ENSG00000185630	CURATED:199[0];HGNC.Current:24905[1];HGNC.Current:24905[1>0];Ensembl.HGNC:269930[3>0]
uc001gct.5	Ensembl.UCSC:270302[3];Ensembl.UCSC:270302[3>0]	ENSG00000185630	CURATED:199[0];HGNC.Current:24905[1];HGNC.Current:24905[1>0];Ensembl.HGNC:269930[3>0]
uc001gcu.1	Ensembl.UCSC:270316[3];Ensembl.UCSC:270316[3>0]	ENSG00000185630	CURATED:199[0];HGNC.Current:24905[1];HGNC.Current:24905[1>0];Ensembl.HGNC:269930[3>0]
uc001gcz.3	Ensembl.UCSC:95399[3];Ensembl.UCSC:95399[3>0]	ENSG00000162761	CURATED:155[0];HGNC.Current:17432[1];HGNC.Current:17432[1>0];Ensembl.HGNC:95877[3>0]
uc001gda.5	Ensembl.UCSC:88760[3];Ensembl.UCSC:88760[3>0]	ENSG00000143171	CURATED:219[0];HGNC.Current:34481[1];HGNC.Current:34481[1>0];Ensembl.HGNC:88940[3>0]
uc001gdb.3	Ensembl.UCSC:88780[3];Ensembl.UCSC:88780[3>0]	ENSG00000143171	CURATED:219[0];HGNC.Current:34481[1];HGNC.Current:34481[1>0];Ensembl.HGNC:88940[3>0]
uc001gec.4	Ensembl.UCSC:88225[3];Ensembl.UCSC:88225[3>0]	ENSG00000143190	CURATED:201[0];HGNC.Current:26330[1];HGNC.Current:26330[1>0];Ensembl.HGNC:87858[3>0]
uc001gee.4	Ensembl.UCSC:87773[3];Ensembl.UCSC:87773[3>0]	ENSG00000143190	CURATED:201[0];HGNC.Current:26330[1];HGNC.Current:26330[1>0];Ensembl.HGNC:87858[3>0]
uc001gef.3	Ensembl.UCSC:88243[3];Ensembl.UCSC:88243[3>0]	ENSG00000143190	CURATED:201[0];HGNC.Current:26330[1];HGNC.Current:26330[1>0];Ensembl.HGNC:87858[3>0]
uc001hcy.4	Ensembl.UCSC:278165[3];Ensembl.UCSC:278165[3>0]	ENSG00000158711	CURATED:45[0];HGNC.Current:7828[1];HGNC.Current:7828[1>0];Ensembl.HGNC:277771[3>0]
uc001hcz.4	Ensembl.UCSC:278166[3];Ensembl.UCSC:278166[3>0]	ENSG00000158711	CURATED:45[0];HGNC.Current:7828[1];HGNC.Current:7828[1>0];Ensembl.HGNC:277771[3>0]
uc001hmv.6	Ensembl.UCSC:182215[3];Ensembl.UCSC:182215[3>0]	ENSG00000136630	CURATED:98[0];HGNC.Current:11731[1];HGNC.Current:11731[1>0];Ensembl.HGNC:182301[3>0]
uc001iha.5	Ensembl.UCSC:9714[3];Ensembl.UCSC:9714[3>0]	ENSG00000067082	CURATED:146[0];HGNC.Current:14134[1];HGNC.Current:14134[1>0];Ensembl.HGNC:9725[3>0]
uc001ihb.3	Ensembl.UCSC:9731[3];Ensembl.UCSC:9731[3>0]	ENSG00000067082	CURATED:146[0];HGNC.Current:14134[1];HGNC.Current:14134[1>0];Ensembl.HGNC:9725[3>0]
uc001ijz.6	Ensembl.UCSC:148978[3];Ensembl.UCSC:148978[3>0]	ENSG00000107485	CURATED:78[0];HGNC.Current:10070[1];HGNC.Current:10070[1>0];Ensembl.HGNC:149020[3>0]
uc001ika.5	Ensembl.UCSC:148990[3];Ensembl.UCSC:148990[3>0]	ENSG00000107485	CURATED:78[0];HGNC.Current:10070[1];HGNC.Current:10070[1>0];Ensembl.HGNC:149020[3>0]
uc001ivs.5	Ensembl.UCSC:92789[3];Ensembl.UCSC:92789[3>0]	ENSG00000148516	CURATED:271[0];HGNC.Current:42924[1];HGNC.Current:42924[1>0];Ensembl.HGNC:92740[3>0]
uc001ivv.5	Ensembl.UCSC:92791[3];Ensembl.UCSC:92791[3>0]	ENSG00000148516	CURATED:271[0];HGNC.Current:42924[1];HGNC.Current:42924[1>0];Ensembl.HGNC:92740[3>0]
uc001ixx.4	Ensembl.UCSC:167685[3];Ensembl.UCSC:167685[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001ixy.4	Ensembl.UCSC:166798[3];Ensembl.UCSC:166798[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001ixz.4	Ensembl.UCSC:167890[3];Ensembl.UCSC:167890[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iya.4	Ensembl.UCSC:167900[3];Ensembl.UCSC:167900[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iyb.4	Ensembl.UCSC:167911[3];Ensembl.UCSC:167911[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iyd.4	Ensembl.UCSC:167925[3];Ensembl.UCSC:167925[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iye.4	Ensembl.UCSC:167930[3];Ensembl.UCSC:167930[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iyf.4	Ensembl.UCSC:167973[3];Ensembl.UCSC:167973[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iyh.4	Ensembl.UCSC:168028[3];Ensembl.UCSC:168028[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iyl.4	Ensembl.UCSC:168062[3];Ensembl.UCSC:168062[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iym.4	Ensembl.UCSC:168067[3];Ensembl.UCSC:168067[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iyn.4	Ensembl.UCSC:168075[3];Ensembl.UCSC:168075[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iyo.4	Ensembl.UCSC:168083[3];Ensembl.UCSC:168083[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iyp.4	Ensembl.UCSC:168093[3];Ensembl.UCSC:168093[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iyq.4	Ensembl.UCSC:168133[3];Ensembl.UCSC:168133[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iyr.4	Ensembl.UCSC:168103[3];Ensembl.UCSC:168103[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001iyt.4	Ensembl.UCSC:168123[3];Ensembl.UCSC:168123[3>0]	ENSG00000095794	CURATED:25[0];HGNC.Current:5517[1];HGNC.Current:5517[1>0];Ensembl.HGNC:166924[3>0]
uc001jlt.4	Ensembl.UCSC:81756[3];Ensembl.UCSC:81756[3>0]	ENSG00000150347	CURATED:8[0];HGNC.Current:1549[1];HGNC.Current:1549[1>0];Ensembl.HGNC:81884[3>0]
uc001jlu.3	Ensembl.UCSC:81772[3];Ensembl.UCSC:81772[3>0]	ENSG00000150347	CURATED:8[0];HGNC.Current:1549[1];HGNC.Current:1549[1>0];Ensembl.HGNC:81884[3>0]
uc001jmi.5	Ensembl.UCSC:114502[3];Ensembl.UCSC:114502[3>0]	ENSG00000122877	CURATED:41[0];HGNC.Current:7620[1];HGNC.Current:7620[1>0];Ensembl.HGNC:114586[3>0]
uc001khe.3	Ensembl.UCSC:54151[3];Ensembl.UCSC:54151[3>0]	ENSG00000148677	CURATED:4[0];HGNC.Current:1049[1];HGNC.Current:1049[1>0];Ensembl.HGNC:54389[3>0]
uc001kid.5	Ensembl.UCSC:22192[3];Ensembl.UCSC:22192[3>0]	ENSG00000152804	CURATED:96[0];HGNC.Current:11595[1];HGNC.Current:11595[1>0];Ensembl.HGNC:22360[3>0]
uc001krl.4	Ensembl.UCSC:174384[3];Ensembl.UCSC:174384[3>0]	ENSG00000075891	CURATED:195[0];HGNC.Current:24883[1];HGNC.Current:24883[1>0];Ensembl.HGNC:174222[3>0]
uc001krm.4	Ensembl.UCSC:174386[3];Ensembl.UCSC:174386[3>0]	ENSG00000075891	CURATED:195[0];HGNC.Current:24883[1];HGNC.Current:24883[1>0];Ensembl.HGNC:174222[3>0]
uc001kro.5	Ensembl.UCSC:174369[3];Ensembl.UCSC:174369[3>0]	ENSG00000075891	CURATED:195[0];HGNC.Current:24883[1];HGNC.Current:24883[1>0];Ensembl.HGNC:174222[3>0]
uc001kyy.3	Ensembl.UCSC:74049[3];Ensembl.UCSC:74049[3>0]	ENSG00000119950	CURATED:174[0];HGNC.Current:21940[1];HGNC.Current:21940[1>0];Ensembl.HGNC:73472[3>0]
uc001kyz.4	Ensembl.UCSC:74136[3];Ensembl.UCSC:74136[3>0]	ENSG00000119950	CURATED:174[0];HGNC.Current:21940[1];HGNC.Current:21940[1>0];Ensembl.HGNC:73472[3>0]
uc001kza.4	Ensembl.UCSC:74149[3];Ensembl.UCSC:74149[3>0]	ENSG00000119950	CURATED:174[0];HGNC.Current:21940[1];HGNC.Current:21940[1>0];Ensembl.HGNC:73472[3>0]
uc001lac.5	Ensembl.UCSC:156104[3];Ensembl.UCSC:156104[3>0]	ENSG00000148737	CURATED:254[0];HGNC.Current:38510[1];HGNC.Current:38516[10>1];HGNC.Current:38516[1];HGNC.Current:38516[1>0];Ensembl.HGNC:152776[3>0]
uc001lae.6	Ensembl.UCSC:156039[3];Ensembl.UCSC:156039[3>0]	ENSG00000148737	CURATED:254[0];HGNC.Current:38510[1];HGNC.Current:38516[10>1];HGNC.Current:38516[1];HGNC.Current:38516[1>0];Ensembl.HGNC:152776[3>0]
uc001lag.6	Ensembl.UCSC:156149[3];Ensembl.UCSC:156149[3>0]	ENSG00000148737	CURATED:254[0];HGNC.Current:38510[1];HGNC.Current:38516[10>1];HGNC.Current:38516[1];HGNC.Current:38516[1>0];Ensembl.HGNC:152776[3>0]
uc001lki.4	Ensembl.UCSC:93896[3];Ensembl.UCSC:93896[3>0]	ENSG00000108001	CURATED:38[0];HGNC.Current:7391[1];HGNC.Current:7391[1>0];Ensembl.HGNC:94333[3>0]
uc001lmc.4	Ensembl.UCSC:84062[3];Ensembl.UCSC:84062[3>0]	ENSG00000171794	CURATED:267[0];HGNC.Current:41914[1];HGNC.Current:41914[1>0];Ensembl.HGNC:84471[3>0]
uc001lqg.3	Ensembl.UCSC:232239[3];Ensembl.UCSC:232239[3>0]	ENSG00000185507	CURATED:130[0];HGNC.Current:13505[1];HGNC.Current:13505[1>0];Ensembl.HGNC:231997[3>0]
uc001lvu.5	Ensembl.UCSC:223624[3];Ensembl.UCSC:223624[3>0]	ENSG00000183734	CURATED:9[0];HGNC.Current:1749[1];HGNC.Current:1749[1>0];Ensembl.HGNC:223545[3>0]
uc001mmd.5	Ensembl.UCSC:188761[3];Ensembl.UCSC:188761[3>0]	ENSG00000110693	CURATED:231[0];HGNC.Current:37140[1];HGNC.Current:37140[1>0];Ensembl.HGNC:188565[3>0]
uc001mmf.4	Ensembl.UCSC:188743[3];Ensembl.UCSC:188743[3>0]	ENSG00000110693	CURATED:231[0];HGNC.Current:37140[1];HGNC.Current:37140[1>0];Ensembl.HGNC:188565[3>0]
uc001mmg.3	Ensembl.UCSC:188845[3];Ensembl.UCSC:188845[3>0]	ENSG00000110693	CURATED:231[0];HGNC.Current:37140[1];HGNC.Current:37140[1>0];Ensembl.HGNC:188565[3>0]
uc001mmh.2	Ensembl.UCSC:188804[3];Ensembl.UCSC:188804[3>0]	ENSG00000110693	CURATED:231[0];HGNC.Current:37140[1];HGNC.Current:37140[1>0];Ensembl.HGNC:188565[3>0]
