name	source	ensembl_gene	ensembl_source
ENST00000006015	Ensembl:149301[1];Ensembl:149301[1>0]	ENSG00000005073	CURATED:104[0];HGNC.Current:12148[1];HGNC.Current:12148[1>0];Ensembl.HGNC:149325[3>0]
ENST00000020945	Ensembl:38680[1];Ensembl:38680[1>0]	ENSG00000019549	CURATED:223[0];HGNC.Current:36262[1];HGNC.Current:36262[1>0];Ensembl.HGNC:38704[3>0]
ENST00000040584	Ensembl:235067[1];Ensembl:235067[1>0]	ENSG00000037965	CURATED:116[0];HGNC.Current:12173[1];HGNC.Current:12173[1>0];Ensembl.HGNC:235091[3>0]
ENST00000173785	Ensembl:9727[1];Ensembl:9727[1>0]	ENSG00000067082	CURATED:146[0];HGNC.Current:14134[1];HGNC.Current:14134[1>0];Ensembl.HGNC:9725[3>0]
ENST00000177694	Ensembl:123874[1];Ensembl:123874[1>0]	ENSG00000073861	CURATED:247[0];HGNC.Current:38465[1];HGNC.Current:38465[1>0];Ensembl.HGNC:123898[3>0]
ENST00000201031	Ensembl:13931[1];Ensembl:13931[1>0]	ENSG00000087510	CURATED:257[0];HGNC.Current:38710[1];HGNC.Current:38710[1>0];Ensembl.HGNC:13931[3>0]
ENST00000206513	Ensembl:171101[1];Ensembl:171101[1>0]	ENSG00000092067	CURATED:21[0];HGNC.Current:4284[1];HGNC.Current:4284[1>0];Ensembl.HGNC:171124[3>0]
ENST00000216037	Ensembl:102301[1];Ensembl:102301[1>0]	ENSG00000100219	CURATED:268[0];HGNC.Current:42573[1];HGNC.Current:42573[1>0];Ensembl.HGNC:102325[3>0]
ENST00000222305	Ensembl:206856[1];Ensembl:206856[1>0]	ENSG00000105698	CURATED:266[0];HGNC.Current:41753[1];HGNC.Current:41753[1>0];Ensembl.HGNC:206880[3>0]
ENST00000222584	Ensembl:22698[1];Ensembl:22698[1>0]	ENSG00000105866	CURATED:235[0];HGNC.Current:37163[1];HGNC.Current:37163[1>0];Ensembl.HGNC:22722[3>0]
ENST00000222726	Ensembl:149202[1];Ensembl:149202[1>0]	ENSG00000106004	CURATED:107[0];HGNC.Current:12142[1];HGNC.Current:12142[1>0];Ensembl.HGNC:149226[3>0]
ENST00000222761	Ensembl:149466[1];Ensembl:149466[1>0]	ENSG00000106038	CURATED:55[0];HGNC.Current:8385[1];HGNC.Current:8385[1>0];Ensembl.HGNC:149490[3>0]
ENST00000223791	Ensembl:148730[1];Ensembl:148730[1>0]	ENSG00000106948	CURATED:2[0];HGNC.Current:787[1];HGNC.Current:787[1>0];Ensembl.HGNC:148750[3>0]
ENST00000225648	Ensembl:245096[1];Ensembl:245096[1>0]	ENSG00000108511	CURATED:113[0];HGNC.Current:12161[1];HGNC.Current:12161[1>0];Ensembl.HGNC:245120[3>0]
ENST00000226067	Ensembl:252311[1];Ensembl:252311[1>0]	ENSG00000108924	CURATED:97[0];HGNC.Current:11726[1];HGNC.Current:11726[1>0];Ensembl.HGNC:252335[3>0]
ENST00000226574	Ensembl:162858[1];Ensembl:162858[1>0]	ENSG00000109320	CURATED:184[0];HGNC.Current:22673[1];HGNC.Current:22673[1>0];Ensembl.HGNC:162880[3>0]
ENST00000227163	Ensembl:255459[1];Ensembl:255459[1>0]	ENSG00000066336	CURATED:239[0];HGNC.Current:37337[1];HGNC.Current:37337[1>0];Ensembl.HGNC:255480[3>0]
ENST00000228741	Ensembl:56329[1];Ensembl:56329[1>0]	ENSG00000111145	CURATED:44[0];HGNC.Current:7827[1];HGNC.Current:7827[1>0];Ensembl.HGNC:56353[3>0]
ENST00000229307	Ensembl:35271[1];Ensembl:35271[1>0]	ENSG00000111704	CURATED:178[0];HGNC.Current:22193[1];HGNC.Current:22193[1>0];Ensembl.HGNC:35294[3>0]
ENST00000230234	Ensembl.Transcripts:352450[0];Ensembl.Transcripts:352453[0>2];Ensembl:117001[1];Ensembl:117001[1>0]	ENSG00000117318	CURATED:123[0];HGNC.Current:12534[1];HGNC.Current:12534[1>0];Ensembl.HGNC:117025[3>0]
ENST00000230658	Ensembl:146804[1];Ensembl:146804[1>0]	ENSG00000016082	CURATED:135[0];HGNC.Current:13543[1];HGNC.Current:13543[1>0];Ensembl.HGNC:146828[3>0]
ENST00000231121	Ensembl:178432[1];Ensembl:178432[1>0]	ENSG00000113196	CURATED:88[0];HGNC.Current:11351[1];HGNC.Current:11351[1>0];Ensembl.HGNC:178456[3>0]
ENST00000231656	Ensembl:232957[1];Ensembl:232957[1>0]	ENSG00000113722	CURATED:15[0];HGNC.Current:4222[1];HGNC.Current:4222[1>0];Ensembl.HGNC:232981[3>0]
ENST00000232424	Ensembl:262333[1];Ensembl:262333[1>0]	ENSG00000114315	CURATED:90[0];HGNC.Current:11563[1];HGNC.Current:11563[1>0];Ensembl.HGNC:262356[3>0]
ENST00000234091	Ensembl:220767[1];Ensembl:220767[1>0]	ENSG00000115738	CURATED:122[0];HGNC.Current:12531[1];HGNC.Current:12531[1>0];Ensembl.HGNC:220791[3>0]
ENST00000234170	Ensembl:111800[1];Ensembl:111800[1>0]	ENSG00000115816	CURATED:22[0];HGNC.Current:4286[1];HGNC.Current:4286[1>0];Ensembl.HGNC:111824[3>0]
ENST00000238558	Ensembl:76948[1];Ensembl:76948[1>0]	ENSG00000133937	CURATED:86[0];HGNC.Current:10922[1];HGNC.Current:10922[1>0];Ensembl.HGNC:76972[3>0]
ENST00000239007	Ensembl:73451[1];Ensembl:73451[1>0]	ENSG00000119950	CURATED:174[0];HGNC.Current:21940[1];HGNC.Current:21940[1>0];Ensembl.HGNC:73472[3>0]
ENST00000239151	Ensembl:245095[1];Ensembl:245095[1>0]	ENSG00000120075	CURATED:112[0];HGNC.Current:12160[1];HGNC.Current:12160[1>0];Ensembl.HGNC:245119[3>0]
ENST00000239174	Ensembl:244920[1];Ensembl:244920[1>0]	ENSG00000120094	CURATED:110[0];HGNC.Current:12156[1];HGNC.Current:12156[1>0];Ensembl.HGNC:244944[3>0]
ENST00000239243	Ensembl:180946[1];Ensembl:180946[1>0]	ENSG00000120149	CURATED:172[0];HGNC.Current:21209[1];HGNC.Current:21209[1>0];Ensembl.HGNC:180970[3>0]
ENST00000239882	Ensembl:2740[1];Ensembl:2740[1>0]	ENSG00000120690	CURATED:42[0];HGNC.Current:7810[1];HGNC.Current:7810[1>0];Ensembl.HGNC:2739[3>0]
ENST00000239938	Ensembl:222409[1];Ensembl:222409[1>0]	ENSG00000120738	CURATED:40[0];HGNC.Current:7619[1];HGNC.Current:7619[1>0];Ensembl.HGNC:222433[3>0]
ENST00000240055	Ensembl:170302[1];Ensembl:170302[1>0]	ENSG00000120837	CURATED:185[0];HGNC.Current:22690[1];HGNC.Current:22690[1>0];Ensembl.HGNC:170326[3>0]
ENST00000240335	Ensembl:255700[1];Ensembl:255700[1>0]	ENSG00000121075	CURATED:249[0];HGNC.Current:38455[1];HGNC.Current:38455[1>0];Ensembl.HGNC:255722[3>0]
ENST00000241001	Ensembl:216539[1];Ensembl:216539[1>0]	ENSG00000007372	CURATED:198[0];HGNC.Current:24887[1];HGNC.Current:24887[1>0];Ensembl.HGNC:216546[3>0]
ENST00000242057	Ensembl:22299[1];Ensembl:22299[1>0]	ENSG00000106546	CURATED:1[0];HGNC.Current:702[1];HGNC.Current:702[1>0];Ensembl.HGNC:22321[3>0]
ENST00000242159	Ensembl:149239[1];Ensembl:149239[1>0]	ENSG00000122592	CURATED:108[0];HGNC.Current:12144[1];HGNC.Current:12144[1>0];Ensembl.HGNC:149263[3>0]
ENST00000242261	Ensembl:22370[1];Ensembl:22370[1>0]	ENSG00000122691	CURATED:264[0];HGNC.Current:41286[1];HGNC.Current:41286[1>0];Ensembl.HGNC:22392[3>0]
ENST00000242480	Ensembl:114563[1];Ensembl:114563[1>0]	ENSG00000122877	CURATED:41[0];HGNC.Current:7620[1];HGNC.Current:7620[1>0];Ensembl.HGNC:114586[3>0]
ENST00000244050	Ensembl:145693[1];Ensembl:145693[1>0]	ENSG00000124216	CURATED:222[0];HGNC.Current:36260[1];HGNC.Current:36260[1>0];Ensembl.HGNC:145717[3>0]
ENST00000244745	Ensembl:20660[1];Ensembl:20660[1>0]	ENSG00000124766	CURATED:230[0];HGNC.Current:37136[1];HGNC.Current:37136[1>0];Ensembl.HGNC:20684[3>0]
ENST00000245414	Ensembl:223186[1];Ensembl:223186[1>0]	ENSG00000125347	CURATED:128[0];HGNC.Current:13494[1];HGNC.Current:13494[1>0];Ensembl.HGNC:223200[3>0]
ENST00000245479	Ensembl:72389[1];Ensembl:72389[1>0]	ENSG00000125398	CURATED:233[0];HGNC.Current:37143[1];HGNC.Current:37143[1>0];Ensembl.HGNC:72413[3>0]
ENST00000246080	Ensembl:63643[1];Ensembl:63643[1>0]	ENSG00000125878	CURATED:252[0];HGNC.Current:38519[1];HGNC.Current:38519[1>0];Ensembl.HGNC:63667[3>0]
ENST00000248071	Ensembl:243617[1];Ensembl:243617[1>0]	ENSG00000127528	CURATED:142[0];HGNC.Current:14121[1];HGNC.Current:14121[1>0];Ensembl.HGNC:243641[3>0]
ENST00000249440	Ensembl:211180[1];Ensembl:211180[1>0]	ENSG00000128652	CURATED:118[0];HGNC.Current:12183[1];HGNC.Current:12183[1>0];Ensembl.HGNC:211200[3>0]
ENST00000249499	Ensembl:211039[1];Ensembl:211039[1>0]	ENSG00000128709	CURATED:120[0];HGNC.Current:12186[1];HGNC.Current:12186[1>0];Ensembl.HGNC:211063[3>0]
ENST00000250448	Ensembl:169852[1];Ensembl:169852[1>0]	ENSG00000129514	CURATED:60[0];HGNC.Current:9420[1];HGNC.Current:9420[1>0];Ensembl.HGNC:169876[3>0]
ENST00000252445	Ensembl:208700[1];Ensembl:208700[1>0]	ENSG00000130165	CURATED:42[0];HGNC.Current:7810[1];HGNC.Current:7894[8>1];HGNC.Current:7894[1];HGNC.Current:7894[1>0];Ensembl.HGNC:208723[3>0]
ENST00000252818	Ensembl:92014[1];Ensembl:92014[1>0]	ENSG00000130522	CURATED:138[0];HGNC.Current:13717[1];HGNC.Current:13717[1>0];Ensembl.HGNC:92038[3>0]
ENST00000252997	Ensembl:16452[1];Ensembl:16452[1>0]	ENSG00000130700	CURATED:80[0];HGNC.Current:10073[1];HGNC.Current:10073[1>0];Ensembl.HGNC:16452[3>0]
ENST00000254066	Ensembl:42582[1];Ensembl:42582[1>0]	ENSG00000131759	CURATED:206[0];HGNC.Current:27801[1];HGNC.Current:27801[1>0];Ensembl.HGNC:42605[3>0]
ENST00000257566	Ensembl:101394[1];Ensembl:101394[1>0]	ENSG00000135111	CURATED:248[0];HGNC.Current:38453[1];HGNC.Current:38453[1>0];Ensembl.HGNC:101417[3>0]
ENST00000257818	Ensembl:238363[1];Ensembl:238363[1>0]	ENSG00000135363	CURATED:153[0];HGNC.Current:17420[1];HGNC.Current:17420[1>0];Ensembl.HGNC:238384[3>0]
ENST00000258387	Ensembl:125882[1];Ensembl:125882[1>0]	ENSG00000135903	CURATED:196[0];HGNC.Current:24884[1];HGNC.Current:24884[1>0];Ensembl.HGNC:125892[3>0]
ENST00000259008	Ensembl:174515[1];Ensembl:174515[1>0]	ENSG00000136492	CURATED:10[0];HGNC.Current:2206[1];HGNC.Current:2696[8>1];HGNC.Current:2696[1];HGNC.Current:2696[1>0];Ensembl.HGNC:174538[3>0]
