name	source	ensembl_gene	ensembl_source
ASMPATCHT00000000174	Ensembl.Transcripts:333623[0];Ensembl.Transcripts:985208[0>2];Ensembl:53084[1];Ensembl:53084[1>0]	ENSG00000237440	Toronto:837[1];Ensembl:53083[0]
ASMPATCHT00000000433	Ensembl.Transcripts:333706[0];Ensembl.Transcripts:996265[0>2];Ensembl:183892[1];Ensembl:183892[1>0]	ENSG00000188171	Toronto:756[1];Ensembl:183892[0]
ASMPATCHT00000001447	Ensembl.Transcripts:334160[0];Ensembl.Transcripts:993898[0>2];Ensembl:183894[1];Ensembl:183894[1>0]	ENSG00000188171	Toronto:756[1];Ensembl:183892[0]
ASMPATCHT00000002952	Ensembl.Transcripts:334795[0];Ensembl.Transcripts:983284[0>2];Ensembl:234204[1];Ensembl:234204[1>0]	ENSG00000256229	Toronto:647[1];Ensembl:234204[0]
ASMPATCHT00000003645	Ensembl.Transcripts:335099[0];Ensembl.Transcripts:991639[0>2];Ensembl:157326[1];Ensembl:157326[1>0]	ENSG00000006704	Toronto:1123[1];Ensembl:157320[0]
ASMPATCHT00000003670	Ensembl.Transcripts:335120[0];Ensembl.Transcripts:982073[0>2];Ensembl:114755[1];Ensembl:114755[1>0]	ENSG00000049541	SCENIC:1782[0];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]
ASMPATCHT00000003689	Ensembl.Transcripts:335136[0];Ensembl.Transcripts:991701[0>2];Ensembl:250185[1];Ensembl:250185[1>0]	ENSG00000171634	Toronto:1574[1];Ensembl:250176[0]
ASMPATCHT00000003713	Ensembl.Transcripts:335158[0];Ensembl.Transcripts:988499[0>2];Ensembl:157322[1];Ensembl:157322[1>0]	ENSG00000006704	Toronto:1123[1];Ensembl:157320[0]
ASMPATCHT00000003834	Ensembl.Transcripts:335262[0];Ensembl.Transcripts:986742[0>2];Ensembl:114751[1];Ensembl:114751[1>0]	ENSG00000049541	SCENIC:1782[0];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]
ASMPATCHT00000003860	Ensembl.Transcripts:335283[0];Ensembl.Transcripts:990118[0>2];Ensembl:114753[1];Ensembl:114753[1>0]	ENSG00000049541	SCENIC:1782[0];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]
ASMPATCHT00000003944	Ensembl.Transcripts:335357[0];Ensembl.Transcripts:995335[0>2];Ensembl:96495[1];Ensembl:96495[1>0]	ENSG00000177679	SCENIC:1815[0];HGNC.Current:37559[1];HGNC.Current:37559[1>0];Ensembl.HGNC:96517[3>0]
ASMPATCHT00000003953	Ensembl.Transcripts:335363[0];Ensembl.Transcripts:984344[0>2];Ensembl:96496[1];Ensembl:96496[1>0]	ENSG00000177679	SCENIC:1815[0];HGNC.Current:37559[1];HGNC.Current:37559[1>0];Ensembl.HGNC:96517[3>0]
ASMPATCHT00000004088	Ensembl.Transcripts:335483[0];Ensembl.Transcripts:988316[0>2];Ensembl:213902[1];Ensembl:213902[1>0]	ENSG00000176302	Toronto:1101[1];Ensembl:213900[0]
ASMPATCHT00000004121	Ensembl.Transcripts:335512[0];Ensembl.Transcripts:990309[0>2];Ensembl:202028[1];Ensembl:202028[1>0]	ENSG00000009950	Toronto:87[1];Ensembl:202027[0]
ASMPATCHT00000004148	Ensembl.Transcripts:335535[0];Ensembl.Transcripts:992774[0>2];Ensembl:213901[1];Ensembl:213901[1>0]	ENSG00000176302	Toronto:1101[1];Ensembl:213900[0]
ASMPATCHT00000004255	Ensembl.Transcripts:335622[0];Ensembl.Transcripts:995130[0>2];Ensembl:114752[1];Ensembl:114752[1>0]	ENSG00000049541	SCENIC:1782[0];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]
ASMPATCHT00000004320	Ensembl.Transcripts:335674[0];Ensembl.Transcripts:991088[0>2];Ensembl:213900[1];Ensembl:213900[1>0]	ENSG00000176302	Toronto:1101[1];Ensembl:213900[0]
ASMPATCHT00000004327	Ensembl.Transcripts:335681[0];Ensembl.Transcripts:982205[0>2];Ensembl:114750[1];Ensembl:114750[1>0]	ENSG00000049541	SCENIC:1782[0];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]
ASMPATCHT00000004388	Ensembl.Transcripts:335734[0];Ensembl.Transcripts:990802[0>2];Ensembl:157320[1];Ensembl:157320[1>0]	ENSG00000006704	Toronto:1123[1];Ensembl:157320[0]
ASMPATCHT00000004476	Ensembl.Transcripts:335806[0];Ensembl.Transcripts:995133[0>2];Ensembl:239729[1];Ensembl:239729[1>0]	ENSG00000167785	Toronto:696[1];Ensembl:239728[0]
ASMPATCHT00000004527	Ensembl.Transcripts:335848[0];Ensembl.Transcripts:996429[0>2];Ensembl:114746[1];Ensembl:114746[1>0]	ENSG00000049541	SCENIC:1782[0];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]
ASMPATCHT00000004574	Ensembl.Transcripts:335886[0];Ensembl.Transcripts:987315[0>2];Ensembl:202031[1];Ensembl:202031[1>0]	ENSG00000009950	Toronto:87[1];Ensembl:202027[0]
ASMPATCHT00000004628	Ensembl.Transcripts:335934[0];Ensembl.Transcripts:994115[0>2];Ensembl:250180[1];Ensembl:250180[1>0]	ENSG00000171634	Toronto:1574[1];Ensembl:250176[0]
ASMPATCHT00000004630	Ensembl.Transcripts:335936[0];Ensembl.Transcripts:988955[0>2];Ensembl:114757[1];Ensembl:114757[1>0]	ENSG00000049541	SCENIC:1782[0];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]
ASMPATCHT00000004695	Ensembl.Transcripts:335991[0];Ensembl.Transcripts:991972[0>2];Ensembl:157324[1];Ensembl:157324[1>0]	ENSG00000006704	Toronto:1123[1];Ensembl:157320[0]
ASMPATCHT00000004715	Ensembl.Transcripts:336009[0];Ensembl.Transcripts:982168[0>2];Ensembl:202037[1];Ensembl:202037[1>0]	ENSG00000009950	Toronto:87[1];Ensembl:202027[0]
ASMPATCHT00000004716	Ensembl.Transcripts:336010[0];Ensembl.Transcripts:989554[0>2];Ensembl:250178[1];Ensembl:250178[1>0]	ENSG00000171634	Toronto:1574[1];Ensembl:250176[0]
ASMPATCHT00000004723	Ensembl.Transcripts:336016[0];Ensembl.Transcripts:986788[0>2];Ensembl:202033[1];Ensembl:202033[1>0]	ENSG00000009950	Toronto:87[1];Ensembl:202027[0]
ASMPATCHT00000004740	Ensembl.Transcripts:336032[0];Ensembl.Transcripts:994709[0>2];Ensembl:114749[1];Ensembl:114749[1>0]	ENSG00000049541	SCENIC:1782[0];HGNC.Current:28201[1];HGNC.Current:28201[1>0];Ensembl.HGNC:114769[3>0]
ASMPATCHT00000004765	Ensembl.Transcripts:336055[0];Ensembl.Transcripts:988864[0>2];Ensembl:157321[1];Ensembl:157321[1>0]	ENSG00000006704	Toronto:1123[1];Ensembl:157320[0]
ASMPATCHT00000004848	Ensembl.Transcripts:336128[0];Ensembl.Transcripts:989544[0>2];Ensembl:250176[1];Ensembl:250176[1>0]	ENSG00000171634	Toronto:1574[1];Ensembl:250176[0]
