Gene stable ID	Transcript stable ID	Protein stable ID
ENSG00000210049	ENST00000387314	
ENSG00000211459	ENST00000389680	
ENSG00000210077	ENST00000387342	
ENSG00000210082	ENST00000387347	
ENSG00000209082	ENST00000386347	
ENSG00000198888	ENST00000361390	ENSP00000354687
ENSG00000210100	ENST00000387365	
ENSG00000210107	ENST00000387372	
ENSG00000210112	ENST00000387377	
ENSG00000198763	ENST00000361453	ENSP00000355046
ENSG00000210117	ENST00000387382	
ENSG00000210127	ENST00000387392	
ENSG00000210135	ENST00000387400	
ENSG00000210140	ENST00000387405	
ENSG00000210144	ENST00000387409	
ENSG00000198804	ENST00000361624	ENSP00000354499
ENSG00000210151	ENST00000387416	
ENSG00000210154	ENST00000387419	
ENSG00000198712	ENST00000361739	ENSP00000354876
ENSG00000210156	ENST00000387421	
ENSG00000228253	ENST00000361851	ENSP00000355265
ENSG00000198899	ENST00000361899	ENSP00000354632
ENSG00000198938	ENST00000362079	ENSP00000354982
ENSG00000210164	ENST00000387429	
ENSG00000198840	ENST00000361227	ENSP00000355206
ENSG00000210174	ENST00000387439	
ENSG00000212907	ENST00000361335	ENSP00000354728
ENSG00000198886	ENST00000361381	ENSP00000354961
ENSG00000210176	ENST00000387441	
ENSG00000210184	ENST00000387449	
ENSG00000210191	ENST00000387456	
ENSG00000198786	ENST00000361567	ENSP00000354813
ENSG00000198695	ENST00000361681	ENSP00000354665
ENSG00000210194	ENST00000387459	
ENSG00000198727	ENST00000361789	ENSP00000354554
ENSG00000210195	ENST00000387460	
ENSG00000210196	ENST00000387461	
ENSG00000271254	ENST00000614336	ENSP00000484923
ENSG00000271254	ENST00000612640	ENSP00000478665
ENSG00000278625	ENST00000616830	
ENSG00000278457	ENST00000620265	
ENSG00000276197	ENST00000619317	
ENSG00000277428	ENST00000618679	
ENSG00000278573	ENST00000615362	
ENSG00000278704	ENST00000618686	ENSP00000484918
ENSG00000273748	ENST00000612919	ENSP00000479921
ENSG00000275661	ENST00000614351	
ENSG00000274202	ENST00000611062	
ENSG00000277630	ENST00000616049	ENSP00000479139
ENSG00000277630	ENST00000616157	ENSP00000477677
ENSG00000277400	ENST00000613230	ENSP00000483280
ENSG00000274917	ENST00000611446	
ENSG00000278294	ENST00000611690	
ENSG00000276256	ENST00000612465	ENSP00000484596
ENSG00000277196	ENST00000621424	ENSP00000481127
ENSG00000277196	ENST00000615165	ENSP00000482462
ENSG00000276351	ENST00000617089	
ENSG00000274847	ENST00000400754	ENSP00000478910
ENSG00000273730	ENST00000619779	
ENSG00000273937	ENST00000614535	
ENSG00000276345	ENST00000612848	ENSP00000478035
ENSG00000273532	ENST00000612801	
ENSG00000278793	ENST00000616468	
ENSG00000276932	ENST00000620032	
ENSG00000278817	ENST00000613204	ENSP00000482514
ENSG00000276711	ENST00000621409	
ENSG00000276017	ENST00000617983	ENSP00000481613
ENSG00000278633	ENST00000619792	ENSP00000484693
ENSG00000278066	ENST00000620795	
ENSG00000276312	ENST00000615130	
ENSG00000276700	ENST00000616292	
ENSG00000275757	ENST00000618998	
ENSG00000273739	ENST00000618675	
ENSG00000275063	ENST00000618003	ENSP00000478289
ENSG00000277856	ENST00000619729	ENSP00000481152
ENSG00000277374	ENST00000612925	
ENSG00000291360	ENST00000707296	
ENSG00000278384	ENST00000612565	ENSP00000480106
ENSG00000278673	ENST00000615005	
ENSG00000275987	ENST00000618083	
ENSG00000277890	ENST00000516246	
ENSG00000268674	ENST00000601199	ENSP00000473163
ENSG00000275249	ENST00000612882	ENSP00000484075
ENSG00000277475	ENST00000612315	ENSP00000478882
ENSG00000275405	ENST00000619109	
ENSG00000274792	ENST00000622674	ENSP00000480318
ENSG00000276872	ENST00000616048	
ENSG00000276760	ENST00000614604	ENSP00000478796
ENSG00000276760	ENST00000620810	ENSP00000479796
ENSG00000277927	ENST00000613373	
ENSG00000291371	ENST00000707319	
ENSG00000291372	ENST00000707320	
ENSG00000291368	ENST00000707313	
ENSG00000291368	ENST00000707314	ENSP00000516837
ENSG00000291368	ENST00000707315	ENSP00000516838
ENSG00000291368	ENST00000707316	
ENSG00000291369	ENST00000707317	
ENSG00000291370	ENST00000707318	
ENSG00000292254	ENST00000710353	ENSP00000518224
ENSG00000274175	ENST00000616638	ENSP00000479378
ENSG00000273554	ENST00000613216	ENSP00000480079
ENSG00000273554	ENST00000611339	ENSP00000482251
ENSG00000275869	ENST00000621028	ENSP00000482038
ENSG00000278510	ENST00000619806	
ENSG00000273843	ENST00000618201	
ENSG00000277836	ENST00000611746	ENSP00000478725
ENSG00000291410	ENST00000707451	
ENSG00000291411	ENST00000707452	
ENSG00000291412	ENST00000707453	
ENSG00000291412	ENST00000707454	
ENSG00000291412	ENST00000707455	
ENSG00000291413	ENST00000707456	
ENSG00000291414	ENST00000707457	
ENSG00000291415	ENST00000707458	
ENSG00000291416	ENST00000707459	
ENSG00000291417	ENST00000707460	
ENSG00000291418	ENST00000707461	
ENSG00000291418	ENST00000707462	
ENSG00000291420	ENST00000707466	ENSP00000516869
ENSG00000291420	ENST00000707467	ENSP00000516870
ENSG00000291420	ENST00000707468	ENSP00000516871
ENSG00000291420	ENST00000707469	ENSP00000516872
ENSG00000291420	ENST00000707470	ENSP00000516873
ENSG00000291420	ENST00000707471	ENSP00000516874
ENSG00000291420	ENST00000707472	ENSP00000516875
ENSG00000291420	ENST00000707473	ENSP00000516876
ENSG00000291420	ENST00000707474	ENSP00000516877
ENSG00000291420	ENST00000707475	ENSP00000516878
ENSG00000291420	ENST00000707476	
ENSG00000291420	ENST00000707477	
ENSG00000291420	ENST00000707478	
ENSG00000291420	ENST00000707479	ENSP00000516879
ENSG00000291420	ENST00000707480	ENSP00000516880
ENSG00000291420	ENST00000707481	
ENSG00000291420	ENST00000707482	ENSP00000516881
ENSG00000291420	ENST00000707483	
ENSG00000291420	ENST00000707484	
ENSG00000291420	ENST00000707485	ENSP00000516882
ENSG00000291420	ENST00000707486	ENSP00000516883
ENSG00000291420	ENST00000707487	ENSP00000516884
ENSG00000291420	ENST00000707488	ENSP00000516885
ENSG00000291420	ENST00000707489	ENSP00000516886
ENSG00000291420	ENST00000707490	ENSP00000516887
ENSG00000288522	ENST00000671955	
ENSG00000288204	ENST00000672610	ENSP00000500663
ENSG00000288204	ENST00000673238	ENSP00000499825
ENSG00000288247	ENST00000673609	
ENSG00000291421	ENST00000707491	ENSP00000516888
ENSG00000291421	ENST00000707492	ENSP00000516889
ENSG00000291421	ENST00000707493	
ENSG00000291421	ENST00000707494	
ENSG00000291421	ENST00000707495	
ENSG00000291421	ENST00000707496	
ENSG00000291421	ENST00000707497	
ENSG00000291421	ENST00000707498	
ENSG00000291422	ENST00000707499	
ENSG00000291423	ENST00000707500	
ENSG00000291424	ENST00000707501	
ENSG00000291425	ENST00000707502	
ENSG00000291425	ENST00000707503	
ENSG00000291425	ENST00000707504	
ENSG00000291425	ENST00000707505	
