name	source	ensembl_gene	ensembl_source
HGNC:10258	HGNC.Current:32134[0];Ensembl.HGNC:40538[3>0]	ENSG00000069667	CURATED:211[0];HGNC.Current:32134[1];HGNC.Current:32134[1>0];Ensembl.HGNC:40538[3>0]
HGNC:10259	HGNC.Current:32137[0];Ensembl.HGNC:31655[3>0]	ENSG00000198963	CURATED:212[0];HGNC.Current:32137[1];HGNC.Current:32137[1>0];Ensembl.HGNC:31655[3>0]
HGNC:10260	HGNC.Current:32139[0];Ensembl.HGNC:267709[3>0]	ENSG00000143365	CURATED:213[0];HGNC.Current:32139[1];HGNC.Current:32139[1>0];Ensembl.HGNC:267709[3>0]
HGNC:1042	HGNC.Withdrawn:251[0];HGNC.Withdrawn:251[0>3];HGNC.Current:25825[0];Ensembl.HGNC:248371[3>0]	ENSG00000069011	CURATED:200[0];HGNC.Current:25825[1];HGNC.Current:25825[1>0];Ensembl.HGNC:248371[3>0]
HGNC:10471	HGNC.Current:34448[0];Ensembl.HGNC:38975[3>0]	ENSG00000159216	CURATED:214[0];HGNC.Current:34448[1];HGNC.Current:34448[1>0];Ensembl.HGNC:38975[3>0]
HGNC:10472	HGNC.Current:34452[0];Ensembl.HGNC:25880[3>0]	ENSG00000124813	CURATED:215[0];HGNC.Current:34452[1];HGNC.Current:34452[1>0];Ensembl.HGNC:25880[3>0]
HGNC:10473	HGNC.Current:34454[0];Ensembl.HGNC:273507[3>0]	ENSG00000020633	CURATED:216[0];HGNC.Current:34454[1];HGNC.Current:34454[1>0];Ensembl.HGNC:273507[3>0]
HGNC:10477	HGNC.Current:34479[0];Ensembl.HGNC:28904[3>0]	ENSG00000186350	CURATED:217[0];HGNC.Current:34479[1];HGNC.Current:34479[1>0];Ensembl.HGNC:28904[3>0]
HGNC:10478	HGNC.Current:34480[0];Ensembl.HGNC:132824[3>0]	ENSG00000204231	CURATED:218[0];HGNC.Current:34480[1];HGNC.Current:34480[1>0];Ensembl.HGNC:132824[3>0]
HGNC:10478	HGNC.Current:34480[0];Ensembl.HGNC:159249[3>0]	ENSG00000206289	CURATED:218[0];HGNC.Current:34480[1];HGNC.Current:34480[1>0];Ensembl.HGNC:159249[3>0]
