name	source	ensembl_gene	ensembl_source
ENSG00000005073	Ensembl:149301[0]	ENSG00000005073	CURATED:104[0];HGNC.Current:12148[1];HGNC.Current:12148[1>0];Ensembl.HGNC:149325[3>0]
ENSG00000005102	Ensembl:249622[0]	ENSG00000005102	CURATED:166[0];HGNC.Current:18417[1];HGNC.Current:18417[1>0];Ensembl.HGNC:249646[3>0]
ENSG00000006377	Ensembl:66728[0]	ENSG00000006377	CURATED:30[0];HGNC.Current:6743[1];HGNC.Current:6743[1>0];Ensembl.HGNC:66752[3>0]
ENSG00000007372	Ensembl:216522[0]	ENSG00000007372	CURATED:198[0];HGNC.Current:24887[1];HGNC.Current:24887[1>0];Ensembl.HGNC:216546[3>0]
ENSG00000016082	Ensembl:146804[0]	ENSG00000016082	CURATED:135[0];HGNC.Current:13543[1];HGNC.Current:13543[1>0];Ensembl.HGNC:146828[3>0]
ENSG00000019549	Ensembl:38680[0]	ENSG00000019549	CURATED:223[0];HGNC.Current:36262[1];HGNC.Current:36262[1>0];Ensembl.HGNC:38704[3>0]
ENSG00000020633	Ensembl:273459[0]	ENSG00000020633	CURATED:216[0];HGNC.Current:34454[1];HGNC.Current:34454[1>0];Ensembl.HGNC:273507[3>0]
ENSG00000028277	Ensembl:190080[0]	ENSG00000028277	CURATED:202[0];HGNC.Current:26332[1];HGNC.Current:26332[1>0];Ensembl.HGNC:190104[3>0]
ENSG00000030419	Ensembl:273910[0]	ENSG00000030419	CURATED:126[0];HGNC.Current:13182[1];HGNC.Current:13182[1>0];Ensembl.HGNC:273958[3>0]
ENSG00000037965	Ensembl:235067[0]	ENSG00000037965	CURATED:116[0];HGNC.Current:12173[1];HGNC.Current:12173[1>0];Ensembl.HGNC:235091[3>0]
ENSG00000049768	Ensembl:148463[0]	ENSG00000049768	CURATED:74[0];HGNC.Current:9483[1];HGNC.Current:9483[1>0];Ensembl.HGNC:148487[3>0]
ENSG00000054598	Ensembl:23496[0]	ENSG00000054598	CURATED:62[0];HGNC.Current:9425[1];HGNC.Current:9425[1>0];Ensembl.HGNC:23520[3>0]
ENSG00000057657	Ensembl:28279[0]	ENSG00000057657	CURATED:204[0];HGNC.Current:26725[1];HGNC.Current:26725[1>0];Ensembl.HGNC:28303[3>0]
ENSG00000059728	Ensembl:208708[0]	ENSG00000059728	CURATED:173[0];HGNC.Current:21937[1];HGNC.Current:21937[1>0];Ensembl.HGNC:208732[3>0]
ENSG00000064195	Ensembl:74591[0]	ENSG00000064195	CURATED:28[0];HGNC.Current:6740[1];HGNC.Current:6740[1>0];Ensembl.HGNC:74615[3>0]
ENSG00000066336	Ensembl:255456[0]	ENSG00000066336	CURATED:239[0];HGNC.Current:37337[1];HGNC.Current:37337[1>0];Ensembl.HGNC:255480[3>0]
ENSG00000067082	Ensembl:9725[0]	ENSG00000067082	CURATED:146[0];HGNC.Current:14134[1];HGNC.Current:14134[1>0];Ensembl.HGNC:9725[3>0]
ENSG00000068305	Ensembl:175872[0]	ENSG00000068305	CURATED:161[0];HGNC.Current:18376[1];HGNC.Current:18376[1>0];Ensembl.HGNC:175896[3>0]
ENSG00000069011	Ensembl:248347[0]	ENSG00000069011	CURATED:200[0];HGNC.Current:25825[1];HGNC.Current:25825[1>0];Ensembl.HGNC:248371[3>0]
ENSG00000069667	Ensembl:40514[0]	ENSG00000069667	CURATED:211[0];HGNC.Current:32134[1];HGNC.Current:32134[1>0];Ensembl.HGNC:40538[3>0]
ENSG00000071564	Ensembl:224233[0]	ENSG00000071564	CURATED:253[0];HGNC.Current:38508[1];HGNC.Current:38508[1>0];Ensembl.HGNC:224257[3>0]
ENSG00000072736	Ensembl:77878[0]	ENSG00000072736	CURATED:180[0];HGNC.Current:22654[1];HGNC.Current:22654[1>0];Ensembl.HGNC:77902[3>0]
ENSG00000073861	Ensembl:123874[0]	ENSG00000073861	CURATED:247[0];HGNC.Current:38465[1];HGNC.Current:38465[1>0];Ensembl.HGNC:123898[3>0]
