name	source	ensembl_gene	ensembl_source
NM_000045	Ensembl.RefSeq_mRNA:230243[1];Ensembl.RefSeq_mRNA:230243[1>0]	ENSG00000118520	CURATED:5[0];HGNC.Current:1429[1];HGNC.Current:1429[1>0];Ensembl.HGNC:210990[3>0]
NM_000192	Ensembl.RefSeq_mRNA:113787[1];Ensembl.RefSeq_mRNA:113787[1>0]	ENSG00000089225	CURATED:250[0];HGNC.Current:38456[1];HGNC.Current:38456[1>0];Ensembl.HGNC:105693[3>0]
NM_000248	Ensembl.RefSeq_mRNA:282341[1];Ensembl.RefSeq_mRNA:282341[1>0]	ENSG00000187098	CURATED:169[0];HGNC.Current:20644[1];HGNC.Current:20644[1>0];Ensembl.HGNC:258015[3>0]
NM_000278	Ensembl.RefSeq_mRNA:189472[1];Ensembl.RefSeq_mRNA:189472[1>0]	ENSG00000075891	CURATED:195[0];HGNC.Current:24883[1];HGNC.Current:24883[1>0];Ensembl.HGNC:174222[3>0]
NM_000280	Ensembl.RefSeq_mRNA:238237[1];Ensembl.RefSeq_mRNA:238237[1>0]	ENSG00000007372	CURATED:198[0];HGNC.Current:24887[1];HGNC.Current:24887[1>0];Ensembl.HGNC:216546[3>0]
NM_000346	Ensembl.RefSeq_mRNA:77633[1];Ensembl.RefSeq_mRNA:77633[1>0]	ENSG00000125398	CURATED:233[0];HGNC.Current:37143[1];HGNC.Current:37143[1>0];Ensembl.HGNC:72413[3>0]
NM_000399	Ensembl.RefSeq_mRNA:123346[1];Ensembl.RefSeq_mRNA:123346[1>0]	ENSG00000122877	CURATED:41[0];HGNC.Current:7620[1];HGNC.Current:7620[1>0];Ensembl.HGNC:114586[3>0]
NM_000438	Ensembl.RefSeq_mRNA:135947[1];Ensembl.RefSeq_mRNA:135947[1>0]	ENSG00000135903	CURATED:196[0];HGNC.Current:24884[1];HGNC.Current:24884[1>0];Ensembl.HGNC:125892[3>0]
NM_000457	Ensembl.RefSeq_mRNA:134444[1];Ensembl.RefSeq_mRNA:134444[1>0]	ENSG00000101076	CURATED:100[0];HGNC.Current:11954[1];HGNC.Current:11954[1>0];Ensembl.HGNC:124322[3>0]
NM_000474	Ensembl.RefSeq_mRNA:23881[1];Ensembl.RefSeq_mRNA:23881[1>0]	ENSG00000122691	CURATED:264[0];HGNC.Current:41286[1];HGNC.Current:41286[1>0];Ensembl.HGNC:22392[3>0]
