Gene stable ID	RefSeq peptide ID
ENSG00000198888	YP_003024026
ENSG00000198763	YP_003024027
ENSG00000198804	YP_003024028
ENSG00000198712	YP_003024029
ENSG00000228253	YP_003024030
ENSG00000198899	YP_003024031
ENSG00000198938	YP_003024032
ENSG00000198840	YP_003024033
ENSG00000212907	YP_003024034
ENSG00000198886	YP_003024035
ENSG00000198786	YP_003024036
ENSG00000198695	YP_003024037
ENSG00000198727	YP_003024038
ENSG00000278704	
ENSG00000273748	
ENSG00000277400	
ENSG00000276256	
ENSG00000274847	
ENSG00000276345	
ENSG00000277630	NP_001244291
ENSG00000271254	
ENSG00000277630	
ENSG00000277196	
ENSG00000271254	NP_001393481
ENSG00000277196	
ENSG00000278817	
ENSG00000276017	
ENSG00000278633	
ENSG00000275063	
ENSG00000277856	
ENSG00000278384	
ENSG00000268674	
ENSG00000275249	
ENSG00000277475	
ENSG00000274792	NP_001382400
ENSG00000276760	NP_001382398
ENSG00000276760	
ENSG00000291368	NP_001088
ENSG00000291368	
ENSG00000292254	NP_001358973
ENSG00000274175	NP_001355166
ENSG00000273554	
ENSG00000273554	
ENSG00000275869	NP_001355160
ENSG00000277836	
ENSG00000291420	
ENSG00000291420	
ENSG00000291420	NP_001605
ENSG00000291420	
ENSG00000291420	
ENSG00000291420	NP_001186883
ENSG00000291420	
ENSG00000291420	
ENSG00000291420	
ENSG00000291420	
ENSG00000291420	
ENSG00000291420	
ENSG00000291420	
ENSG00000291420	
ENSG00000288204	NP_001293071
ENSG00000291420	
ENSG00000291420	
ENSG00000288204	NP_061815
ENSG00000291420	
ENSG00000291420	
ENSG00000291420	
ENSG00000291421	NP_001364377
ENSG00000291421	NP_001364377
ENSG00000291421	NP_001278253
ENSG00000291421	NP_001278253
ENSG00000288499	NP_064608
ENSG00000288431	
ENSG00000288431	
ENSG00000263150	
ENSG00000262851	NP_001004746
ENSG00000261897	NP_001004747
ENSG00000262784	NP_001004745
ENSG00000262611	NP_001005199
ENSG00000262611	
ENSG00000262755	NP_001005202
ENSG00000263328	NP_001002907
ENSG00000262796	NP_001005205
ENSG00000262315	NP_001013374
ENSG00000281038	NP_001013375
ENSG00000288269	
ENSG00000288269	NP_000151
ENSG00000288269	
ENSG00000288319	
ENSG00000288319	
ENSG00000288213	NP_997251
ENSG00000288213	
ENSG00000288213	
ENSG00000288213	NP_001275727
ENSG00000288213	NP_001087236
ENSG00000288213	NP_001275728
ENSG00000288213	
ENSG00000288213	
ENSG00000288213	
ENSG00000288213	
ENSG00000288213	
ENSG00000288186	NP_001007534
ENSG00000288186	
ENSG00000281934	NP_001139816
ENSG00000282175	NP_001013653
ENSG00000282817	NP_075390
ENSG00000282584	NP_001009611
ENSG00000282663	NP_001034450
ENSG00000279195	NP_001012277
ENSG00000279195	
ENSG00000282119	
ENSG00000282119	NP_001010889
ENSG00000282437	NP_001287820
